year,bula_h,sampreg,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,West,At least once per week,0.10998,40,350,0.07715,0.14280
1985,Schleswig-Holstein,West,At least once per month,0.12769,45,350,0.09268,0.16271
1985,Schleswig-Holstein,West,Seldom,0.36160,136,350,0.31119,0.41201
1985,Schleswig-Holstein,West,Never,0.40073,129,350,0.34931,0.45214
1985,Hamburg,West,At least once per month,0.15659,48,252,0.11163,0.20155
1985,Hamburg,West,Seldom,0.28715,79,252,0.23118,0.34312
1985,Hamburg,West,Never,0.47177,125,252,0.41001,0.53353
1985,Lower Saxony,West,At least once per week,0.10052,113,1091,0.08267,0.11837
1985,Lower Saxony,West,At least once per month,0.12240,142,1091,0.10295,0.14186
1985,Lower Saxony,West,Seldom,0.36089,415,1091,0.33238,0.38940
1985,Lower Saxony,West,Never,0.41618,421,1091,0.38692,0.44545
1985,Bremen,West,Seldom,0.31820,41,98,0.22550,0.41089
1985,Bremen,West,Never,0.57197,57,98,0.47350,0.67044
1985,North Rhine-Westphalia,West,At least once per week,0.07746,237,2931,0.06778,0.08714
1985,North Rhine-Westphalia,West,At least once per month,0.12913,381,2931,0.11699,0.14127
1985,North Rhine-Westphalia,West,Seldom,0.31252,927,2931,0.29573,0.32930
1985,North Rhine-Westphalia,West,Never,0.48090,1386,2931,0.46281,0.49899
1985,Hesse,West,At least once per week,0.11745,127,1114,0.09853,0.13636
1985,Hesse,West,At least once per month,0.13002,148,1114,0.11026,0.14977
1985,Hesse,West,Seldom,0.32950,357,1114,0.30189,0.35711
1985,Hesse,West,Never,0.42304,482,1114,0.39401,0.45206
1985,"Rhineland-Palatinate, Saarland",West,At least once per week,0.07595,61,757,0.05706,0.09483
1985,"Rhineland-Palatinate, Saarland",West,At least once per month,0.12895,103,757,0.10506,0.15284
1985,"Rhineland-Palatinate, Saarland",West,Seldom,0.27946,227,757,0.24747,0.31145
1985,"Rhineland-Palatinate, Saarland",West,Never,0.51565,366,757,0.48002,0.55127
1985,Baden-Wuerttemberg,West,At least once per week,0.08155,196,2026,0.06963,0.09347
