year,quintil_oecd,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,At least once per week,0.06579,151,2228,0.05549,0.07609
1985,1st Quintile,At least once per month,0.11506,258,2228,0.10181,0.12831
1985,1st Quintile,Seldom,0.24909,595,2228,0.23113,0.26705
1985,1st Quintile,Never,0.57006,1224,2228,0.54950,0.59062
1985,2nd Quintile,At least once per week,0.08597,198,2131,0.07406,0.09787
1985,2nd Quintile,At least once per month,0.09740,224,2131,0.08480,0.10999
1985,2nd Quintile,Seldom,0.30463,647,2131,0.28508,0.32417
1985,2nd Quintile,Never,0.51201,1062,2131,0.49078,0.53324
1985,3rd Quintile,At least once per week,0.10771,240,2179,0.09469,0.12073
1985,3rd Quintile,At least once per month,0.14012,303,2179,0.12554,0.15470
1985,3rd Quintile,Seldom,0.30557,681,2179,0.28622,0.32491
1985,3rd Quintile,Never,0.44661,955,2179,0.42573,0.46749
1985,4th Quintile,At least once per week,0.09366,219,2197,0.08147,0.10584
1985,4th Quintile,At least once per month,0.14235,322,2197,0.12774,0.15697
1985,4th Quintile,Seldom,0.32804,739,2197,0.30840,0.34768
1985,4th Quintile,Never,0.43595,917,2197,0.41521,0.45669
1985,5th Quintile,At least once per week,0.09659,224,2161,0.08413,0.10905
1985,5th Quintile,At least once per month,0.15216,353,2161,0.13701,0.16730
1985,5th Quintile,Seldom,0.35847,796,2161,0.33824,0.37869
1985,5th Quintile,Never,0.39279,788,2161,0.37219,0.41338
1986,1st Quintile,At least once per week,0.05904,132,2060,0.04886,0.06922
1986,1st Quintile,At least once per month,0.11754,254,2060,0.10362,0.13145
1986,1st Quintile,Seldom,0.22707,504,2060,0.20898,0.24517
1986,1st Quintile,Never,0.59635,1170,2060,0.57516,0.61754
1986,2nd Quintile,At least once per week,0.09055,204,2074,0.07820,0.10291
1986,2nd Quintile,At least once per month,0.10566,239,2074,0.09243,0.11890
1986,2nd Quintile,Seldom,0.26187,584,2074,0.24295,0.28080
1986,2nd Quintile,Never,0.54191,1047,2074,0.52046,0.56336
1986,3rd Quintile,At least once per week,0.10026,212,2081,0.08735,0.11317
1986,3rd Quintile,At least once per month,0.13928,301,2081,0.12440,0.15416
1986,3rd Quintile,Seldom,0.31598,668,2081,0.29600,0.33596
1986,3rd Quintile,Never,0.44448,900,2081,0.42313,0.46584
1986,4th Quintile,At least once per week,0.10154,238,2205,0.08893,0.11415
1986,4th Quintile,At least once per month,0.16121,353,2205,0.14586,0.17656
1986,4th Quintile,Seldom,0.34178,755,2205,0.32198,0.36158
1986,4th Quintile,Never,0.39547,859,2205,0.37505,0.41588
1986,5th Quintile,At least once per week,0.08312,176,2074,0.07124,0.09501
1986,5th Quintile,At least once per month,0.16181,366,2074,0.14596,0.17767
1986,5th Quintile,Seldom,0.37953,802,2074,0.35864,0.40042
1986,5th Quintile,Never,0.37553,730,2074,0.35469,0.39638
1988,1st Quintile,At least once per week,0.07802,147,1953,0.06612,0.08991
1988,1st Quintile,At least once per month,0.10211,233,1953,0.08868,0.11554
1988,1st Quintile,Seldom,0.20666,429,1953,0.18870,0.22463
1988,1st Quintile,Never,0.61321,1144,1953,0.59161,0.63482
1988,2nd Quintile,At least once per week,0.06499,153,1973,0.05411,0.07587
1988,2nd Quintile,At least once per month,0.12488,281,1973,0.11028,0.13947
1988,2nd Quintile,Seldom,0.29555,587,1973,0.27541,0.31569
1988,2nd Quintile,Never,0.51459,952,1973,0.49253,0.53664
1988,3rd Quintile,At least once per week,0.08966,197,1977,0.07707,0.10226
1988,3rd Quintile,At least once per month,0.16015,318,1977,0.14398,0.17632
1988,3rd Quintile,Seldom,0.31730,618,1977,0.29678,0.33782
1988,3rd Quintile,Never,0.43289,844,1977,0.41104,0.45474
1988,4th Quintile,At least once per week,0.08735,191,2050,0.07513,0.09958
1988,4th Quintile,At least once per month,0.16105,329,2050,0.14514,0.17697
1988,4th Quintile,Seldom,0.35657,703,2050,0.33583,0.37731
1988,4th Quintile,Never,0.39502,827,2050,0.37386,0.41619
1988,5th Quintile,At least once per week,0.08289,175,1927,0.07058,0.09520
1988,5th Quintile,At least once per month,0.18392,359,1927,0.16661,0.20122
1988,5th Quintile,Seldom,0.39439,749,1927,0.37256,0.41622
1988,5th Quintile,Never,0.33880,644,1927,0.31766,0.35994
1990,1st Quintile,At least once per week,0.04217,92,1896,0.03312,0.05122
1990,1st Quintile,At least once per month,0.10273,212,1896,0.08906,0.11640
1990,1st Quintile,Seldom,0.19239,359,1896,0.17465,0.21014
1990,1st Quintile,Never,0.66271,1233,1896,0.64142,0.68399
1990,2nd Quintile,At least once per week,0.05049,104,1882,0.04059,0.06038
1990,2nd Quintile,At least once per month,0.11512,239,1882,0.10070,0.12954
1990,2nd Quintile,Seldom,0.30739,576,1882,0.28654,0.32825
1990,2nd Quintile,Never,0.52700,963,1882,0.50444,0.54956
1990,3rd Quintile,At least once per week,0.04811,110,1886,0.03845,0.05777
1990,3rd Quintile,At least once per month,0.14331,273,1886,0.12749,0.15913
1990,3rd Quintile,Seldom,0.31992,564,1886,0.29887,0.34098
1990,3rd Quintile,Never,0.48866,939,1886,0.46609,0.51123
1990,4th Quintile,At least once per week,0.06590,136,1939,0.05485,0.07695
1990,4th Quintile,At least once per month,0.16337,328,1939,0.14691,0.17983
1990,4th Quintile,Seldom,0.33232,615,1939,0.31135,0.35329
1990,4th Quintile,Never,0.43842,860,1939,0.41632,0.46051
1990,5th Quintile,At least once per week,0.05207,114,1821,0.04187,0.06228
1990,5th Quintile,At least once per month,0.15337,295,1821,0.13682,0.16993
1990,5th Quintile,Seldom,0.40779,718,1821,0.38521,0.43037
1990,5th Quintile,Never,0.38676,694,1821,0.36439,0.40914
1992,1st Quintile,At least once per week,0.05901,161,2734,0.05018,0.06784
1992,1st Quintile,At least once per month,0.09254,258,2734,0.08167,0.10340
1992,1st Quintile,Seldom,0.25594,812,2734,0.23958,0.27230
1992,1st Quintile,Never,0.59251,1503,2734,0.57409,0.61094
1992,2nd Quintile,At least once per week,0.06831,208,2833,0.05902,0.07760
1992,2nd Quintile,At least once per month,0.12451,361,2833,0.11235,0.13667
1992,2nd Quintile,Seldom,0.31919,1045,2833,0.30202,0.33636
1992,2nd Quintile,Never,0.48799,1219,2833,0.46958,0.50640
1992,3rd Quintile,At least once per week,0.07083,237,2636,0.06103,0.08062
1992,3rd Quintile,At least once per month,0.12389,356,2636,0.11131,0.13647
1992,3rd Quintile,Seldom,0.39678,1050,2636,0.37810,0.41546
1992,3rd Quintile,Never,0.40850,993,2636,0.38973,0.42727
1992,4th Quintile,At least once per week,0.10412,260,2575,0.09232,0.11592
1992,4th Quintile,At least once per month,0.15666,411,2575,0.14262,0.17070
1992,4th Quintile,Seldom,0.38735,1026,2575,0.36853,0.40616
1992,4th Quintile,Never,0.35188,878,2575,0.33343,0.37033
1992,5th Quintile,At least once per week,0.07285,199,2376,0.06240,0.08330
1992,5th Quintile,At least once per month,0.18823,460,2376,0.17251,0.20395
1992,5th Quintile,Seldom,0.43701,1038,2376,0.41706,0.45696
1992,5th Quintile,Never,0.30191,679,2376,0.28345,0.32038
1994,1st Quintile,At least once per week,0.06281,165,2494,0.05329,0.07233
1994,1st Quintile,At least once per month,0.09857,265,2494,0.08687,0.11027
1994,1st Quintile,Seldom,0.26851,740,2494,0.25111,0.28590
1994,1st Quintile,Never,0.57011,1324,2494,0.55068,0.58955
1994,2nd Quintile,At least once per week,0.06639,207,2643,0.05689,0.07588
1994,2nd Quintile,At least once per month,0.12082,314,2643,0.10839,0.13325
1994,2nd Quintile,Seldom,0.34512,977,2643,0.32700,0.36325
1994,2nd Quintile,Never,0.46767,1145,2643,0.44864,0.48670
1994,3rd Quintile,At least once per week,0.09133,259,2677,0.08041,0.10224
1994,3rd Quintile,At least once per month,0.13374,383,2677,0.12084,0.14664
1994,3rd Quintile,Seldom,0.37356,1062,2677,0.35523,0.39189
1994,3rd Quintile,Never,0.40137,973,2677,0.38280,0.41994
1994,4th Quintile,At least once per week,0.10095,278,2524,0.08920,0.11271
1994,4th Quintile,At least once per month,0.15713,420,2524,0.14293,0.17133
1994,4th Quintile,Seldom,0.40800,1040,2524,0.38883,0.42718
1994,4th Quintile,Never,0.33392,786,2524,0.31551,0.35232
1994,5th Quintile,At least once per week,0.07766,206,2401,0.06695,0.08837
1994,5th Quintile,At least once per month,0.17995,464,2401,0.16458,0.19532
1994,5th Quintile,Seldom,0.46967,1093,2401,0.44970,0.48964
1994,5th Quintile,Never,0.27272,638,2401,0.25490,0.29054
1995,1st Quintile,At least once per week,0.06212,163,2517,0.05269,0.07155
1995,1st Quintile,At least once per month,0.12101,309,2517,0.10827,0.13376
1995,1st Quintile,Seldom,0.25719,670,2517,0.24011,0.27427
1995,1st Quintile,Never,0.55967,1375,2517,0.54028,0.57907
1995,2nd Quintile,At least once per week,0.05006,183,2875,0.04209,0.05803
1995,2nd Quintile,At least once per month,0.10450,333,2875,0.09332,0.11568
1995,2nd Quintile,Seldom,0.29434,938,2875,0.27768,0.31100
1995,2nd Quintile,Never,0.55110,1421,2875,0.53292,0.56928
1995,3rd Quintile,At least once per week,0.06322,209,2713,0.05406,0.07237
1995,3rd Quintile,At least once per month,0.12301,380,2713,0.11064,0.13537
1995,3rd Quintile,Seldom,0.31548,962,2713,0.29799,0.33297
1995,3rd Quintile,Never,0.49830,1162,2713,0.47948,0.51711
1995,4th Quintile,At least once per week,0.07321,222,2652,0.06330,0.08313
1995,4th Quintile,At least once per month,0.15682,479,2652,0.14298,0.17067
1995,4th Quintile,Seldom,0.36783,996,2652,0.34947,0.38618
1995,4th Quintile,Never,0.40214,955,2652,0.38347,0.42081
1995,5th Quintile,At least once per week,0.05596,154,2458,0.04687,0.06505
1995,5th Quintile,At least once per month,0.16988,416,2458,0.15503,0.18473
1995,5th Quintile,Seldom,0.43623,1107,2458,0.41662,0.45584
1995,5th Quintile,Never,0.33793,781,2458,0.31922,0.35663
1996,1st Quintile,At least once per week,0.07558,193,2558,0.06534,0.08583
1996,1st Quintile,At least once per month,0.13426,362,2558,0.12105,0.14748
1996,1st Quintile,Seldom,0.30255,811,2558,0.28475,0.32036
1996,1st Quintile,Never,0.48761,1192,2558,0.46823,0.50698
1996,2nd Quintile,At least once per week,0.07008,185,2609,0.06028,0.07988
1996,2nd Quintile,At least once per month,0.13984,391,2609,0.12652,0.15315
1996,2nd Quintile,Seldom,0.36485,1032,2609,0.34638,0.38333
1996,2nd Quintile,Never,0.42524,1001,2609,0.40626,0.44421
1996,3rd Quintile,At least once per week,0.07974,237,2675,0.06947,0.09001
1996,3rd Quintile,At least once per month,0.15836,460,2675,0.14452,0.17220
1996,3rd Quintile,Seldom,0.38964,1096,2675,0.37116,0.40813
1996,3rd Quintile,Never,0.37226,882,2675,0.35393,0.39058
1996,4th Quintile,At least once per week,0.09390,276,2703,0.08290,0.10490
1996,4th Quintile,At least once per month,0.20680,592,2703,0.19153,0.22207
1996,4th Quintile,Seldom,0.40343,1145,2703,0.38493,0.42193
1996,4th Quintile,Never,0.29587,690,2703,0.27866,0.31308
1996,5th Quintile,At least once per week,0.09020,247,2432,0.07881,0.10159
1996,5th Quintile,At least once per month,0.20294,526,2432,0.18695,0.21893
1996,5th Quintile,Seldom,0.45289,1113,2432,0.43310,0.47268
1996,5th Quintile,Never,0.25397,546,2432,0.23667,0.27127
1997,1st Quintile,At least once per week,0.06279,147,2364,0.05301,0.07257
1997,1st Quintile,At least once per month,0.11924,322,2364,0.10617,0.13230
1997,1st Quintile,Seldom,0.30625,751,2364,0.28767,0.32484
1997,1st Quintile,Never,0.51172,1144,2364,0.49157,0.53188
1997,2nd Quintile,At least once per week,0.06647,197,2717,0.05711,0.07584
1997,2nd Quintile,At least once per month,0.13870,416,2717,0.12570,0.15170
1997,2nd Quintile,Seldom,0.34612,1024,2717,0.32822,0.36401
1997,2nd Quintile,Never,0.44871,1080,2717,0.43000,0.46741
1997,3rd Quintile,At least once per week,0.08326,237,2604,0.07265,0.09387
1997,3rd Quintile,At least once per month,0.16530,459,2604,0.15103,0.17956
1997,3rd Quintile,Seldom,0.37415,1041,2604,0.35556,0.39274
1997,3rd Quintile,Never,0.37729,867,2604,0.35867,0.39591
1997,4th Quintile,At least once per week,0.09515,279,2646,0.08397,0.10634
