year,pli0091_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,At least once per week,0.09075540843739972,1034,10904,0.0906757046012867,0.09083511227351275
1985,At least once per month,0.1304728540620731,1461,10904,0.13037939869298487,0.13056630943116132
1985,Seldom,0.31076132800159695,3458,10904,0.31063291739246324,0.31088973861073066
1985,Never,0.46801040949893014,4951,10904,0.4678719630161811,0.46814885598167916
1986,At least once per week,0.08773751545680042,965,10499,0.08765911312463749,0.08781591778896335
1986,At least once per month,0.13822367831656993,1513,10499,0.13812803273564833,0.13831932389749152
1986,Seldom,0.3081277911020036,3315,10499,0.3079998368312097,0.30825574537279754
1986,Never,0.46591101512462607,4706,10499,0.4657727748119668,0.4660492554372853
1988,At least once per week,0.08082691439409152,863,9882,0.08075140386765582,0.08090242492052722
1988,At least once per month,0.14824764128154233,1521,9882,0.1481491990574486,0.14834608350563605
1988,Seldom,0.31776754735262935,3087,9882,0.3176385586107934,0.31789653609446533
1988,Never,0.4531578969717368,4411,9882,0.45301998988083214,0.45329580406264147
1990,At least once per week,0.058064171908628386,925,13790,0.05800704670988214,0.05812129710737463
1990,At least once per month,0.13567786614005078,1931,13790,0.13559421819674092,0.13576151408336065
1990,Seldom,0.34068390660699394,4969,13790,0.3405681393894429,0.34079967382454496
1990,Never,0.46557405534432683,5965,13790,0.4654522121995248,0.46569589848912885
1992,At least once per week,0.07552581519249882,1066,13157,0.07546131859958716,0.07559031178541048
1992,At least once per month,0.13892438086893177,1846,13157,0.13883995966339396,0.13900880207446958
1992,Seldom,0.3623706391950702,4972,13157,0.3622533110181036,0.36248796737203676
1992,Never,0.4231791647434992,5273,13157,0.42305857113897005,0.42329975834802835
1994,At least once per week,0.08028530874567859,1116,12746,0.08021942759871836,0.08035118989263881
1994,At least once per month,0.13974721530131481,1848,12746,0.13966315301969442,0.1398312775829352
1994,Seldom,0.37668087229667296,4913,12746,0.37656339375156545,0.3767983508417805
1994,Never,0.40328660365633356,4869,12746,0.4031676695700273,0.4034055377426398
1995,At least once per week,0.060963926897521246,931,13219,0.06090615374591942,0.06102170004912307
1995,At least once per month,0.13638422964154492,1917,13219,0.13630136088651185,0.136467098396578
1995,Seldom,0.33830941574604384,4674,13219,0.33819517185808484,0.33842365963400284
1995,Never,0.4643424277148899,5697,13219,0.4642220042100577,0.46446285121972214
1996,At least once per week,0.08236340228010977,1138,12982,0.08229710525640052,0.08242969930381902
1996,At least once per month,0.1701992646930821,2331,12982,0.1701086377612523,0.17028989162491193
1996,Seldom,0.38533550805577715,5198,12982,0.3852181453515667,0.38545287075998763
1996,Never,0.36210182497103094,4315,12982,0.36198592520307116,0.3622177247389907
1997,At least once per week,0.07773422275734908,1075,12729,0.0776696199168392,0.07779882559785896
1997,At least once per month,0.16427323123436585,2216,12729,0.1641838321659522,0.1643626303027795
1997,Seldom,0.38168502661939574,5040,12729,0.38156781386267885,0.38180223937611263
1997,Never,0.37630751938888934,4398,12729,0.3761906302554106,0.3764244085223681
1998,At least once per week,0.05033690304813729,822,14169,0.05028435823864263,0.05038944785763195
1998,At least once per month,0.16599873765985446,2432,14169,0.16590931706772774,0.16608815825198117
1998,Seldom,0.3718341786053441,5488,14169,0.37171803010692694,0.3719503271037613
1998,Never,0.41183018068666416,5427,14169,0.41171190043285677,0.41194846094047155
1999,At least once per week,0.07251115279569141,1090,13592,0.07244892496826418,0.07257338062311865
1999,At least once per month,0.17131758515717832,2494,13592,0.1712271738144196,0.17140799649993704
1999,Seldom,0.4103312764482223,5796,13592,0.4102132445904122,0.41044930830603243
1999,Never,0.3458399855989079,4212,13592,0.34572585358381624,0.3459541176139995
2001,At least once per week,0.07248901460925634,1673,21761,0.07242688304968502,0.07255114616882767
2001,At least once per month,0.17313586810996595,3948,21761,0.17304520570671966,0.17322653051321224
2001,Seldom,0.38442861277392076,8708,21761,0.38431204897565785,0.3845451765721837
2001,Never,0.36994650450685695,7432,21761,0.3698308201057292,0.3700621889079847
2003,At least once per week,0.044437627143495154,1089,22074,0.044388537181579764,0.04448671710541054
2003,At least once per month,0.16429845438715307,3907,22074,0.16421018094002404,0.1643867278342821
2003,Seldom,0.37914321211839386,8998,22074,0.3790276314759498,0.3792587927608379
2003,Never,0.41212070635095793,8080,22074,0.41200344792924465,0.4122379647726712
2005,At least once per week,0.061896704251024295,1350,20593,0.0618395230284848,0.06195388547356379
2005,At least once per month,0.17789468778018439,3816,20593,0.17780393925830584,0.17798543630206293
2005,Seldom,0.4215552852263063,9094,20593,0.42143810548339095,0.42167246496922167
2005,Never,0.3386533227424851,6333,20593,0.33854102097245176,0.33876562451251846
2007,At least once per week,0.05774743254807699,1199,20401,0.05769178490054159,0.05780308019561239
2007,At least once per month,0.1714073176408891,3659,20401,0.17131741301652736,0.17149722226525083
2007,Seldom,0.4349542673573172,9173,20401,0.43483600122276367,0.4350725334918707
2007,Never,0.3358909824537166,6370,20401,0.33577831054133195,0.3360036543661013
2008,At least once per week,0.034800142025966485,644,19254,0.034756599698283326,0.034843684353649644
2008,At least once per month,0.16009435141446285,3077,19254,0.16000723183617893,0.16018147099274677
2008,Seldom,0.4117485691196251,8265,19254,0.41163164339921765,0.41186549484003254
2008,Never,0.39335693743994554,7268,19254,0.3932408801209903,0.3934729947589008
2009,At least once per week,0.05604891836306447,975,17932,0.05599422073907461,0.05610361598705433
2009,At least once per month,0.17983253928841578,3174,17932,0.17974121306366544,0.1799238655131661
2009,Seldom,0.4578530623765209,8483,17932,0.4577345860267055,0.4579715387263363
2009,Never,0.3062654799719989,5300,17932,0.3061558685589561,0.30637509138504165
2011,At least once per week,0.05455410710862248,1375,28281,0.05449935979823469,0.05460885441901026
2011,At least once per month,0.18403600676890153,4862,28281,0.18394259155333428,0.18412942198446877
2011,Seldom,0.44171899442751505,13541,28281,0.4415992844950556,0.4418387043599745
2011,Never,0.319690891694961,8503,28281,0.31957847029308195,0.31980331309684007
2013,At least once per week,0.027445381105807052,603,25420,0.027404242411750854,0.02748651979986325
2013,At least once per month,0.1845842150418267,4696,25420,0.18448652603273413,0.18468190405091928
2013,Seldom,0.4376382873518622,12059,25420,0.4375133695322998,0.43776320517142464
2013,Never,0.35033211650050405,8062,25420,0.35021198841851386,0.35045224458249424
2015,At least once per week,0.039411895621586424,1002,26714,0.03936557096462451,0.03945822027854834
2015,At least once per month,0.19121598571086848,4995,26714,0.19112235715482773,0.19130961426690923
2015,Seldom,0.46271777347082077,13055,26714,0.4625990629321103,0.46283648400953126
2015,Never,0.3066543451967244,7662,26714,0.3065445636340292,0.3067641267594196
2017,At least once per week,0.043572902869698706,1199,30467,0.04352452182746441,0.043621283911933
2017,At least once per month,0.21871676192398948,6115,30467,0.21861879345433416,0.2188147303936448
2017,Seldom,0.4553230656030642,13550,30467,0.4552050415961993,0.4554410896099291
2017,Never,0.2823872696032476,9603,30467,0.28228058330137834,0.2824939559051169
2018,At least once per week,0.024377813487368345,70,3149,0.023925566044155466,0.024830060930581224
2018,At least once per month,0.1328558913567855,271,3149,0.13186054562388203,0.13385123708968896
2018,Seldom,0.22110234588281566,640,3149,0.21988539014019903,0.2223193016254323
2018,Never,0.6216639492730305,2168,3149,0.6202417691126942,0.6230861294333667
2019,At least once per week,0.020770016416935443,593,28776,0.020736229120095453,0.020803803713775434
2019,At least once per month,0.2091795122949948,5731,28776,0.20908315353445645,0.20927587105553314
2019,Seldom,0.452086836949646,13000,28776,0.45196892455100857,0.4522047493482835
2019,Never,0.31796363433842373,9452,28776,0.31785330648514254,0.3180739621917049
