year,regtyp,sex,pli0091_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,At least once per week,0.04162014648446975,519,10904,0.04156473200688491,0.041675560962054596
1985,Urban regions,male,At least once per month,0.05703453168846526,681,10904,0.056970186002106224,0.0570988773748243
1985,Urban regions,male,Seldom,0.11925535800337231,1367,10904,0.11916543587898418,0.11934528012776044
1985,Urban regions,male,Never,0.13591357640758017,1643,10904,0.13581849127543785,0.1360086615397225
1985,Urban regions,female,At least once per week,0.024199381585572804,269,10904,0.02415674471888058,0.024242018452265028
1985,Urban regions,female,At least once per month,0.047468525957624144,511,10904,0.04740952689066455,0.04752752502458374
1985,Urban regions,female,Seldom,0.11542149177277027,1320,10904,0.11533283454716538,0.11551014899837515
1985,Urban regions,female,Never,0.21216613031614212,2251,10904,0.21205269247447905,0.2122795681578052
1985,Rural regions,male,At least once per week,0.014540752768766822,151,10904,0.014507539212206816,0.014573966325326827
1985,Rural regions,male,At least once per month,0.015654605116094216,165,10904,0.015620162397866249,0.015689047834322182
1985,Rural regions,male,Seldom,0.03732831324527922,385,10904,0.03727571625594963,0.037380910234608815
1985,Rural regions,male,Never,0.04882879291547547,443,10904,0.04876899721674849,0.04888858861420245
1985,Rural regions,female,At least once per week,0.010395127598590344,95,10904,0.01036698602176998,0.01042326917541071
1985,Rural regions,female,At least once per month,0.010315191299889464,104,10904,0.010287157001044617,0.01034322559873431
1985,Rural regions,female,Seldom,0.03875616498017515,386,10904,0.03870261124273878,0.038809718717611526
1985,Rural regions,female,Never,0.07110190985973242,614,10904,0.07103060366325929,0.07117321605620554
1986,Urban regions,male,At least once per week,0.04038709932616469,493,10499,0.04033254291699858,0.040441655735330796
1986,Urban regions,male,At least once per month,0.059748912449001816,699,10499,0.05968322788337486,0.059814597014628774
1986,Urban regions,male,Seldom,0.11952246735322289,1329,10499,0.11943256722277866,0.11961236748366712
1986,Urban regions,male,Never,0.13919529946332185,1580,10499,0.13909937243133147,0.13929122649531223
1986,Urban regions,female,At least once per week,0.02150928336739931,228,10499,0.021469079509148684,0.021549487225649935
1986,Urban regions,female,At least once per month,0.049218197926968854,533,10499,0.049158249237661614,0.049278146616276094
1986,Urban regions,female,Seldom,0.11419074053114028,1267,10499,0.11410260278099549,0.11427887828128508
1986,Urban regions,female,Never,0.21272535895736483,2134,10499,0.21261194952633947,0.2128387683883902
1986,Rural regions,male,At least once per week,0.015097323956107925,144,10499,0.015063531243602336,0.015131116668613514
1986,Rural regions,male,At least once per month,0.016308803917892332,163,10499,0.01627370313076095,0.016343904705023712
1986,Rural regions,male,Seldom,0.03658719938589593,357,10499,0.03653517017999812,0.036639228591793735
1986,Rural regions,male,Never,0.04677025469680127,430,10499,0.04671174065896844,0.046828768734634096
1986,Rural regions,female,At least once per week,0.010743808807128493,100,10499,0.010715238827429358,0.010772378786827628
1986,Rural regions,female,At least once per month,0.012947764022706918,118,10499,0.0129164352152312,0.012979092830182637
1986,Rural regions,female,Seldom,0.03782738383174452,362,10499,0.03777451422779251,0.03788025343569653
1986,Rural regions,female,Never,0.06722010200713811,562,10499,0.06715070902038743,0.0672894949938888
1988,Urban regions,male,At least once per week,0.03655683976732358,431,9882,0.036504848761418594,0.036608830773228566
1988,Urban regions,male,At least once per month,0.06423096873187072,701,9882,0.06416305033618569,0.06429888712755574
1988,Urban regions,male,Seldom,0.12545136936823872,1241,9882,0.12535960786200895,0.1255431308744685
1988,Urban regions,male,Never,0.13717304460928637,1510,9882,0.13707773710665205,0.13726835211192068
1988,Urban regions,female,At least once per week,0.022178764013654966,223,9882,0.022137966917603658,0.022219561109706274
1988,Urban regions,female,At least once per month,0.04961023516860915,504,9882,0.049550080773131215,0.049670389564087085
1988,Urban regions,female,Seldom,0.12011453314681031,1194,9882,0.12002447112347181,0.12020459517014881
1988,Urban regions,female,Never,0.2079582057088053,2019,9882,0.20784577293405082,0.20807063848355978
1988,Rural regions,male,At least once per week,0.013169610965879807,122,9882,0.013138029042249508,0.013201192889510105
1988,Rural regions,male,At least once per month,0.020605292240782735,190,9882,0.020565937313503056,0.020644647168062413
1988,Rural regions,male,Seldom,0.03631192265847893,331,9882,0.03626009951964181,0.03636374579731604
1988,Rural regions,male,Never,0.04328597909160884,367,9882,0.04322960292517914,0.04334235525803854
1988,Rural regions,female,At least once per week,0.008921699647233166,87,9882,0.008895649593019113,0.00894774970144722
1988,Rural regions,female,At least once per month,0.013801145140279724,126,9882,0.013768825192001316,0.013833465088558133
1988,Rural regions,female,Seldom,0.035889722179101344,321,9882,0.03583818991152839,0.0359412544466743
1988,Rural regions,female,Never,0.06474066756203628,515,9882,0.06467249879164025,0.06480883633243231
1990,Urban regions,male,At least once per week,0.023507397179382727,356,13704,0.023470324717638453,0.023544469641127
1990,Urban regions,male,At least once per month,0.05297998996492732,725,13704,0.052925181178275806,0.05303479875157883
1990,Urban regions,male,Seldom,0.11293912812129524,1433,13704,0.11286167951604495,0.11301657672654553
1990,Urban regions,male,Never,0.13861864769590773,1844,13704,0.13853409582225326,0.1387031995695622
1990,Urban regions,female,At least once per week,0.012214536722821424,181,13704,0.012187659493964796,0.012241413951678052
1990,Urban regions,female,At least once per month,0.04575183099317573,599,13704,0.04570070407895987,0.04580295790739159
1990,Urban regions,female,Seldom,0.11077186166078887,1465,13704,0.11069506612053646,0.11084865720104127
1990,Urban regions,female,Never,0.19158639846727257,2299,13704,0.19149010123237012,0.19168269570217503
1990,Rural regions,male,At least once per week,0.013546249507337783,228,13704,0.013517964091123236,0.01357453492355233
1990,Rural regions,male,At least once per month,0.021027633700163417,332,13704,0.020992526589174536,0.021062740811152298
1990,Rural regions,male,Seldom,0.05901711378273071,1011,13704,0.058959451143002606,0.05907477642245881
1990,Rural regions,male,Never,0.056786423892876324,762,13704,0.05672979449345349,0.056843053292299155
1990,Rural regions,female,At least once per week,0.008686645052002508,154,13704,0.008663938761454836,0.00870935134255018
1990,Rural regions,female,At least once per month,0.015782262425549896,260,13704,0.015751766283752806,0.015812758567346985
1990,Rural regions,female,Seldom,0.05770769587455603,1020,13704,0.05765063684730418,0.05776475490180787
1990,Rural regions,female,Never,0.0790761849592118,1035,13704,0.07901015373023249,0.07914221618819112
