"pli0091_h","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Taeglich","1985","(noch) kein Abschluss","","","",""
"Taeglich","1985","Hauptschule","","","",""
"Taeglich","1985","Realschule","","","",""
"Taeglich","1985","(Fach-)Abitur","","","",""
"Taeglich","1985","AkademikerIn","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","93","0.181946323977154","0.158873088763348","0.205019559190961"
"Min 1x pro Woche","1985","Hauptschule","447","0.0584305011088625","0.0526709281409558","0.0641900740767693"
"Min 1x pro Woche","1985","Realschule","278","0.144060476285549","0.12782940403961","0.160291548531487"
"Min 1x pro Woche","1985","(Fach-)Abitur","136","0.180800120099126","0.153704971507149","0.207895268691103"
"Min 1x pro Woche","1985","AkademikerIn","68","0.0825576131929763","0.0628217668595997","0.102293459526353"
"Min 1x pro Monat","1985","(noch) kein Abschluss","124","0.201125147250142","0.177152360997474","0.22509793350281"
"Min 1x pro Monat","1985","Hauptschule","649","0.09106757264613","0.0840029012215106","0.0981322440707495"
"Min 1x pro Monat","1985","Realschule","348","0.181124603169053","0.163323337477995","0.19892586886011"
"Min 1x pro Monat","1985","(Fach-)Abitur","191","0.255502360932821","0.224796140664887","0.286208581200755"
"Min 1x pro Monat","1985","AkademikerIn","129","0.167660068933357","0.140871286482206","0.194448851384508"
"Seltener","1985","(noch) kein Abschluss","204","0.221571608011407","0.1967338530055","0.246409363017314"
"Seltener","1985","Hauptschule","1990","0.293682733992004","0.282499088111097","0.30486637987291"
"Seltener","1985","Realschule","671","0.357842185808036","0.335684729471442","0.37999964214463"
"Seltener","1985","(Fach-)Abitur","237","0.290280280807266","0.258324499301556","0.322236062312975"
"Seltener","1985","AkademikerIn","318","0.400876007185554","0.365732008168526","0.436020006202582"
"Nie","1985","(noch) kein Abschluss","653","0.395356920761297","0.366116059091379","0.424597782431215"
"Nie","1985","Hauptschule","3285","0.556819192253004","0.544621101537606","0.569017282968401"
"Nie","1985","Realschule","501","0.316972734737363","0.295465567067212","0.338479902407514"
"Nie","1985","(Fach-)Abitur","211","0.273417238160788","0.242037253220516","0.30479722310106"
"Nie","1985","AkademikerIn","232","0.348906310688113","0.314726949191377","0.383085672184849"
"Taeglich","1986","(noch) kein Abschluss","","","",""
"Taeglich","1986","Hauptschule","","","",""
"Taeglich","1986","Realschule","","","",""
"Taeglich","1986","(Fach-)Abitur","","","",""
"Taeglich","1986","AkademikerIn","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","94","0.172156283877521","0.148965799486529","0.195346768268513"
"Min 1x pro Woche","1986","Hauptschule","421","0.059677257349173","0.0537006826545608","0.0656538320437851"
"Min 1x pro Woche","1986","Realschule","247","0.130816131683008","0.115080460182383","0.146551803183634"
"Min 1x pro Woche","1986","(Fach-)Abitur","126","0.155228954643271","0.130213636693685","0.180244272592856"
"Min 1x pro Woche","1986","AkademikerIn","61","0.0806576144649191","0.0610643199478865","0.100250908981952"
"Min 1x pro Monat","1986","(noch) kein Abschluss","127","0.192183076064005","0.167979014664549","0.216387137463461"
"Min 1x pro Monat","1986","Hauptschule","636","0.0923889723647","0.085083145027622","0.099694799701778"
"Min 1x pro Monat","1986","Realschule","371","0.197193801621443","0.178626414645507","0.215761188597379"
"Min 1x pro Monat","1986","(Fach-)Abitur","221","0.291651889313328","0.260253604990022","0.323050173636634"
"Min 1x pro Monat","1986","AkademikerIn","139","0.16721478273854","0.140364431171096","0.194065134305984"
"Seltener","1986","(noch) kein Abschluss","198","0.2209640229023","0.195477314898344","0.246450730906257"
"Seltener","1986","Hauptschule","1858","0.290912474947037","0.279453637759268","0.302371312134806"
"Seltener","1986","Realschule","645","0.341236919904335","0.31911150451763","0.363362335291039"
"Seltener","1986","(Fach-)Abitur","256","0.310721254207837","0.278751958041979","0.342690550373695"
"Seltener","1986","AkademikerIn","311","0.399219725871005","0.363981830088456","0.434457621653555"
"Nie","1986","(noch) kein Abschluss","599","0.414696617156174","0.384432363697853","0.444960870614495"
"Nie","1986","Hauptschule","3120","0.55702129533909","0.544488822337919","0.569553768340261"
"Nie","1986","Realschule","501","0.330753146791214","0.308797614940658","0.35270867864177"
"Nie","1986","(Fach-)Abitur","202","0.242397901835564","0.212794940128674","0.272000863542454"
"Nie","1986","AkademikerIn","231","0.352907876925536","0.318523601972172","0.387292151878901"
"Taeglich","1987","(noch) kein Abschluss","","","",""
"Taeglich","1987","Hauptschule","","","",""
"Taeglich","1987","Realschule","","","",""
"Taeglich","1987","(Fach-)Abitur","","","",""
"Taeglich","1987","AkademikerIn","","","",""
"Min 1x pro Woche","1987","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1987","Hauptschule","","","",""
"Min 1x pro Woche","1987","Realschule","","","",""
"Min 1x pro Woche","1987","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1987","AkademikerIn","","","",""
"Min 1x pro Monat","1987","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1987","Hauptschule","","","",""
"Min 1x pro Monat","1987","Realschule","","","",""
"Min 1x pro Monat","1987","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1987","AkademikerIn","","","",""
"Seltener","1987","(noch) kein Abschluss","","","",""
"Seltener","1987","Hauptschule","","","",""
"Seltener","1987","Realschule","","","",""
"Seltener","1987","(Fach-)Abitur","","","",""
"Seltener","1987","AkademikerIn","","","",""
"Nie","1987","(noch) kein Abschluss","","","",""
"Nie","1987","Hauptschule","","","",""
"Nie","1987","Realschule","","","",""
"Nie","1987","(Fach-)Abitur","","","",""
"Nie","1987","AkademikerIn","","","",""
"Taeglich","1988","(noch) kein Abschluss","","","",""
"Taeglich","1988","Hauptschule","","","",""
"Taeglich","1988","Realschule","","","",""
"Taeglich","1988","(Fach-)Abitur","","","",""
"Taeglich","1988","AkademikerIn","","","",""
"Min 1x pro Woche","1988","(noch) kein Abschluss","83","0.181292285595368","0.156192043816563","0.206392527374173"
"Min 1x pro Woche","1988","Hauptschule","363","0.053319530548201","0.0474752169555182","0.0591638441408838"
"Min 1x pro Woche","1988","Realschule","224","0.111491977786235","0.0964995454163166","0.126484410156154"
"Min 1x pro Woche","1988","(Fach-)Abitur","121","0.177781249055609","0.150084473258868","0.205478024852351"
"Min 1x pro Woche","1988","AkademikerIn","50","0.0685838175805031","0.0498471556633739","0.0873204794976323"
"Min 1x pro Monat","1988","(noch) kein Abschluss","108","0.205019486837269","0.178716830290244","0.231322143384293"
"Min 1x pro Monat","1988","Hauptschule","668","0.10249860229096","0.0946088170428369","0.110388387539083"
"Min 1x pro Monat","1988","Realschule","359","0.194405126285065","0.17555423819083","0.213256014379301"
"Min 1x pro Monat","1988","(Fach-)Abitur","204","0.290527469373403","0.257638221371503","0.323416717375302"
"Min 1x pro Monat","1988","AkademikerIn","141","0.198823174354479","0.169235747713501","0.228410600995457"
"Seltener","1988","(noch) kein Abschluss","158","0.199096364540768","0.173080060526116","0.225112668555421"
"Seltener","1988","Hauptschule","1726","0.296270186325203","0.284392397644577","0.30814797500583"
"Seltener","1988","Realschule","653","0.374028562245996","0.350979712616653","0.397077411875339"
"Seltener","1988","(Fach-)Abitur","208","0.298824320757828","0.26566436496231","0.331984276553346"
"Seltener","1988","AkademikerIn","295","0.409998362798221","0.37353748057819","0.446459245018253"
"Nie","1988","(noch) kein Abschluss","556","0.414591863026595","0.382494927797159","0.446688798256031"
"Nie","1988","Hauptschule","2920","0.547911680835635","0.534965085713836","0.560858275957435"
"Nie","1988","Realschule","457","0.320074333682703","0.297852711734005","0.342295955631402"
"Nie","1988","(Fach-)Abitur","199","0.23286696081316","0.202248607383873","0.263485314242448"
"Nie","1988","AkademikerIn","213","0.322594645266797","0.287939925368775","0.357249365164818"
"Taeglich","1989","(noch) kein Abschluss","","","",""
