year,pgisced97,quintil_oecd,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Primary Level,1st Quintile,Seldom,0.23025,54,288,0.18154,0.27896
1985,Primary Level,1st Quintile,Never,0.64928,234,288,0.59407,0.70449
1985,Primary Level,2nd Quintile,Never,0.66155,138,138,0.58232,0.74079
1985,Primary Level,3rd Quintile,Never,0.52592,110,110,0.43217,0.61966
1985,Primary Level,4th Quintile,Never,0.62511,79,79,0.51768,0.73254
1985,Primary Level,5th Quintile,Never,0.53543,34,34,0.36526,0.70559
1985,Lower Secondary Level,1st Quintile,At least once per week,0.05474,60,839,0.03934,0.07015
1985,Lower Secondary Level,1st Quintile,At least once per month,0.09938,101,839,0.07912,0.11964
1985,Lower Secondary Level,1st Quintile,Seldom,0.17909,175,839,0.15313,0.20505
1985,Lower Secondary Level,1st Quintile,Never,0.66679,503,839,0.63487,0.69870
1985,Lower Secondary Level,2nd Quintile,At least once per week,0.07684,61,708,0.05721,0.09647
1985,Lower Secondary Level,2nd Quintile,At least once per month,0.08667,65,708,0.06593,0.10741
1985,Lower Secondary Level,2nd Quintile,Seldom,0.24291,183,708,0.21130,0.27452
1985,Lower Secondary Level,2nd Quintile,Never,0.59358,399,708,0.55738,0.62979
1985,Lower Secondary Level,3rd Quintile,At least once per week,0.11362,85,658,0.08936,0.13789
1985,Lower Secondary Level,3rd Quintile,At least once per month,0.12192,86,658,0.09690,0.14694
1985,Lower Secondary Level,3rd Quintile,Seldom,0.20870,154,658,0.17763,0.23978
1985,Lower Secondary Level,3rd Quintile,Never,0.55575,333,658,0.51776,0.59375
1985,Lower Secondary Level,4th Quintile,At least once per week,0.10772,56,485,0.08010,0.13534
1985,Lower Secondary Level,4th Quintile,At least once per month,0.12552,65,485,0.09600,0.15503
1985,Lower Secondary Level,4th Quintile,Seldom,0.25720,134,485,0.21826,0.29614
1985,Lower Secondary Level,4th Quintile,Never,0.50956,230,485,0.46502,0.55410
1985,Lower Secondary Level,5th Quintile,At least once per week,0.11283,40,338,0.07905,0.14661
1985,Lower Secondary Level,5th Quintile,At least once per month,0.12705,46,338,0.09150,0.16261
1985,Lower Secondary Level,5th Quintile,Seldom,0.26175,95,338,0.21481,0.30868
1985,Lower Secondary Level,5th Quintile,Never,0.49837,157,338,0.44499,0.55176
1985,Upper Secondary Level,1st Quintile,At least once per week,0.06044,58,840,0.04432,0.07657
1985,Upper Secondary Level,1st Quintile,At least once per month,0.12035,102,840,0.09834,0.14237
1985,Upper Secondary Level,1st Quintile,Seldom,0.29651,278,840,0.26561,0.32742
1985,Upper Secondary Level,1st Quintile,Never,0.52269,402,840,0.48889,0.55649
1985,Upper Secondary Level,2nd Quintile,At least once per week,0.08555,100,1008,0.06827,0.10282
1985,Upper Secondary Level,2nd Quintile,At least once per month,0.08517,104,1008,0.06793,0.10241
1985,Upper Secondary Level,2nd Quintile,Seldom,0.34335,359,1008,0.31403,0.37268
1985,Upper Secondary Level,2nd Quintile,Never,0.48593,445,1008,0.45506,0.51680
1985,Upper Secondary Level,3rd Quintile,At least once per week,0.09246,106,1048,0.07491,0.11000
1985,Upper Secondary Level,3rd Quintile,At least once per month,0.13351,150,1048,0.11291,0.15411
1985,Upper Secondary Level,3rd Quintile,Seldom,0.35629,381,1048,0.32728,0.38530
1985,Upper Secondary Level,3rd Quintile,Never,0.41774,411,1048,0.38787,0.44762
1985,Upper Secondary Level,4th Quintile,At least once per week,0.08392,106,1151,0.06790,0.09995
1985,Upper Secondary Level,4th Quintile,At least once per month,0.14453,181,1151,0.12421,0.16485
1985,Upper Secondary Level,4th Quintile,Seldom,0.34481,416,1151,0.31733,0.37228
1985,Upper Secondary Level,4th Quintile,Never,0.42674,448,1151,0.39815,0.45533
1985,Upper Secondary Level,5th Quintile,At least once per week,0.09884,121,1076,0.08100,0.11668
1985,Upper Secondary Level,5th Quintile,At least once per month,0.14795,167,1076,0.12672,0.16917
1985,Upper Secondary Level,5th Quintile,Seldom,0.37320,412,1076,0.34429,0.40212
1985,Upper Secondary Level,5th Quintile,Never,0.38001,376,1076,0.35099,0.40902
1985,First Stage of Tertiary Education,2nd Quintile,Never,0.49088,32,32,0.31490,0.66686
1985,First Stage of Tertiary Education,3rd Quintile,Seldom,0.35278,42,82,0.24872,0.45684
1985,First Stage of Tertiary Education,3rd Quintile,Never,0.40205,40,82,0.29527,0.50883
1985,First Stage of Tertiary Education,4th Quintile,Seldom,0.36412,57,127,0.28010,0.44814
1985,First Stage of Tertiary Education,4th Quintile,Never,0.46392,70,127,0.37684,0.55100
1985,First Stage of Tertiary Education,5th Quintile,Seldom,0.41629,93,170,0.34197,0.49061
1985,First Stage of Tertiary Education,5th Quintile,Never,0.41131,77,170,0.33712,0.48550
1985,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.40023,44,75,0.28859,0.51186
1985,Second Stage of Tertiary Education,3rd Quintile,Never,0.34140,31,75,0.23336,0.44944
1985,Second Stage of Tertiary Education,4th Quintile,Seldom,0.41618,76,134,0.33241,0.49996
1985,Second Stage of Tertiary Education,4th Quintile,Never,0.35992,58,134,0.27835,0.44149
1985,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.17299,69,332,0.13224,0.21374
1985,Second Stage of Tertiary Education,5th Quintile,Seldom,0.40317,154,332,0.35033,0.45602
