year,sampreg,pli0091_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,West,At least once per week,0.09075540843739972,1034,10904,0.0906757046012867,0.09083511227351275
1985,West,At least once per month,0.1304728540620731,1461,10904,0.13037939869298487,0.13056630943116132
1985,West,Seldom,0.31076132800159695,3458,10904,0.31063291739246324,0.31088973861073066
1985,West,Never,0.46801040949893014,4951,10904,0.4678719630161811,0.46814885598167916
1986,West,At least once per week,0.08773751545680042,965,10499,0.08765911312463749,0.08781591778896335
1986,West,At least once per month,0.13822367831656993,1513,10499,0.13812803273564833,0.13831932389749152
1986,West,Seldom,0.3081277911020036,3315,10499,0.3079998368312097,0.30825574537279754
1986,West,Never,0.46591101512462607,4706,10499,0.4657727748119668,0.4660492554372853
1988,West,At least once per week,0.08082691439409152,863,9882,0.08075140386765582,0.08090242492052722
1988,West,At least once per month,0.14824764128154233,1521,9882,0.1481491990574486,0.14834608350563605
1988,West,Seldom,0.31776754735262935,3087,9882,0.3176385586107934,0.31789653609446533
1988,West,Never,0.4531578969717368,4411,9882,0.45301998988083214,0.45329580406264147
1990,West,At least once per week,0.041921103394288235,556,13790,0.041872150323812536,0.041970056464763934
1990,West,At least once per month,0.1102807324422079,1347,13790,0.11020421873119467,0.11035724615322114
1990,West,Seldom,0.2540251135981702,2833,13790,0.253918781746157,0.2541314454501834
1990,West,Never,0.398780293823673,4691,13790,0.39866068963329865,0.3988998980140474
1990,East,At least once per week,0.016143068514340154,369,13790,0.016112284732868513,0.016173852295811794
1990,East,At least once per month,0.02539713369784291,584,13790,0.025358703807757774,0.025435563587928048
1990,East,Seldom,0.08665879300882379,2136,13790,0.0865900725909775,0.08672751342667008
1990,East,Never,0.06679376152065379,1274,13790,0.0667327769858851,0.06685474605542248
1992,West,At least once per week,0.06218192008584953,797,13157,0.062122976977705274,0.06224086319399379
1992,West,At least once per month,0.11881586345669132,1435,13157,0.11873688434993111,0.11889484256345152
1992,West,Seldom,0.2824233295804638,3237,13157,0.2823134476936993,0.28253321146722826
1992,West,Never,0.3335220574466461,3747,13157,0.333406978245273,0.3336371366480192
1992,East,At least once per week,0.01334389510664929,269,13157,0.013315888152414815,0.013371902060883765
1992,East,At least once per month,0.02010851741224046,411,13157,0.02007425478310269,0.02014278004137823
1992,East,Seldom,0.07994730961460643,1735,13157,0.07988111084084139,0.08001350838837147
1992,East,Never,0.08965710729685306,1526,13157,0.0895873745885862,0.0897268400051199
1994,West,At least once per week,0.06642954166348289,828,12746,0.06636916477514881,0.06648991855181696
1994,West,At least once per month,0.12001317510138261,1431,12746,0.11993438546495663,0.12009196473780859
1994,West,Seldom,0.2998094474714396,3327,12746,0.2996983645408103,0.29992053040206895
1994,West,Never,0.3140876358771707,3411,12746,0.31397510381314325,0.31420016794119815
1994,East,At least once per week,0.013855767082195703,288,12746,0.013827426938020474,0.013884107226370932
1994,East,At least once per month,0.01973404019993221,417,12746,0.019700319505187056,0.019767760894677366
1994,East,Seldom,0.07687142482523338,1586,12746,0.0768068400561193,0.07693600959434745
1994,East,Never,0.08919896777916285,1458,12746,0.08912986297826925,0.08926807258005645
1995,West,At least once per week,0.05080756392746972,703,13219,0.05075453781663967,0.05086059003829977
1995,West,At least once per month,0.11492716006701302,1449,13219,0.11485014968119941,0.11500417045282663
1995,West,Seldom,0.2686993570112618,3176,13219,0.26859232104205927,0.2688063929804643
1995,West,Never,0.371459481413415,4215,13219,0.37134280829157634,0.37157615453525367
1995,East,At least once per week,0.010156362970051529,228,13219,0.010132152631686002,0.010180573308417056
1995,East,At least once per month,0.0214570695745319,468,13219,0.0214220812133358,0.021492057935728
1995,East,Seldom,0.06961005873478203,1498,13219,0.06954860943222971,0.06967150803733435
1995,East,Never,0.09288294630147499,1482,13219,0.09281285758416448,0.0929530350187855
1996,West,At least once per week,0.06980453789073356,848,12982,0.06974308809179006,0.06986598768967706
1996,West,At least once per month,0.14069865513639807,1726,12982,0.1406148039428676,0.14078250632992853
1996,West,Seldom,0.30448280907326214,3519,12982,0.30437183363902875,0.3045937845074955
1996,West,Never,0.2933770483279495,3217,12982,0.29326724930716,0.2934868473487389
1996,East,At least once per week,0.012558864389376223,290,12982,0.012532009564599843,0.012585719214152604
1996,East,At least once per month,0.02950060955668404,605,12982,0.029459805376361923,0.029541413737006156
1996,East,Seldom,0.08085269898251503,1679,12982,0.08078695873288007,0.08091843923214999
1996,East,Never,0.06872477664308146,1098,12982,0.06866376858200948,0.06878578470415345
1997,West,At least once per week,0.06300453669498948,777,12729,0.0629459131479474,0.06306316024203157
1997,West,At least once per month,0.1365376947677952,1621,12729,0.13645484993773097,0.13662053959785944
1997,West,Seldom,0.3034795545586519,3447,12729,0.3033686245388925,0.30359048457841126
1997,West,Never,0.3053961201026125,3273,12729,0.3052849935614902,0.30550724664373485
1997,East,At least once per week,0.014729686062359588,298,12729,0.01470061961984564,0.014758752504873537
