"pli0091_h","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1985","Hauptschule","Westdeutschland","","","",""
"Taeglich","1985","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1985","Realschule","Westdeutschland","","","",""
"Taeglich","1985","Realschule","Ostdeutschland","","","",""
"Taeglich","1985","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1985","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1985","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","Westdeutschland","93","0.181946323977154","0.158873088763348","0.205019559190961"
"Min 1x pro Woche","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","Hauptschule","Westdeutschland","447","0.0584305011088625","0.0526709281409558","0.0641900740767693"
"Min 1x pro Woche","1985","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","Realschule","Westdeutschland","278","","",""
"Min 1x pro Woche","1985","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Westdeutschland","136","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Woche","1985","AkademikerIn","Westdeutschland","68","0.0825576131929763","0.0628217668595997","0.102293459526353"
"Min 1x pro Woche","1985","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Westdeutschland","124","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","Hauptschule","Westdeutschland","649","0.09106757264613","0.0840029012215106","0.0981322440707495"
"Min 1x pro Monat","1985","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","Realschule","Westdeutschland","348","0.181124603169053","0.163323337477995","0.19892586886011"
"Min 1x pro Monat","1985","Realschule","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Westdeutschland","191","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Min 1x pro Monat","1985","AkademikerIn","Westdeutschland","129","","",""
"Min 1x pro Monat","1985","AkademikerIn","Ostdeutschland","","","",""
"Seltener","1985","(noch) kein Abschluss","Westdeutschland","204","","",""
"Seltener","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Seltener","1985","Hauptschule","Westdeutschland","1990","","",""
"Seltener","1985","Hauptschule","Ostdeutschland","","","",""
"Seltener","1985","Realschule","Westdeutschland","671","0.357842185808036","0.335684729471442","0.37999964214463"
"Seltener","1985","Realschule","Ostdeutschland","","","",""
"Seltener","1985","(Fach-)Abitur","Westdeutschland","237","","",""
"Seltener","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Seltener","1985","AkademikerIn","Westdeutschland","318","0.400876007185554","0.365732008168526","0.436020006202582"
"Seltener","1985","AkademikerIn","Ostdeutschland","","","",""
"Nie","1985","(noch) kein Abschluss","Westdeutschland","653","0.395356920761297","0.366116059091379","0.424597782431215"
"Nie","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nie","1985","Hauptschule","Westdeutschland","3285","0.556819192253004","0.544621101537606","0.569017282968401"
"Nie","1985","Hauptschule","Ostdeutschland","","","",""
"Nie","1985","Realschule","Westdeutschland","501","0.316972734737363","0.295465567067212","0.338479902407514"
"Nie","1985","Realschule","Ostdeutschland","","","",""
"Nie","1985","(Fach-)Abitur","Westdeutschland","211","","",""
"Nie","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"Nie","1985","AkademikerIn","Westdeutschland","232","","",""
"Nie","1985","AkademikerIn","Ostdeutschland","","","",""
"Taeglich","1986","(noch) kein Abschluss","Westdeutschland","","","",""
"Taeglich","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Taeglich","1986","Hauptschule","Westdeutschland","","","",""
"Taeglich","1986","Hauptschule","Ostdeutschland","","","",""
"Taeglich","1986","Realschule","Westdeutschland","","","",""
"Taeglich","1986","Realschule","Ostdeutschland","","","",""
"Taeglich","1986","(Fach-)Abitur","Westdeutschland","","","",""
"Taeglich","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Taeglich","1986","AkademikerIn","Westdeutschland","","","",""
"Taeglich","1986","AkademikerIn","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","(noch) kein Abschluss","Westdeutschland","94","0.172156283877521","0.148965799486529","0.195346768268513"
"Min 1x pro Woche","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","Hauptschule","Westdeutschland","421","0.059677257349173","0.0537006826545608","0.0656538320437851"
"Min 1x pro Woche","1986","Hauptschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","Realschule","Westdeutschland","247","","",""
"Min 1x pro Woche","1986","Realschule","Ostdeutschland","","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","Westdeutschland","126","","",""
"Min 1x pro Woche","1986","(Fach-)Abitur","Ostdeutschland","","","",""
