"pli0091_h","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Taeglich","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Taeglich","1985","Hauptschule","Staedtischer Raum","","","",""
"Taeglich","1985","Hauptschule","Laendlicher Raum","","","",""
"Taeglich","1985","Realschule","Staedtischer Raum","","","",""
"Taeglich","1985","Realschule","Laendlicher Raum","","","",""
"Taeglich","1985","(Fach-)Abitur","Staedtischer Raum","","","",""
"Taeglich","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Taeglich","1985","AkademikerIn","Staedtischer Raum","","","",""
"Taeglich","1985","AkademikerIn","Laendlicher Raum","","","",""
"Min 1x pro Woche","1985","(noch) kein Abschluss","Staedtischer Raum","73","0.168155422438403","0.14413117547177","0.192179669405036"
"Min 1x pro Woche","1985","(noch) kein Abschluss","Laendlicher Raum","20","","",""
"Min 1x pro Woche","1985","Hauptschule","Staedtischer Raum","320","0.051452605629002","0.0452152166005582","0.0576899946574459"
"Min 1x pro Woche","1985","Hauptschule","Laendlicher Raum","127","","",""
"Min 1x pro Woche","1985","Realschule","Staedtischer Raum","204","","",""
"Min 1x pro Woche","1985","Realschule","Laendlicher Raum","74","0.170753906130044","0.134106130464936","0.207401681795152"
"Min 1x pro Woche","1985","(Fach-)Abitur","Staedtischer Raum","121","","",""
"Min 1x pro Woche","1985","(Fach-)Abitur","Laendlicher Raum","15","","",""
"Min 1x pro Woche","1985","AkademikerIn","Staedtischer Raum","60","0.089632675360011","0.0672734974791113","0.111991853240911"
"Min 1x pro Woche","1985","AkademikerIn","Laendlicher Raum","8","0.0495716228262837","0.0107356906775769","0.0884075549749904"
"Min 1x pro Monat","1985","(noch) kein Abschluss","Staedtischer Raum","109","","",""
"Min 1x pro Monat","1985","(noch) kein Abschluss","Laendlicher Raum","15","","",""
"Min 1x pro Monat","1985","Hauptschule","Staedtischer Raum","500","0.093761790765178","0.0855317164053577","0.101991865124998"
"Min 1x pro Monat","1985","Hauptschule","Laendlicher Raum","149","","",""
"Min 1x pro Monat","1985","Realschule","Staedtischer Raum","280","","",""
"Min 1x pro Monat","1985","Realschule","Laendlicher Raum","68","0.15896003685119","0.123349963111463","0.194570110590917"
"Min 1x pro Monat","1985","(Fach-)Abitur","Staedtischer Raum","168","","",""
"Min 1x pro Monat","1985","(Fach-)Abitur","Laendlicher Raum","23","","",""
"Min 1x pro Monat","1985","AkademikerIn","Staedtischer Raum","117","","",""
"Min 1x pro Monat","1985","AkademikerIn","Laendlicher Raum","12","","",""
"Seltener","1985","(noch) kein Abschluss","Staedtischer Raum","167","","",""
"Seltener","1985","(noch) kein Abschluss","Laendlicher Raum","37","0.310073469139475","0.234265685533193","0.385881252745757"
"Seltener","1985","Hauptschule","Staedtischer Raum","1501","","",""
