year,pgisced97,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,Never,0.36549,60,60,0.24261,0.48838
1985,Pre-primary Level,At least once per week,0.33881,65,173,0.26807,0.40954
1985,Pre-primary Level,At least once per month,0.38827,65,173,0.31544,0.46110
1985,Pre-primary Level,Seldom,0.21493,43,173,0.15354,0.27632
1985,Primary Level,At least once per month,0.07196,51,798,0.05401,0.08990
1985,Primary Level,Seldom,0.23095,150,798,0.20169,0.26021
1985,Primary Level,Never,0.62196,597,798,0.58829,0.65562
1985,Lower Secondary Level,At least once per week,0.08801,302,3028,0.07791,0.09810
1985,Lower Secondary Level,At least once per month,0.10865,363,3028,0.09756,0.11974
1985,Lower Secondary Level,Seldom,0.22261,741,3028,0.20779,0.23743
1985,Lower Secondary Level,Never,0.58073,1622,3028,0.56315,0.59831
1985,Upper Secondary Level,At least once per week,0.08608,493,5129,0.07840,0.09376
1985,Upper Secondary Level,At least once per month,0.12801,705,5129,0.11887,0.13716
1985,Upper Secondary Level,Seldom,0.34499,1846,5129,0.33198,0.35800
1985,Upper Secondary Level,Never,0.44091,2085,5129,0.42732,0.45450
1985,Post-secondary Non-tertiary Level,At least once per month,0.20302,54,242,0.15224,0.25381
1985,Post-secondary Non-tertiary Level,Seldom,0.32878,91,242,0.26947,0.38809
1985,Post-secondary Non-tertiary Level,Never,0.35303,97,242,0.29269,0.41337
1985,First Stage of Tertiary Education,At least once per week,0.07060,44,610,0.05026,0.09095
1985,First Stage of Tertiary Education,At least once per month,0.11917,78,610,0.09344,0.14490
1985,First Stage of Tertiary Education,Seldom,0.37092,243,610,0.33256,0.40929
1985,First Stage of Tertiary Education,Never,0.43930,245,610,0.39989,0.47872
1985,Second Stage of Tertiary Education,At least once per week,0.08261,68,747,0.06286,0.10237
1985,Second Stage of Tertiary Education,At least once per month,0.16759,129,747,0.14078,0.19439
1985,Second Stage of Tertiary Education,Seldom,0.40091,318,747,0.36575,0.43608
1985,Second Stage of Tertiary Education,Never,0.34889,232,747,0.31468,0.38309
1986,No answer / don't know,Seldom,0.27773,34,80,0.17897,0.37650
1986,No answer / don't know,Never,0.27865,46,80,0.17978,0.37751
