year,bula_h,pgisced97,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Schleswig-Holstein,Lower Secondary Level,Never,0.53130,40,40,0.37468,0.68792
1985,Schleswig-Holstein,Upper Secondary Level,Seldom,0.39956,83,147,0.32011,0.47902
1985,Schleswig-Holstein,Upper Secondary Level,Never,0.35806,64,147,0.28029,0.43583
1985,Hamburg,Upper Secondary Level,Seldom,0.29769,45,112,0.21263,0.38276
1985,Hamburg,Upper Secondary Level,Never,0.48615,67,112,0.39317,0.57913
1985,Lower Saxony,Lower Secondary Level,At least once per month,0.10450,36,278,0.06848,0.14053
1985,Lower Saxony,Lower Secondary Level,Seldom,0.24297,83,278,0.19246,0.29348
1985,Lower Saxony,Lower Secondary Level,Never,0.56693,159,278,0.50858,0.62529
1985,Lower Saxony,Upper Secondary Level,At least once per week,0.09166,55,535,0.06719,0.11613
1985,Lower Saxony,Upper Secondary Level,At least once per month,0.11466,66,535,0.08764,0.14168
1985,Lower Saxony,Upper Secondary Level,Seldom,0.43234,236,535,0.39032,0.47436
1985,Lower Saxony,Upper Secondary Level,Never,0.36134,178,535,0.32059,0.40209
1985,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.42197,34,34,0.25347,0.59048
1985,North Rhine-Westphalia,Primary Level,Seldom,0.21645,39,243,0.16456,0.26834
1985,North Rhine-Westphalia,Primary Level,Never,0.72521,204,243,0.66896,0.78145
1985,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.07232,63,745,0.05370,0.09093
1985,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.11521,94,745,0.09227,0.13815
1985,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.23430,190,745,0.20386,0.26473
1985,North Rhine-Westphalia,Lower Secondary Level,Never,0.57818,398,745,0.54269,0.61366
1985,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.06191,102,1384,0.04921,0.07461
1985,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.11393,174,1384,0.09719,0.13068
1985,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.34410,502,1384,0.31906,0.36914
1985,North Rhine-Westphalia,Upper Secondary Level,Never,0.48005,606,1384,0.45372,0.50639
1985,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.33983,31,31,0.17034,0.50933
1985,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.39174,64,119,0.30366,0.47981
1985,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.41079,55,119,0.32202,0.49956
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per month,0.19438,45,194,0.13855,0.25021
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.34695,77,194,0.27979,0.41410
1985,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.34620,72,194,0.27908,0.41332
1985,Hesse,Primary Level,Never,0.62531,67,67,0.50854,0.74209
1985,Hesse,Lower Secondary Level,At least once per week,0.10472,36,321,0.07117,0.13827
1985,Hesse,Lower Secondary Level,At least once per month,0.09545,39,321,0.06325,0.12764
1985,Hesse,Lower Secondary Level,Seldom,0.26818,88,321,0.21964,0.31672
1985,Hesse,Lower Secondary Level,Never,0.53165,158,321,0.47697,0.58632
1985,Hesse,Upper Secondary Level,At least once per week,0.11680,62,507,0.08881,0.14478
1985,Hesse,Upper Secondary Level,At least once per month,0.12708,67,507,0.09806,0.15610
1985,Hesse,Upper Secondary Level,Seldom,0.37413,190,507,0.33196,0.41629
1985,Hesse,Upper Secondary Level,Never,0.38200,188,507,0.33966,0.42433
1985,Hesse,Second Stage of Tertiary Education,Seldom,0.34880,37,37,0.19312,0.50449
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,At least once per month,0.11851,32,242,0.07770,0.15931
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.22267,64,242,0.17015,0.27520
1985,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.60747,146,242,0.54581,0.66912
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per week,0.09066,33,346,0.06036,0.12095
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per month,0.12254,48,346,0.08793,0.15714
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.29606,109,346,0.24788,0.34423
1985,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.49075,156,346,0.43800,0.54351
1985,Baden-Wuerttemberg,Primary Level,Seldom,0.13934,32,218,0.09326,0.18541
1985,Baden-Wuerttemberg,Primary Level,Never,0.75223,186,218,0.69479,0.80968
1985,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.08812,68,599,0.06540,0.11084
1985,Baden-Wuerttemberg,Lower Secondary Level,At least once per month,0.10299,62,599,0.07863,0.12736
1985,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.17207,124,599,0.14182,0.20232
1985,Baden-Wuerttemberg,Lower Secondary Level,Never,0.63682,345,599,0.59827,0.67536
1985,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.08397,92,858,0.06540,0.10254
1985,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.13407,120,858,0.11126,0.15689
