year,bula_h,sex,pli0091_h,proportion,n,lower_confidence,upper_confidence
1995,Schleswig-Holstein,male,5.0,0.003631136999773054,13284,0.0026082609053116592,0.004654013094234449
1995,Thueringen,male,3.0,0.003631136999773054,13284,0.0026082609053116592,0.004654013094234449
1995,Berlin,female,3.0,0.003631136999773054,13284,0.0026082609053116592,0.004654013094234449
1995,"Rheinland-Pfalz,Saarland",male,3.0,0.003404190937287238,13284,0.0024136826311909523,0.004394699243383524
1995,Niedersachsen,male,2.0,0.003404190937287238,13284,0.0024136826311909523,0.004394699243383524
1995,Sachsen-Anhalt,male,3.0,0.003252893562296694,13284,0.0022845732185482965,0.004221213906045092
1995,Brandenburg,female,3.0,0.0029502988123156063,13284,0.0020279758013533743,0.0038726218232778384
1995,"Rheinland-Pfalz,Saarland",female,3.0,0.0029502988123156063,13284,0.0020279758013533743,0.0038726218232778384
1995,Sachsen,male,2.0,0.0029502988123156063,13284,0.0020279758013533743,0.0038726218232778384
1995,Thueringen,female,3.0,0.0029502988123156063,13284,0.0020279758013533743,0.0038726218232778384
1995,Brandenburg,male,3.0,0.0025720553748392466,13284,0.0017107194507436742,0.003433391298934819
1995,Hessen,female,2.0,0.0023451093123534306,13284,0.0015225573335820503,0.003167661291124811
1995,Hamburg,female,5.0,0.002193811937362887,13284,0.0013981759251077033,0.0029894479496180705
1995,Sachsen,female,2.0,0.0021181632498676146,13284,0.0013363358058353677,0.0028999906938998615
1995,Thueringen,male,2.0,0.001966865874877071,13284,0.0012134209870425044,0.0027203107627116374
1995,Berlin,male,2.0,0.001966865874877071,13284,0.0012134209870425044,0.0027203107627116374
1995,Hessen,male,2.0,0.001966865874877071,13284,0.0012134209870425044,0.0027203107627116374
1995,Hamburg,female,4.0,0.001966865874877071,13284,0.0012134209870425044,0.0027203107627116374
1995,Hamburg,male,4.0,0.001966865874877071,13284,0.0012134209870425044,0.0027203107627116374
1995,Bremen,female,5.0,0.001815568499886527,13284,0.0010916271996903662,0.0025395098000826877
1995,Mecklenburg-Vorpommern,female,3.0,0.001815568499886527,13284,0.0010916271996903662,0.0025395098000826877
1995,Brandenburg,male,2.0,0.001815568499886527,13284,0.0010916271996903662,0.0025395098000826877
