year,pgisced97,sampreg,pli0091_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No answer / don't know,West,Never,0.36549,60,60,0.24261,0.48838
1985,Pre-primary Level,West,At least once per week,0.33881,65,173,0.26807,0.40954
1985,Pre-primary Level,West,At least once per month,0.38827,65,173,0.31544,0.46110
1985,Pre-primary Level,West,Seldom,0.21493,43,173,0.15354,0.27632
1985,Primary Level,West,At least once per month,0.07196,51,798,0.05401,0.08990
1985,Primary Level,West,Seldom,0.23095,150,798,0.20169,0.26021
1985,Primary Level,West,Never,0.62196,597,798,0.58829,0.65562
1985,Lower Secondary Level,West,At least once per week,0.08801,302,3028,0.07791,0.09810
1985,Lower Secondary Level,West,At least once per month,0.10865,363,3028,0.09756,0.11974
1985,Lower Secondary Level,West,Seldom,0.22261,741,3028,0.20779,0.23743
1985,Lower Secondary Level,West,Never,0.58073,1622,3028,0.56315,0.59831
1985,Upper Secondary Level,West,At least once per week,0.08608,493,5129,0.07840,0.09376
1985,Upper Secondary Level,West,At least once per month,0.12801,705,5129,0.11887,0.13716
1985,Upper Secondary Level,West,Seldom,0.34499,1846,5129,0.33198,0.35800
1985,Upper Secondary Level,West,Never,0.44091,2085,5129,0.42732,0.45450
1985,Post-secondary Non-tertiary Level,West,At least once per month,0.20302,54,242,0.15224,0.25381
1985,Post-secondary Non-tertiary Level,West,Seldom,0.32878,91,242,0.26947,0.38809
1985,Post-secondary Non-tertiary Level,West,Never,0.35303,97,242,0.29269,0.41337
1985,First Stage of Tertiary Education,West,At least once per week,0.07060,44,610,0.05026,0.09095
1985,First Stage of Tertiary Education,West,At least once per month,0.11917,78,610,0.09344,0.14490
1985,First Stage of Tertiary Education,West,Seldom,0.37092,243,610,0.33256,0.40929
1985,First Stage of Tertiary Education,West,Never,0.43930,245,610,0.39989,0.47872
1985,Second Stage of Tertiary Education,West,At least once per week,0.08261,68,747,0.06286,0.10237
1985,Second Stage of Tertiary Education,West,At least once per month,0.16759,129,747,0.14078,0.19439
1985,Second Stage of Tertiary Education,West,Seldom,0.40091,318,747,0.36575,0.43608
1985,Second Stage of Tertiary Education,West,Never,0.34889,232,747,0.31468,0.38309
1986,No answer / don't know,West,Seldom,0.27773,34,80,0.17897,0.37650
1986,No answer / don't know,West,Never,0.27865,46,80,0.17978,0.37751
1986,Pre-primary Level,West,At least once per week,0.32609,62,177,0.25683,0.39535
1986,Pre-primary Level,West,At least once per month,0.38853,70,177,0.31651,0.46054
1986,Pre-primary Level,West,Seldom,0.23373,45,177,0.17121,0.29626
1986,Primary Level,West,At least once per week,0.08218,32,772,0.06279,0.10157
1986,Primary Level,West,At least once per month,0.07776,51,772,0.05886,0.09666
1986,Primary Level,West,Seldom,0.21123,143,772,0.18241,0.24004
1986,Primary Level,West,Never,0.62883,546,772,0.59473,0.66294
1986,Lower Secondary Level,West,At least once per week,0.08837,291,2878,0.07799,0.09874
1986,Lower Secondary Level,West,At least once per month,0.10850,351,2878,0.09713,0.11986
1986,Lower Secondary Level,West,Seldom,0.21865,710,2878,0.20355,0.23376
1986,Lower Secondary Level,West,Never,0.58448,1526,2878,0.56648,0.60249
1986,Upper Secondary Level,West,At least once per week,0.08527,450,4961,0.07750,0.09304
1986,Upper Secondary Level,West,At least once per month,0.13914,748,4961,0.12951,0.14877
1986,Upper Secondary Level,West,Seldom,0.33809,1735,4961,0.32492,0.35126
1986,Upper Secondary Level,West,Never,0.43750,2028,4961,0.42370,0.45131
1986,Post-secondary Non-tertiary Level,West,At least once per month,0.18958,52,251,0.14100,0.23817
