year,age_gr,quintil_oecd,plh0109,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,1st Quintile,Very important,0.50977,184,253,0.44805,0.57149
1990,17-29 y.,1st Quintile,Important,0.23315,69,253,0.18095,0.28536
1990,17-29 y.,2nd Quintile,Very important,0.53617,219,316,0.48110,0.59125
1990,17-29 y.,2nd Quintile,Important,0.25387,97,316,0.20581,0.30193
1990,17-29 y.,3rd Quintile,Very important,0.64497,278,350,0.59477,0.69518
1990,17-29 y.,3rd Quintile,Important,0.19515,72,350,0.15357,0.23673
1990,17-29 y.,4th Quintile,Very important,0.64522,342,465,0.60168,0.68875
1990,17-29 y.,4th Quintile,Important,0.25036,123,465,0.21094,0.28978
1990,17-29 y.,5th Quintile,Very important,0.64051,245,329,0.58858,0.69244
1990,17-29 y.,5th Quintile,Important,0.24303,84,329,0.19661,0.28945
1990,30-45 y.,1st Quintile,Very important,0.56666,198,260,0.50631,0.62701
1990,30-45 y.,1st Quintile,Important,0.20571,62,260,0.15648,0.25494
1990,30-45 y.,2nd Quintile,Very important,0.65254,327,422,0.60706,0.69803
1990,30-45 y.,2nd Quintile,Important,0.22191,95,422,0.18221,0.26160
1990,30-45 y.,3rd Quintile,Very important,0.62518,297,396,0.57744,0.67292
1990,30-45 y.,3rd Quintile,Important,0.23152,99,396,0.18992,0.27311
1990,30-45 y.,4th Quintile,Very important,0.64723,281,374,0.59874,0.69573
1990,30-45 y.,4th Quintile,Important,0.24913,93,374,0.20524,0.29303
1990,30-45 y.,5th Quintile,Very important,0.74900,425,532,0.71212,0.78588
1990,30-45 y.,5th Quintile,Important,0.20368,107,532,0.16943,0.23794
1990,46-65 y.,1st Quintile,Very important,0.47893,163,247,0.41650,0.54135
1990,46-65 y.,1st Quintile,Important,0.25445,84,247,0.20002,0.30887
1990,46-65 y.,2nd Quintile,Very important,0.55352,206,303,0.49745,0.60959
1990,46-65 y.,2nd Quintile,Important,0.29086,97,303,0.23964,0.34209
1990,46-65 y.,3rd Quintile,Very important,0.60544,282,398,0.55736,0.65352
1990,46-65 y.,3rd Quintile,Important,0.25730,116,398,0.21430,0.30030
1990,46-65 y.,4th Quintile,Very important,0.65120,381,508,0.60972,0.69269
1990,46-65 y.,4th Quintile,Important,0.23397,127,508,0.19712,0.27082
1990,46-65 y.,5th Quintile,Very important,0.64518,410,577,0.60610,0.68425
1990,46-65 y.,5th Quintile,Important,0.26924,167,577,0.23301,0.30546
1990,66 and older,1st Quintile,Very important,0.36283,112,247,0.30274,0.42291
1990,66 and older,1st Quintile,Important,0.28015,78,247,0.22403,0.33626
1990,66 and older,1st Quintile,Unimportant,0.24377,57,247,0.19012,0.29743
1990,66 and older,2nd Quintile,Very important,0.49469,120,202,0.42557,0.56381
1990,66 and older,2nd Quintile,Important,0.23017,51,202,0.17197,0.28836
1990,66 and older,2nd Quintile,Unimportant,0.18035,31,202,0.12720,0.23351
1990,66 and older,3rd Quintile,Very important,0.42139,91,152,0.34263,0.50015
1990,66 and older,3rd Quintile,Important,0.31944,61,152,0.24507,0.39381
1990,66 and older,4th Quintile,Very important,0.46505,92,133,0.37996,0.55014
1990,66 and older,4th Quintile,Important,0.25242,41,133,0.17831,0.32652
1990,66 and older,5th Quintile,Very important,0.51472,85,121,0.42529,0.60414
1990,66 and older,5th Quintile,Important,0.22704,36,121,0.15209,0.30200
1992,17-29 y.,1st Quintile,Very important,0.55676,341,493,0.51287,0.60066
1992,17-29 y.,1st Quintile,Important,0.22078,119,493,0.18413,0.25743
1992,17-29 y.,1st Quintile,Less important,0.04893,33,493,0.02987,0.06800
1992,17-29 y.,2nd Quintile,Very important,0.60953,400,563,0.56920,0.64987
1992,17-29 y.,2nd Quintile,Important,0.19301,124,563,0.16038,0.22564
1992,17-29 y.,2nd Quintile,Less important,0.04952,39,563,0.03158,0.06746
1992,17-29 y.,3rd Quintile,Very important,0.59383,373,501,0.55078,0.63688
1992,17-29 y.,3rd Quintile,Important,0.22501,128,501,0.18841,0.26161
1992,17-29 y.,4th Quintile,Very important,0.62169,399,526,0.58020,0.66317
1992,17-29 y.,4th Quintile,Important,0.23035,127,526,0.19433,0.26637
1992,17-29 y.,5th Quintile,Very important,0.64369,351,470,0.60035,0.68703
1992,17-29 y.,5th Quintile,Important,0.24982,119,470,0.21064,0.28900
