year,age_gr,migback,plh0109,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No migration background,Very important,0.50190,1188,1712,0.47821,0.52559
1990,17-29 y.,No migration background,Important,0.20038,425,1712,0.18142,0.21935
1990,17-29 y.,No migration background,Less important,0.04496,99,1712,0.03514,0.05477
1990,17-29 y.,Direct migration background,Very important,0.27082,64,64,0.16108,0.38055
1990,30-45 y.,No migration background,Very important,0.55495,1425,1902,0.53261,0.57729
1990,30-45 y.,No migration background,Important,0.19043,431,1902,0.17278,0.20809
1990,30-45 y.,No migration background,Less important,0.02526,46,1902,0.01821,0.03232
1990,30-45 y.,Direct migration background,Very important,0.29082,91,91,0.19699,0.38464
1990,46-65 y.,No migration background,Very important,0.49998,1316,1971,0.47790,0.52206
1990,46-65 y.,No migration background,Important,0.22140,551,1971,0.20307,0.23974
1990,46-65 y.,No migration background,Less important,0.03077,57,1971,0.02314,0.03839
1990,46-65 y.,No migration background,Unimportant,0.02494,47,1971,0.01806,0.03183
1990,46-65 y.,Direct migration background,Very important,0.34074,121,160,0.26707,0.41441
1990,46-65 y.,Direct migration background,Important,0.11293,39,160,0.06373,0.16213
1990,66 and older,No migration background,Very important,0.36090,467,922,0.32988,0.39191
1990,66 and older,No migration background,Important,0.21961,250,922,0.19288,0.24635
1990,66 and older,No migration background,Less important,0.06539,65,922,0.04943,0.08136
1990,66 and older,No migration background,Unimportant,0.14183,140,922,0.11929,0.16436
1990,66 and older,Direct migration background,Very important,0.39445,33,33,0.22512,0.56379
1992,17-29 y.,No migration background,Very important,0.66930,1777,2550,0.65104,0.68757
1992,17-29 y.,No migration background,Important,0.24379,581,2550,0.22712,0.26046
1992,17-29 y.,No migration background,Less important,0.05714,142,2550,0.04813,0.06615
1992,17-29 y.,No migration background,Unimportant,0.02262,50,2550,0.01685,0.02840
1992,17-29 y.,Direct migration background,Very important,0.22888,55,55,0.11683,0.34094
1992,17-29 y.,Indirect migration background,Very important,0.16830,32,32,0.03660,0.30001
1992,30-45 y.,No migration background,Very important,0.75216,2704,3433,0.73771,0.76660
1992,30-45 y.,No migration background,Important,0.19981,615,3433,0.18643,0.21318
1992,30-45 y.,No migration background,Less important,0.03350,79,3433,0.02748,0.03952
1992,30-45 y.,No migration background,Unimportant,0.01230,35,3433,0.00861,0.01598
1992,30-45 y.,Direct migration background,Very important,0.33226,118,118,0.24691,0.41761
1992,46-65 y.,No migration background,Very important,0.66574,2142,2987,0.64882,0.68266
1992,46-65 y.,No migration background,Important,0.24915,699,2987,0.23363,0.26466
1992,46-65 y.,No migration background,Less important,0.03151,68,2987,0.02524,0.03778
1992,46-65 y.,No migration background,Unimportant,0.03559,78,2987,0.02894,0.04223
1992,46-65 y.,Direct migration background,Very important,0.39676,184,229,0.33326,0.46026
1992,46-65 y.,Direct migration background,Important,0.09147,45,229,0.05405,0.12889
1992,66 and older,No migration background,Very important,0.45884,662,1259,0.43130,0.48637
1992,66 and older,No migration background,Important,0.25615,321,1259,0.23203,0.28027
1992,66 and older,No migration background,Less important,0.05641,68,1259,0.04366,0.06916
1992,66 and older,No migration background,Unimportant,0.18036,208,1259,0.15911,0.20160
1992,66 and older,Direct migration background,Very important,0.50130,56,56,0.36916,0.63344
1995,17-29 y.,No migration background,Very important,0.66641,1580,2266,0.64699,0.68583
1995,17-29 y.,No migration background,Important,0.23995,523,2266,0.22236,0.25754
1995,17-29 y.,No migration background,Less important,0.05838,124,2266,0.04873,0.06804
1995,17-29 y.,No migration background,Unimportant,0.01798,39,2266,0.01250,0.02345
1995,17-29 y.,Direct migration background,Very important,0.42522,150,213,0.35867,0.49177
1995,17-29 y.,Direct migration background,Important,0.17199,63,213,0.12119,0.22279
1995,17-29 y.,Indirect migration background,Very important,0.27322,61,61,0.16046,0.38597
1995,30-45 y.,No migration background,Very important,0.73173,2653,3452,0.71695,0.74651
1995,30-45 y.,No migration background,Important,0.21144,677,3452,0.19782,0.22507
1995,30-45 y.,No migration background,Less important,0.03827,87,3452,0.03187,0.04467
1995,30-45 y.,No migration background,Unimportant,0.01136,35,3452,0.00782,0.01490
1995,30-45 y.,Direct migration background,Very important,0.51951,322,392,0.46998,0.56903
1995,30-45 y.,Direct migration background,Important,0.14569,70,392,0.11072,0.18066
1995,46-65 y.,No migration background,Very important,0.68162,2086,2890,0.66463,0.69861
1995,46-65 y.,No migration background,Important,0.23645,668,2890,0.22096,0.25194
1995,46-65 y.,No migration background,Less important,0.03992,80,2890,0.03278,0.04706
1995,46-65 y.,No migration background,Unimportant,0.03001,56,2890,0.02379,0.03623
1995,46-65 y.,Direct migration background,Very important,0.43604,239,315,0.38119,0.49089
1995,46-65 y.,Direct migration background,Important,0.12419,76,315,0.08771,0.16067
1995,66 and older,No migration background,Very important,0.50259,707,1249,0.47485,0.53033
1995,66 and older,No migration background,Important,0.24568,305,1249,0.22180,0.26956
1995,66 and older,No migration background,Less important,0.05766,65,1249,0.04473,0.07059
1995,66 and older,No migration background,Unimportant,0.14516,172,1249,0.12562,0.16471
1995,66 and older,Direct migration background,Very important,0.50907,87,123,0.42036,0.59778
1995,66 and older,Direct migration background,Important,0.19140,36,123,0.12159,0.26120
2004,17-29 y.,No migration background,Very important,0.57527,1807,3030,0.55766,0.59287
2004,17-29 y.,No migration background,Important,0.31227,948,3030,0.29576,0.32877
2004,17-29 y.,No migration background,Less important,0.07481,232,3030,0.06545,0.08418
2004,17-29 y.,No migration background,Unimportant,0.02327,43,3030,0.01790,0.02864
2004,17-29 y.,Direct migration background,Very important,0.58571,240,344,0.53358,0.63785
2004,17-29 y.,Direct migration background,Important,0.31194,104,344,0.26291,0.36096
2004,17-29 y.,Indirect migration background,Very important,0.57207,303,496,0.52848,0.61566
2004,17-29 y.,Indirect migration background,Important,0.31418,150,496,0.27328,0.35507
2004,17-29 y.,Indirect migration background,Less important,0.08411,43,496,0.05966,0.10856
2004,30-45 y.,No migration background,Very important,0.69652,3988,5433,0.68429,0.70875
2004,30-45 y.,No migration background,Important,0.24825,1242,5433,0.23676,0.25974
2004,30-45 y.,No migration background,Less important,0.03827,160,5433,0.03317,0.04337
2004,30-45 y.,No migration background,Unimportant,0.00900,43,5433,0.00649,0.01151
2004,30-45 y.,Direct migration background,Very important,0.72711,629,820,0.69660,0.75761
2004,30-45 y.,Direct migration background,Important,0.23315,191,820,0.20419,0.26211
2004,30-45 y.,Indirect migration background,Very important,0.68415,162,210,0.62113,0.74718
2004,30-45 y.,Indirect migration background,Important,0.27115,48,210,0.21088,0.33143
2004,46-65 y.,No migration background,Very important,0.60453,4194,6305,0.59246,0.61660
2004,46-65 y.,No migration background,Important,0.29708,1778,6305,0.28580,0.30836
2004,46-65 y.,No migration background,Less important,0.05476,234,6305,0.04914,0.06038
2004,46-65 y.,No migration background,Unimportant,0.02853,99,6305,0.02442,0.03264
2004,46-65 y.,Direct migration background,Very important,0.62513,607,927,0.59395,0.65631
2004,46-65 y.,Direct migration background,Important,0.29927,281,927,0.26977,0.32877
2004,46-65 y.,Direct migration background,Less important,0.04385,39,927,0.03066,0.05704
2004,46-65 y.,Indirect migration background,Very important,0.55330,32,32,0.37829,0.72831
2004,66 and older,No migration background,Very important,0.54752,2032,3266,0.53045,0.56459
2004,66 and older,No migration background,Important,0.24995,835,3266,0.23510,0.26480
2004,66 and older,No migration background,Less important,0.05675,154,3266,0.04881,0.06468
2004,66 and older,No migration background,Unimportant,0.09323,245,3266,0.08325,0.10320
2004,66 and older,Direct migration background,Very important,0.54367,203,311,0.48822,0.59911
2004,66 and older,Direct migration background,Important,0.28097,108,311,0.23094,0.33101
2008,17-29 y.,No migration background,Very important,0.55042,1506,2460,0.53076,0.57008
2008,17-29 y.,No migration background,Important,0.30026,797,2460,0.28215,0.31838
2008,17-29 y.,No migration background,Less important,0.06542,157,2460,0.05565,0.07519
2008,17-29 y.,Direct migration background,Very important,0.78656,178,217,0.73192,0.84120
2008,17-29 y.,Direct migration background,Important,0.16701,39,217,0.11727,0.21675
2008,17-29 y.,Indirect migration background,Very important,0.57812,285,407,0.53008,0.62616
2008,17-29 y.,Indirect migration background,Important,0.24820,122,407,0.20618,0.29022
2008,30-45 y.,No migration background,Very important,0.67506,3074,4277,0.66102,0.68909
2008,30-45 y.,No migration background,Important,0.25343,996,4277,0.24039,0.26646
2008,30-45 y.,No migration background,Less important,0.05394,172,4277,0.04717,0.06071
