year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2016,female,14366,0.18365331501546805,0.1491348889397174,0.20722351174113213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,male,14506,0.11235604038795373,0.09338432516131334,0.1303182920432418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,female,15980,0.17111612244288074,0.13926396328310278,0.1949369992177064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,male,13853,0.10775839297016072,0.08653625843182444,0.12384728767368598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,female,15311,0.19418948355063448,0.15684955765700137,0.22204849887242487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,male,14232,0.11456721292086743,0.08654255977729855,0.13800545576264944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,female,14816,0.1943086159368939,0.16907297164305254,0.21776183678840094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,male,14601,0.11081751571241305,0.09234110917990468,0.12720836299797225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,female,14785,0.24810143389561598,0.22021894787027624,0.28092086877886213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,male,9021,0.1720224670978773,0.12761062173419488,0.2077406901212722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,female,9602,0.332050420130745,0.2584319094985082,0.39736650518571337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
