"party","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"keine Parteineigung","1985","(noch) kein Abschluss","Staedtischer Raum","711","0.670865430383592","0.640858118235835","0.700872742531348"
"keine Parteineigung","1985","(noch) kein Abschluss","Laendlicher Raum","96","0.600693642180444","0.520977968598748","0.680409315762141"
"keine Parteineigung","1985","Hauptschule","Staedtischer Raum","2300","","",""
"keine Parteineigung","1985","Hauptschule","Laendlicher Raum","741","0.440811112030403","0.416173913391982","0.465448310668824"
"keine Parteineigung","1985","Realschule","Staedtischer Raum","561","0.398332761543768","0.372587449272917","0.424078073814618"
"keine Parteineigung","1985","Realschule","Laendlicher Raum","174","","",""
"keine Parteineigung","1985","(Fach-)Abitur","Staedtischer Raum","265","","",""
"keine Parteineigung","1985","(Fach-)Abitur","Laendlicher Raum","41","0.359647277637093","0.26913984786231","0.450154707411877"
"keine Parteineigung","1985","AkademikerIn","Staedtischer Raum","191","","",""
"keine Parteineigung","1985","AkademikerIn","Laendlicher Raum","32","0.281615029458055","0.200802045387783","0.362428013528328"
"SPD","1985","(noch) kein Abschluss","Staedtischer Raum","156","","",""
"SPD","1985","(noch) kein Abschluss","Laendlicher Raum","30","0.19258545649905","0.128401849866989","0.256769063131112"
"SPD","1985","Hauptschule","Staedtischer Raum","1420","","",""
"SPD","1985","Hauptschule","Laendlicher Raum","369","0.242824449303397","0.221546474556375","0.264102424050419"
"SPD","1985","Realschule","Staedtischer Raum","352","0.239914312836306","0.217457075726563","0.26237154994605"
"SPD","1985","Realschule","Laendlicher Raum","72","0.166206251724478","0.129950778813768","0.202461724635188"
"SPD","1985","(Fach-)Abitur","Staedtischer Raum","152","","",""
"SPD","1985","(Fach-)Abitur","Laendlicher Raum","25","","",""
"SPD","1985","AkademikerIn","Staedtischer Raum","171","","",""
"SPD","1985","AkademikerIn","Laendlicher Raum","25","","",""
"CDU/CSU","1985","(noch) kein Abschluss","Staedtischer Raum","42","0.105421643683815","0.0858107798368241","0.125032507530806"
"CDU/CSU","1985","(noch) kein Abschluss","Laendlicher Raum","12","","",""
"CDU/CSU","1985","Hauptschule","Staedtischer Raum","965","0.238694861411133","0.226689042956211","0.250700679866056"
"CDU/CSU","1985","Hauptschule","Laendlicher Raum","412","0.289936501485389","0.267420781814546","0.312452221156231"
"CDU/CSU","1985","Realschule","Staedtischer Raum","369","0.286086574900519","0.262319896926859","0.30985325287418"
"CDU/CSU","1985","Realschule","Laendlicher Raum","129","","",""
"CDU/CSU","1985","(Fach-)Abitur","Staedtischer Raum","130","","",""
"CDU/CSU","1985","(Fach-)Abitur","Laendlicher Raum","29","","",""
"CDU/CSU","1985","AkademikerIn","Staedtischer Raum","158","","",""
"CDU/CSU","1985","AkademikerIn","Laendlicher Raum","52","0.459308237342447","0.369771430087079","0.548845044597814"
"FDP","1985","(noch) kein Abschluss","Staedtischer Raum","2","","",""
"FDP","1985","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"FDP","1985","Hauptschule","Staedtischer Raum","57","0.0151581862894142","0.011717082941114","0.0185992896377144"
"FDP","1985","Hauptschule","Laendlicher Raum","18","","",""
"FDP","1985","Realschule","Staedtischer Raum","33","0.0291147053964308","0.0202729778193509","0.0379564329735107"
"FDP","1985","Realschule","Laendlicher Raum","11","","",""
"FDP","1985","(Fach-)Abitur","Staedtischer Raum","20","","",""
"FDP","1985","(Fach-)Abitur","Laendlicher Raum","2","","",""
"FDP","1985","AkademikerIn","Staedtischer Raum","44","0.0759010145364082","0.0552040905086878","0.0965979385641286"
"FDP","1985","AkademikerIn","Laendlicher Raum","7","0.0572354973286625","0.0154996772294579","0.098971317427867"
"Grüne","1985","(noch) kein Abschluss","Staedtischer Raum","27","","",""
"Grüne","1985","(noch) kein Abschluss","Laendlicher Raum","5","0.0428389957129687","0.00987982857552113","0.0757981628504162"
"Grüne","1985","Hauptschule","Staedtischer Raum","89","0.0157809409902033","0.0122709727257161","0.0192909092546906"
"Grüne","1985","Hauptschule","Laendlicher Raum","15","","",""
"Grüne","1985","Realschule","Staedtischer Raum","70","0.0436184821696472","0.0328774051678488","0.0543595591714456"
"Grüne","1985","Realschule","Laendlicher Raum","17","","",""
"Grüne","1985","(Fach-)Abitur","Staedtischer Raum","104","","",""
"Grüne","1985","(Fach-)Abitur","Laendlicher Raum","10","","",""
"Grüne","1985","AkademikerIn","Staedtischer Raum","62","0.0968263787085963","0.0737160972102126","0.11993666020698"
"Grüne","1985","AkademikerIn","Laendlicher Raum","2","","",""
"Linke","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Linke","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Linke","1985","Hauptschule","Staedtischer Raum","","","",""
"Linke","1985","Hauptschule","Laendlicher Raum","","","",""
"Linke","1985","Realschule","Staedtischer Raum","","","",""
"Linke","1985","Realschule","Laendlicher Raum","","","",""
"Linke","1985","(Fach-)Abitur","Staedtischer Raum","","","",""
"Linke","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Linke","1985","AkademikerIn","Staedtischer Raum","","","",""
"Linke","1985","AkademikerIn","Laendlicher Raum","","","",""
"Rechte","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Rechte","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Rechte","1985","Hauptschule","Staedtischer Raum","","","",""
"Rechte","1985","Hauptschule","Laendlicher Raum","","","",""
"Rechte","1985","Realschule","Staedtischer Raum","","","",""
"Rechte","1985","Realschule","Laendlicher Raum","","","",""
"Rechte","1985","(Fach-)Abitur","Staedtischer Raum","","","",""
"Rechte","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"Rechte","1985","AkademikerIn","Staedtischer Raum","","","",""
"Rechte","1985","AkademikerIn","Laendlicher Raum","","","",""
"AfD","1985","(noch) kein Abschluss","Staedtischer Raum","","","",""
"AfD","1985","(noch) kein Abschluss","Laendlicher Raum","","","",""
"AfD","1985","Hauptschule","Staedtischer Raum","","","",""
"AfD","1985","Hauptschule","Laendlicher Raum","","","",""
"AfD","1985","Realschule","Staedtischer Raum","","","",""
"AfD","1985","Realschule","Laendlicher Raum","","","",""
"AfD","1985","(Fach-)Abitur","Staedtischer Raum","","","",""
"AfD","1985","(Fach-)Abitur","Laendlicher Raum","","","",""
"AfD","1985","AkademikerIn","Staedtischer Raum","","","",""
"AfD","1985","AkademikerIn","Laendlicher Raum","","","",""
"Andere","1985","(noch) kein Abschluss","Staedtischer Raum","4","0.0128997060498434","0.00569372381283015","0.0201056882868567"
"Andere","1985","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Andere","1985","Hauptschule","Staedtischer Raum","12","","",""
"Andere","1985","Hauptschule","Laendlicher Raum","5","0.00320792660024677","0.000401845032080403","0.00601400816841313"
"Andere","1985","Realschule","Staedtischer Raum","4","0.00293316315332883","8.91787242723509e-05","0.0057771475823853"
"Andere","1985","Realschule","Laendlicher Raum","2","","",""
"Andere","1985","(Fach-)Abitur","Staedtischer Raum","3","","",""
"Andere","1985","(Fach-)Abitur","Laendlicher Raum","1","","",""
"Andere","1985","AkademikerIn","Staedtischer Raum","3","","",""
"Andere","1985","AkademikerIn","Laendlicher Raum","1","","",""
"keine Parteineigung","1986","(noch) kein Abschluss","Staedtischer Raum","664","0.673992592579272","0.643351126491697","0.704634058666847"
"keine Parteineigung","1986","(noch) kein Abschluss","Laendlicher Raum","94","0.639944106075062","0.556129674793819","0.723758537356305"
"keine Parteineigung","1986","Hauptschule","Staedtischer Raum","2191","","",""
"keine Parteineigung","1986","Hauptschule","Laendlicher Raum","702","0.44402380478814","0.418615925428542","0.469431684147737"
"keine Parteineigung","1986","Realschule","Staedtischer Raum","599","0.419323948904366","0.393213590920786","0.445434306887945"
"keine Parteineigung","1986","Realschule","Laendlicher Raum","168","","",""
"keine Parteineigung","1986","(Fach-)Abitur","Staedtischer Raum","281","","",""
"keine Parteineigung","1986","(Fach-)Abitur","Laendlicher Raum","45","0.386400680905834","0.298545280300603","0.474256081511065"
"keine Parteineigung","1986","AkademikerIn","Staedtischer Raum","194","","",""
"keine Parteineigung","1986","AkademikerIn","Laendlicher Raum","31","0.258193673949183","0.179891191117696","0.336496156780669"
"SPD","1986","(noch) kein Abschluss","Staedtischer Raum","171","","",""
"SPD","1986","(noch) kein Abschluss","Laendlicher Raum","19","","",""
"SPD","1986","Hauptschule","Staedtischer Raum","1341","","",""
"SPD","1986","Hauptschule","Laendlicher Raum","357","0.257493059184621","0.235133140724902","0.27985297764434"
"SPD","1986","Realschule","Staedtischer Raum","322","0.228919650562103","0.206688476951341","0.251150824172866"
"SPD","1986","Realschule","Laendlicher Raum","75","0.187642684352401","0.148844387920277","0.226440980784525"
"SPD","1986","(Fach-)Abitur","Staedtischer Raum","162","","",""
"SPD","1986","(Fach-)Abitur","Laendlicher Raum","31","0.223548174675713","0.148377247140636","0.29871910221079"
"SPD","1986","AkademikerIn","Staedtischer Raum","153","","",""
"SPD","1986","AkademikerIn","Laendlicher Raum","25","","",""
"CDU/CSU","1986","(noch) kein Abschluss","Staedtischer Raum","35","0.0691933166295511","0.0526039400542037","0.0857826932048984"
"CDU/CSU","1986","(noch) kein Abschluss","Laendlicher Raum","9","0.150097191020625","0.0877332240087243","0.212461158032527"
"CDU/CSU","1986","Hauptschule","Staedtischer Raum","930","0.244413846149113","0.231977619769756","0.25685007252847"
"CDU/CSU","1986","Hauptschule","Laendlicher Raum","370","0.270578082417316","0.247859935444921","0.29329622938971"
"CDU/CSU","1986","Realschule","Staedtischer Raum","350","0.281956553491186","0.258147754228915","0.305765352753457"
"CDU/CSU","1986","Realschule","Laendlicher Raum","121","","",""
"CDU/CSU","1986","(Fach-)Abitur","Staedtischer Raum","118","","",""
"CDU/CSU","1986","(Fach-)Abitur","Laendlicher Raum","30","0.280916302518597","0.199822945258814","0.362009659778381"
"CDU/CSU","1986","AkademikerIn","Staedtischer Raum","163","","",""
"CDU/CSU","1986","AkademikerIn","Laendlicher Raum","50","0.454125177468117","0.3650428018444","0.543207553091833"
"FDP","1986","(noch) kein Abschluss","Staedtischer Raum","1","","",""
"FDP","1986","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"FDP","1986","Hauptschule","Staedtischer Raum","52","0.0143194565294046","0.010881383633067","0.0177575294257423"
"FDP","1986","Hauptschule","Laendlicher Raum","10","","",""
"FDP","1986","Realschule","Staedtischer Raum","36","0.027826637499117","0.0191235518169211","0.0365297231813128"
"FDP","1986","Realschule","Laendlicher Raum","8","0.0237458114495204","0.00861548658254472","0.038876136316496"
"FDP","1986","(Fach-)Abitur","Staedtischer Raum","17","","",""
"FDP","1986","(Fach-)Abitur","Laendlicher Raum","3","","",""
"FDP","1986","AkademikerIn","Staedtischer Raum","32","0.0568829913677499","0.0385773674687824","0.0751886152667173"
"FDP","1986","AkademikerIn","Laendlicher Raum","7","0.0677203111193638","0.022764063814116","0.112676558424612"
"Grüne","1986","(noch) kein Abschluss","Staedtischer Raum","25","","",""
"Grüne","1986","(noch) kein Abschluss","Laendlicher Raum","3","","",""
"Grüne","1986","Hauptschule","Staedtischer Raum","59","0.0117587249705038","0.00863915068638482","0.0148782992546228"
"Grüne","1986","Hauptschule","Laendlicher Raum","25","","",""
"Grüne","1986","Realschule","Staedtischer Raum","61","0.0391027918936922","0.0288459565331462","0.0493596272542381"
"Grüne","1986","Realschule","Laendlicher Raum","17","","",""
"Grüne","1986","(Fach-)Abitur","Staedtischer Raum","99","0.158614957097225","0.13111685584138","0.18611305835307"
"Grüne","1986","(Fach-)Abitur","Laendlicher Raum","9","0.064401633821568","0.0201121868572255","0.10869108078591"
"Grüne","1986","AkademikerIn","Staedtischer Raum","72","0.115776685702945","0.0904894084339324","0.141063962971958"
