"party","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"keine PI","1984","16-34 Jahre alt","2482","0.497484076692377","0.483006860669574","0.51196129271518"
"keine PI","1984","35-65 Jahre alt","2733","0.358555332523959","0.346704579675116","0.370406085372803"
"keine PI","1984","66 und älter","483","0.382032063587414","0.355246090246137","0.408818036928691"
"CDU/CSU","1984","16-34 Jahre alt","658","0.18070166289804","0.169560701746142","0.191842624049938"
"CDU/CSU","1984","35-65 Jahre alt","1535","0.305181465332193","0.293802493485973","0.316560437178413"
"CDU/CSU","1984","66 und älter","418","0.325414616382214","0.299585381269704","0.351243851494724"
"SPD","1984","16-34 Jahre alt","1053","0.227613690707295","0.215473178146636","0.239754203267954"
"SPD","1984","35-65 Jahre alt","1804","0.298113010773923","0.286809527141272","0.309416494406574"
"SPD","1984","66 und älter","319","0.257409718713554","0.233307242963177","0.281512194463931"
"FDP","1984","16-34 Jahre alt","38","0.00962253580399185","0.00679592710480906","0.0124491445031746"
"FDP","1984","35-65 Jahre alt","112","0.0219036317743314","0.0182867264862542","0.0255205370624086"
"FDP","1984","66 und älter","31","0.0254554180308366","0.0167725034935433","0.0341383325681299"
"Grüne","1984","16-34 Jahre alt","332","0.0797320346797479","0.0718888196048634","0.0875752497546325"
"Grüne","1984","35-65 Jahre alt","92","0.0138640791675128","0.0109747158649463","0.0167534424700793"
"Grüne","1984","66 und älter","","","",""
"PDS/Linke","1984","16-34 Jahre alt","","","",""
"PDS/Linke","1984","35-65 Jahre alt","","","",""
"PDS/Linke","1984","66 und älter","","","",""
"Rechtsextrem","1984","16-34 Jahre alt","","","",""
"Rechtsextrem","1984","35-65 Jahre alt","","","",""
"Rechtsextrem","1984","66 und älter","","","",""
"AfD","1984","16-34 Jahre alt","","","",""
"AfD","1984","35-65 Jahre alt","","","",""
"AfD","1984","66 und älter","","","",""
"Sonstige","1984","16-34 Jahre alt","","","",""
"Sonstige","1984","35-65 Jahre alt","","","",""
"Sonstige","1984","66 und älter","","","",""
"keine PI","1985","16-34 Jahre alt","2301","0.513355781733642","0.498165401543893","0.528546161923392"
"keine PI","1985","35-65 Jahre alt","2515","0.365902177066461","0.353453103452507","0.378351250680416"
"keine PI","1985","66 und älter","426","0.387097907645342","0.358417575620539","0.415778239670145"
"CDU/CSU","1985","16-34 Jahre alt","572","0.169685191485837","0.158277520314591","0.181092862657083"
"CDU/CSU","1985","35-65 Jahre alt","1386","0.295537318845761","0.283744664546801","0.307329973144721"
"CDU/CSU","1985","66 und älter","367","0.323449321375211","0.295905036589721","0.3509936061607"
"SPD","1985","16-34 Jahre alt","926","0.220421967193817","0.20782369856866","0.233020235818975"
"SPD","1985","35-65 Jahre alt","1611","0.292124571728654","0.280371838719056","0.303877304738252"
"SPD","1985","66 und älter","272","0.247803208781955","0.222381928913701","0.273224488650208"
"FDP","1985","16-34 Jahre alt","46","0.0124559246581238","0.00908522652045548","0.0158266227957922"
"FDP","1985","35-65 Jahre alt","116","0.0248834311338592","0.0208575605739915","0.0289093016937269"
"FDP","1985","66 und älter","36","0.0356265634970412","0.0247124668096699","0.0465406601844125"
"Grüne","1985","16-34 Jahre alt","301","0.0800847044891879","0.0718356848130966","0.0883337241652792"
"Grüne","1985","35-65 Jahre alt","104","0.0173481211636036","0.0139736752232305","0.0207225671039767"
"Grüne","1985","66 und älter","","","",""
"PDS/Linke","1985","16-34 Jahre alt","","","",""
"PDS/Linke","1985","35-65 Jahre alt","","","",""
"PDS/Linke","1985","66 und älter","","","",""
"Rechtsextrem","1985","16-34 Jahre alt","","","",""
"Rechtsextrem","1985","35-65 Jahre alt","","","",""
"Rechtsextrem","1985","66 und älter","","","",""
"AfD","1985","16-34 Jahre alt","","","",""
"AfD","1985","35-65 Jahre alt","","","",""
"AfD","1985","66 und älter","","","",""
"Sonstige","1985","16-34 Jahre alt","","","",""
"Sonstige","1985","35-65 Jahre alt","","","",""
"Sonstige","1985","66 und älter","","","",""
"keine PI","1986","16-34 Jahre alt","2304","0.522887885120145","0.507542937919632","0.538232832320658"
"keine PI","1986","35-65 Jahre alt","2361","0.359540392304603","0.346812060556061","0.372268724053146"
"keine PI","1986","66 und älter","424","0.393307571926585","0.363590921506414","0.423024222346756"
"CDU/CSU","1986","16-34 Jahre alt","544","0.162633815062683","0.15129640067001","0.173971229455357"
"CDU/CSU","1986","35-65 Jahre alt","1347","0.300531122461605","0.288369803078216","0.312692441844993"
"CDU/CSU","1986","66 und älter","313","0.31110964703436","0.28294649855354","0.339272795515181"
"SPD","1986","16-34 Jahre alt","890","0.222999776458563","0.210211451243162","0.235788101673964"
"SPD","1986","35-65 Jahre alt","1544","0.29620535580241","0.284094601264073","0.308316110340746"
"SPD","1986","66 und älter","257","0.252835988218047","0.226395051772884","0.279276924663211"
"FDP","1986","16-34 Jahre alt","38","0.011507692504782","0.00823103040570761","0.0147843546038565"
"FDP","1986","35-65 Jahre alt","95","0.021226902397059","0.0174036225015124","0.0250501822926055"
"FDP","1986","66 und älter","37","0.033960904526722","0.0229420515082396","0.0449797575452044"
"Grüne","1986","16-34 Jahre alt","286","0.0779724310964295","0.069734969983017","0.0862098922098419"
"Grüne","1986","35-65 Jahre alt","95","0.0184726114506923","0.0149009759689473","0.0220442469324374"
"Grüne","1986","66 und älter","","","",""
