"party","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"keine Parteineigung","1984","(noch) kein Abschluss","915","0.657831895486803","0.631841054539161","0.683822736434445"
"keine Parteineigung","1984","Hauptschule","3280","0.404578246566304","0.393234224588725","0.415922268543883"
"keine Parteineigung","1984","Realschule","766","0.400847374901525","0.378563870479756","0.423130879323294"
"keine Parteineigung","1984","(Fach-)Abitur","351","0.367857113214571","0.335571808706456","0.400142417722685"
"keine Parteineigung","1984","AkademikerIn","276","","",""
"SPD","1984","(noch) kein Abschluss","270","","",""
"SPD","1984","Hauptschule","2100","","",""
"SPD","1984","Realschule","401","0.207637697473208","0.189194329082891","0.226081065863525"
"SPD","1984","(Fach-)Abitur","187","","",""
"SPD","1984","AkademikerIn","179","","",""
"CDU/CSU","1984","(noch) kein Abschluss","55","0.0904284225485666","0.0747170537113745","0.106139791385759"
"CDU/CSU","1984","Hauptschule","1611","","",""
"CDU/CSU","1984","Realschule","542","0.314194723725074","0.293087792693926","0.335301654756222"
"CDU/CSU","1984","(Fach-)Abitur","168","","",""
"CDU/CSU","1984","AkademikerIn","219","","",""
"FDP","1984","(noch) kein Abschluss","1","","",""
"FDP","1984","Hauptschule","75","0.0123602585850143","0.0098065784185729","0.0149139387514557"
"FDP","1984","Realschule","37","0.0227765049365467","0.0159928190926653","0.0295601907804282"
"FDP","1984","(Fach-)Abitur","22","","",""
"FDP","1984","AkademikerIn","44","0.0583593577888827","0.0419081177509905","0.0748105978267748"
"Grüne","1984","(noch) kein Abschluss","33","0.0527418451200444","0.0404969535958941","0.0649867366441946"
"Grüne","1984","Hauptschule","106","","",""
"Grüne","1984","Realschule","104","","",""
"Grüne","1984","(Fach-)Abitur","123","","",""
"Grüne","1984","AkademikerIn","61","0.0755208772159495","0.0569777551733725","0.0940639992585264"
"Linke","1984","(noch) kein Abschluss","","","",""
"Linke","1984","Hauptschule","","","",""
"Linke","1984","Realschule","","","",""
"Linke","1984","(Fach-)Abitur","","","",""
"Linke","1984","AkademikerIn","","","",""
"Rechte","1984","(noch) kein Abschluss","","","",""
"Rechte","1984","Hauptschule","","","",""
"Rechte","1984","Realschule","","","",""
"Rechte","1984","(Fach-)Abitur","","","",""
"Rechte","1984","AkademikerIn","","","",""
"AfD","1984","(noch) kein Abschluss","","","",""
"AfD","1984","Hauptschule","","","",""
"AfD","1984","Realschule","","","",""
"AfD","1984","(Fach-)Abitur","","","",""
"AfD","1984","AkademikerIn","","","",""
"Andere","1984","(noch) kein Abschluss","6","0.004340617030785","0.000739193177949491","0.00794204088362051"
"Andere","1984","Hauptschule","19","","",""
"Andere","1984","Realschule","8","0.00379735593688865","0.00100069552645395","0.00659401634732336"
"Andere","1984","(Fach-)Abitur","6","0.0103658827765558","0.00358481389080456","0.017146951662307"
"Andere","1984","AkademikerIn","1","","",""
"keine Parteineigung","1985","(noch) kein Abschluss","807","0.656250640869724","0.628015553377702","0.684485728361747"
"keine Parteineigung","1985","Hauptschule","3041","0.427069301489831","0.414953376833841","0.43918522614582"
"keine Parteineigung","1985","Realschule","735","0.402986913862247","0.380289610159294","0.4256842175652"
"keine Parteineigung","1985","(Fach-)Abitur","306","0.35992566118217","0.326284860164794","0.393566462199547"
"keine Parteineigung","1985","AkademikerIn","223","","",""
"SPD","1985","(noch) kein Abschluss","186","","",""
"SPD","1985","Hauptschule","1789","","",""
"SPD","1985","Realschule","424","0.222711480879489","0.203458441415217","0.24196452034376"
"SPD","1985","(Fach-)Abitur","177","","",""
"SPD","1985","AkademikerIn","196","","",""
"CDU/CSU","1985","(noch) kein Abschluss","54","0.111848963978983","0.0931122807181449","0.130585647239821"
"CDU/CSU","1985","Hauptschule","1377","","",""
"CDU/CSU","1985","Realschule","498","0.298923280422238","0.277739692755298","0.320106868089177"
"CDU/CSU","1985","(Fach-)Abitur","159","","",""
"CDU/CSU","1985","AkademikerIn","210","","",""
"FDP","1985","(noch) kein Abschluss","3","","",""
"FDP","1985","Hauptschule","75","0.0147914776195625","0.0118346486779069","0.0177483065612182"
"FDP","1985","Realschule","44","0.0292630944002383","0.0214639355437653","0.0370622532567113"
"FDP","1985","(Fach-)Abitur","22","","",""
"FDP","1985","AkademikerIn","51","0.0726618615753439","0.0540594344098121","0.0912642887408756"
"Grüne","1985","(noch) kein Abschluss","32","0.0481199915805085","0.0353970599559874","0.0608429232050295"
"Grüne","1985","Hauptschule","104","","",""
"Grüne","1985","Realschule","87","0.0430467186958082","0.0336548445173222","0.0524385928742942"
"Grüne","1985","(Fach-)Abitur","114","","",""
"Grüne","1985","AkademikerIn","64","0.0813698455585156","0.0617769155730846","0.100962775543947"
"Linke","1985","(noch) kein Abschluss","","","",""
"Linke","1985","Hauptschule","","","",""
"Linke","1985","Realschule","","","",""
"Linke","1985","(Fach-)Abitur","","","",""
"Linke","1985","AkademikerIn","","","",""
"Rechte","1985","(noch) kein Abschluss","","","",""
"Rechte","1985","Hauptschule","","","",""
"Rechte","1985","Realschule","","","",""
"Rechte","1985","(Fach-)Abitur","","","",""
"Rechte","1985","AkademikerIn","","","",""
"AfD","1985","(noch) kein Abschluss","","","",""
"AfD","1985","Hauptschule","","","",""
"AfD","1985","Realschule","","","",""
"AfD","1985","(Fach-)Abitur","","","",""
"AfD","1985","AkademikerIn","","","",""
"Andere","1985","(noch) kein Abschluss","5","0.0134886089507263","0.00663107520811203","0.0203461426933406"
"Andere","1985","Hauptschule","17","","",""
"Andere","1985","Realschule","6","0.00306851173998024","0.000509139689076761","0.00562788379088372"
"Andere","1985","(Fach-)Abitur","4","0.00860228441783176","0.00212973209017128","0.0150748367454923"
"Andere","1985","AkademikerIn","4","0.00569455305663728","0.000302091927950335","0.0110870141853242"
"keine Parteineigung","1986","(noch) kein Abschluss","758","0.667971885772935","0.639141352225207","0.696802419320663"
"keine Parteineigung","1986","Hauptschule","2893","","",""
"keine Parteineigung","1986","Realschule","767","0.418839791739773","0.39579672297295","0.441882860506597"
"keine Parteineigung","1986","(Fach-)Abitur","326","0.365724599979046","0.332266014390096","0.399183185567995"
"keine Parteineigung","1986","AkademikerIn","225","","",""
"SPD","1986","(noch) kein Abschluss","190","","",""
"SPD","1986","Hauptschule","1698","","",""
"SPD","1986","Realschule","397","0.219316588104953","0.199990603498958","0.238642572710949"
"SPD","1986","(Fach-)Abitur","193","","",""
"SPD","1986","AkademikerIn","178","","",""
"CDU/CSU","1986","(noch) kein Abschluss","44","0.0834993418663901","0.0665639958221588","0.100434687910621"
"CDU/CSU","1986","Hauptschule","1300","","",""
"CDU/CSU","1986","Realschule","471","0.294581497172066","0.273290570264739","0.315872424079393"
"CDU/CSU","1986","(Fach-)Abitur","148","","",""
"CDU/CSU","1986","AkademikerIn","213","","",""
"FDP","1986","(noch) kein Abschluss","2","","",""
"FDP","1986","Hauptschule","62","0.0126605198982337","0.00984463966323679","0.0154764001332307"
"FDP","1986","Realschule","44","0.0268772356648846","0.0193238001002143","0.0344306712295548"
"FDP","1986","(Fach-)Abitur","20","","",""
"FDP","1986","AkademikerIn","39","0.0588164994033027","0.0418070145619653","0.0758259842446402"
"Grüne","1986","(noch) kein Abschluss","28","","",""
"Grüne","1986","Hauptschule","84","0.0128834790659098","0.0100432331363219","0.0157237249954977"
"Grüne","1986","Realschule","78","0.03818227068465","0.0292318040444142","0.0471327373248857"
"Grüne","1986","(Fach-)Abitur","108","","",""
"Grüne","1986","AkademikerIn","79","0.103273084953793","0.0812728104706422","0.125273359436943"
"Linke","1986","(noch) kein Abschluss","","","",""
"Linke","1986","Hauptschule","","","",""
"Linke","1986","Realschule","","","",""
"Linke","1986","(Fach-)Abitur","","","",""
"Linke","1986","AkademikerIn","","","",""
"Rechte","1986","(noch) kein Abschluss","","","",""
"Rechte","1986","Hauptschule","","","",""
"Rechte","1986","Realschule","","","",""
"Rechte","1986","(Fach-)Abitur","","","",""
"Rechte","1986","AkademikerIn","","","",""
"AfD","1986","(noch) kein Abschluss","","","",""
"AfD","1986","Hauptschule","","","",""
"AfD","1986","Realschule","","","",""
"AfD","1986","(Fach-)Abitur","","","",""
"AfD","1986","AkademikerIn","","","",""
"Andere","1986","(noch) kein Abschluss","3","","",""
"Andere","1986","Hauptschule","19","","",""
"Andere","1986","Realschule","4","0.00220261663367255","1.30455413811358e-05","0.00439218772596396"
"Andere","1986","(Fach-)Abitur","1","","",""
"Andere","1986","AkademikerIn","1","","",""
"keine Parteineigung","1987","(noch) kein Abschluss","717","0.635782120153457","0.605942029854475","0.665622210452439"
"keine Parteineigung","1987","Hauptschule","2607","","",""
"keine Parteineigung","1987","Realschule","646","0.349571093199036","0.327172725034587","0.371969461363485"
