"party","year","alter_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"keine PN","1984","16-34 J.","(noch) kein Abschluss","349","0.642439310057803","0.601085628703719","0.683792991411887"
"keine PN","1984","16-34 J.","Hauptschule","1265","0.516202012331877","0.495390525854207","0.537013498809547"
"keine PN","1984","16-34 J.","Realschule","487","0.490056962357321","0.45891724911837","0.521196675596271"
"keine PN","1984","16-34 J.","(Fach-)Abitur","241","0.386896682826114","0.346701604891681","0.427091760760547"
"keine PN","1984","16-34 J.","AkademikerIn","103","0.424083598611581","0.361946579382664","0.486220617840498"
"keine PN","1984","35-65 J.","(noch) kein Abschluss","555","0.723966148759949","0.691887284812444","0.756045012707454"
"keine PN","1984","35-65 J.","Hauptschule","1645","0.358774293311207","0.343963934558926","0.373584652063488"
"keine PN","1984","35-65 J.","Realschule","219","0.313859245748714","0.279308649629513","0.348409841867915"
"keine PN","1984","35-65 J.","(Fach-)Abitur","93","0.324023458131693","0.265539793726245","0.382507122537142"
"keine PN","1984","35-65 J.","AkademikerIn","154","0.313450776857219","0.271732938069686","0.355168615644753"
"keine PN","1984","66 und älter","(noch) kein Abschluss","","","",""
"keine PN","1984","66 und älter","Hauptschule","370","0.397374074350007","0.366206947257739","0.428541201442276"
"keine PN","1984","66 und älter","Realschule","60","0.325819025125499","0.256379693336278","0.39525835691472"
"keine PN","1984","66 und älter","(Fach-)Abitur","","","",""
"keine PN","1984","66 und älter","AkademikerIn","","","",""
"CDU/CSU","1984","16-34 J.","(noch) kein Abschluss","32","0.100162467901624","0.0742590065683458","0.126065929234903"
"CDU/CSU","1984","16-34 J.","Hauptschule","302","0.181623564952447","0.165568063232993","0.1976790666719"
"CDU/CSU","1984","16-34 J.","Realschule","199","0.210856243535975","0.185446411825863","0.236266075246086"
"CDU/CSU","1984","16-34 J.","(Fach-)Abitur","85","0.179981581410494","0.148276098353655","0.211687064467333"
"CDU/CSU","1984","16-34 J.","AkademikerIn","36","0.15367001550523","0.108327105824031","0.19901292518643"
"CDU/CSU","1984","35-65 J.","(noch) kein Abschluss","","","",""
"CDU/CSU","1984","35-65 J.","Hauptschule","1032","0.292563320918993","0.278515686951031","0.306610954886955"
"CDU/CSU","1984","35-65 J.","Realschule","263","0.387914014288871","0.351635004346198","0.424193024231543"
"CDU/CSU","1984","35-65 J.","(Fach-)Abitur","64","0.374071340274067","0.313604096364253","0.434538584183882"
"CDU/CSU","1984","35-65 J.","AkademikerIn","150","0.343412049668647","0.300709332973697","0.386114766363597"
"CDU/CSU","1984","66 und älter","(noch) kein Abschluss","","","",""
"CDU/CSU","1984","66 und älter","Hauptschule","277","0.281074704879722","0.252444407080714","0.309705002678731"
"CDU/CSU","1984","66 und älter","Realschule","80","0.476052905520582","0.402058242802218","0.550047568238946"
"CDU/CSU","1984","66 und älter","(Fach-)Abitur","","","",""
"CDU/CSU","1984","66 und älter","AkademikerIn","33","0.524021918494776","0.399707801430217","0.648336035559335"
"SPD","1984","16-34 J.","(noch) kein Abschluss","104","0.171727800789571","0.139186861351298","0.204268740227843"
"SPD","1984","16-34 J.","Hauptschule","561","0.259755940635371","0.241494651388699","0.278017229882043"
"SPD","1984","16-34 J.","Realschule","204","0.200386339387742","0.175451610411015","0.22532106836447"
"SPD","1984","16-34 J.","(Fach-)Abitur","111","0.199811779083141","0.166811686415141","0.232811871751141"
"SPD","1984","16-34 J.","AkademikerIn","62","0.24106293912492","0.187283897517542","0.294841980732298"
