"party","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"keine Parteineigung","1984","(noch) kein Abschluss","Westdeutschland","915","0.657831895486803","0.631841054539161","0.683822736434445"
"keine Parteineigung","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"keine Parteineigung","1984","Hauptschule","Westdeutschland","3280","0.404578246566304","0.393234224588725","0.415922268543883"
"keine Parteineigung","1984","Hauptschule","Ostdeutschland","","","",""
"keine Parteineigung","1984","Realschule","Westdeutschland","766","0.400847374901525","0.378563870479756","0.423130879323294"
"keine Parteineigung","1984","Realschule","Ostdeutschland","","","",""
"keine Parteineigung","1984","(Fach-)Abitur","Westdeutschland","351","0.367857113214571","0.335571808706456","0.400142417722685"
"keine Parteineigung","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"keine Parteineigung","1984","AkademikerIn","Westdeutschland","276","","",""
"keine Parteineigung","1984","AkademikerIn","Ostdeutschland","","","",""
"SPD","1984","(noch) kein Abschluss","Westdeutschland","270","","",""
"SPD","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"SPD","1984","Hauptschule","Westdeutschland","2100","","",""
"SPD","1984","Hauptschule","Ostdeutschland","","","",""
"SPD","1984","Realschule","Westdeutschland","401","0.207637697473208","0.189194329082891","0.226081065863525"
"SPD","1984","Realschule","Ostdeutschland","","","",""
"SPD","1984","(Fach-)Abitur","Westdeutschland","187","","",""
"SPD","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"SPD","1984","AkademikerIn","Westdeutschland","179","","",""
"SPD","1984","AkademikerIn","Ostdeutschland","","","",""
"CDU/CSU","1984","(noch) kein Abschluss","Westdeutschland","55","0.0904284225485666","0.0747170537113745","0.106139791385759"
"CDU/CSU","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"CDU/CSU","1984","Hauptschule","Westdeutschland","1611","","",""
"CDU/CSU","1984","Hauptschule","Ostdeutschland","","","",""
"CDU/CSU","1984","Realschule","Westdeutschland","542","0.314194723725074","0.293087792693926","0.335301654756222"
"CDU/CSU","1984","Realschule","Ostdeutschland","","","",""
"CDU/CSU","1984","(Fach-)Abitur","Westdeutschland","168","","",""
"CDU/CSU","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"CDU/CSU","1984","AkademikerIn","Westdeutschland","219","","",""
"CDU/CSU","1984","AkademikerIn","Ostdeutschland","","","",""
"FDP","1984","(noch) kein Abschluss","Westdeutschland","1","","",""
"FDP","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"FDP","1984","Hauptschule","Westdeutschland","75","0.0123602585850143","0.0098065784185729","0.0149139387514557"
"FDP","1984","Hauptschule","Ostdeutschland","","","",""
"FDP","1984","Realschule","Westdeutschland","37","0.0227765049365467","0.0159928190926653","0.0295601907804282"
"FDP","1984","Realschule","Ostdeutschland","","","",""
"FDP","1984","(Fach-)Abitur","Westdeutschland","22","","",""
"FDP","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"FDP","1984","AkademikerIn","Westdeutschland","44","0.0583593577888827","0.0419081177509905","0.0748105978267748"
"FDP","1984","AkademikerIn","Ostdeutschland","","","",""
"Grüne","1984","(noch) kein Abschluss","Westdeutschland","33","0.0527418451200444","0.0404969535958941","0.0649867366441946"
"Grüne","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Grüne","1984","Hauptschule","Westdeutschland","106","","",""
"Grüne","1984","Hauptschule","Ostdeutschland","","","",""
"Grüne","1984","Realschule","Westdeutschland","104","","",""
"Grüne","1984","Realschule","Ostdeutschland","","","",""
"Grüne","1984","(Fach-)Abitur","Westdeutschland","123","","",""
"Grüne","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Grüne","1984","AkademikerIn","Westdeutschland","61","0.0755208772159495","0.0569777551733725","0.0940639992585264"
"Grüne","1984","AkademikerIn","Ostdeutschland","","","",""
"Linke","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Linke","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Linke","1984","Hauptschule","Westdeutschland","","","",""
"Linke","1984","Hauptschule","Ostdeutschland","","","",""
"Linke","1984","Realschule","Westdeutschland","","","",""
"Linke","1984","Realschule","Ostdeutschland","","","",""
"Linke","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Linke","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Linke","1984","AkademikerIn","Westdeutschland","","","",""
"Linke","1984","AkademikerIn","Ostdeutschland","","","",""
"Rechte","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"Rechte","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Rechte","1984","Hauptschule","Westdeutschland","","","",""
"Rechte","1984","Hauptschule","Ostdeutschland","","","",""
"Rechte","1984","Realschule","Westdeutschland","","","",""
"Rechte","1984","Realschule","Ostdeutschland","","","",""
"Rechte","1984","(Fach-)Abitur","Westdeutschland","","","",""
"Rechte","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Rechte","1984","AkademikerIn","Westdeutschland","","","",""
"Rechte","1984","AkademikerIn","Ostdeutschland","","","",""
"AfD","1984","(noch) kein Abschluss","Westdeutschland","","","",""
"AfD","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"AfD","1984","Hauptschule","Westdeutschland","","","",""
"AfD","1984","Hauptschule","Ostdeutschland","","","",""
"AfD","1984","Realschule","Westdeutschland","","","",""
"AfD","1984","Realschule","Ostdeutschland","","","",""
"AfD","1984","(Fach-)Abitur","Westdeutschland","","","",""
"AfD","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"AfD","1984","AkademikerIn","Westdeutschland","","","",""
"AfD","1984","AkademikerIn","Ostdeutschland","","","",""
"Andere","1984","(noch) kein Abschluss","Westdeutschland","6","0.004340617030785","0.000739193177949491","0.00794204088362051"
"Andere","1984","(noch) kein Abschluss","Ostdeutschland","","","",""
"Andere","1984","Hauptschule","Westdeutschland","19","","",""
"Andere","1984","Hauptschule","Ostdeutschland","","","",""
"Andere","1984","Realschule","Westdeutschland","8","0.00379735593688865","0.00100069552645395","0.00659401634732336"
"Andere","1984","Realschule","Ostdeutschland","","","",""
"Andere","1984","(Fach-)Abitur","Westdeutschland","6","0.0103658827765558","0.00358481389080456","0.017146951662307"
"Andere","1984","(Fach-)Abitur","Ostdeutschland","","","",""
"Andere","1984","AkademikerIn","Westdeutschland","1","","",""
"Andere","1984","AkademikerIn","Ostdeutschland","","","",""
"keine Parteineigung","1985","(noch) kein Abschluss","Westdeutschland","807","0.656250640869724","0.628015553377702","0.684485728361747"
"keine Parteineigung","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"keine Parteineigung","1985","Hauptschule","Westdeutschland","3041","0.427069301489831","0.414953376833841","0.43918522614582"
"keine Parteineigung","1985","Hauptschule","Ostdeutschland","","","",""
"keine Parteineigung","1985","Realschule","Westdeutschland","735","0.402986913862247","0.380289610159294","0.4256842175652"
"keine Parteineigung","1985","Realschule","Ostdeutschland","","","",""
"keine Parteineigung","1985","(Fach-)Abitur","Westdeutschland","306","0.35992566118217","0.326284860164794","0.393566462199547"
"keine Parteineigung","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"keine Parteineigung","1985","AkademikerIn","Westdeutschland","223","","",""
"keine Parteineigung","1985","AkademikerIn","Ostdeutschland","","","",""
"SPD","1985","(noch) kein Abschluss","Westdeutschland","186","","",""
"SPD","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"SPD","1985","Hauptschule","Westdeutschland","1789","","",""
"SPD","1985","Hauptschule","Ostdeutschland","","","",""
"SPD","1985","Realschule","Westdeutschland","424","0.222711480879489","0.203458441415217","0.24196452034376"
"SPD","1985","Realschule","Ostdeutschland","","","",""
"SPD","1985","(Fach-)Abitur","Westdeutschland","177","","",""
"SPD","1985","(Fach-)Abitur","Ostdeutschland","","","",""
"SPD","1985","AkademikerIn","Westdeutschland","196","","",""
"SPD","1985","AkademikerIn","Ostdeutschland","","","",""
"CDU/CSU","1985","(noch) kein Abschluss","Westdeutschland","54","0.111848963978983","0.0931122807181449","0.130585647239821"
"CDU/CSU","1985","(noch) kein Abschluss","Ostdeutschland","","","",""
"CDU/CSU","1985","Hauptschule","Westdeutschland","1377","","",""
"CDU/CSU","1985","Hauptschule","Ostdeutschland","","","",""
"CDU/CSU","1985","Realschule","Westdeutschland","498","0.298923280422238","0.277739692755298","0.320106868089177"
