"party","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"keine Parteineigung","1984","(noch) kein Abschluss","maennlich","356","0.552618921215285","0.51190691899027","0.5933309234403"
"keine Parteineigung","1984","(noch) kein Abschluss","weiblich","559","0.753714025893113","0.721955413231552","0.785472638554675"
"keine Parteineigung","1984","Hauptschule","maennlich","1512","","",""
"keine Parteineigung","1984","Hauptschule","weiblich","1768","","",""
"keine Parteineigung","1984","Realschule","maennlich","302","0.38896440528353","0.354619225366303","0.423309585200758"
"keine Parteineigung","1984","Realschule","weiblich","464","0.408870853821544","0.379604561033117","0.438137146609971"
"keine Parteineigung","1984","(Fach-)Abitur","maennlich","205","","",""
"keine Parteineigung","1984","(Fach-)Abitur","weiblich","146","","",""
"keine Parteineigung","1984","AkademikerIn","maennlich","186","","",""
"keine Parteineigung","1984","AkademikerIn","weiblich","90","0.356649917742263","0.297272291567138","0.416027543917388"
"SPD","1984","(noch) kein Abschluss","maennlich","154","","",""
"SPD","1984","(noch) kein Abschluss","weiblich","116","","",""
"SPD","1984","Hauptschule","maennlich","1081","","",""
"SPD","1984","Hauptschule","weiblich","1019","","",""
"SPD","1984","Realschule","maennlich","167","","",""
"SPD","1984","Realschule","weiblich","234","","",""
"SPD","1984","(Fach-)Abitur","maennlich","123","","",""
"SPD","1984","(Fach-)Abitur","weiblich","64","0.163255196030704","0.124367396247738","0.20214299581367"
"SPD","1984","AkademikerIn","maennlich","122","","",""
"SPD","1984","AkademikerIn","weiblich","57","0.199279006982269","0.149762560606974","0.248795453357564"
"CDU/CSU","1984","(noch) kein Abschluss","maennlich","36","0.135281512482659","0.107277041232245","0.163285983733074"
"CDU/CSU","1984","(noch) kein Abschluss","weiblich","19","","",""
"CDU/CSU","1984","Hauptschule","maennlich","768","0.266217722889006","0.251505670544345","0.280929775233666"
"CDU/CSU","1984","Hauptschule","weiblich","843","0.261376431634693","0.247264448532198","0.275488414737189"
"CDU/CSU","1984","Realschule","maennlich","238","","",""
"CDU/CSU","1984","Realschule","weiblich","304","0.306555811769989","0.279108868588932","0.334002754951046"
"CDU/CSU","1984","(Fach-)Abitur","maennlich","103","","",""
"CDU/CSU","1984","(Fach-)Abitur","weiblich","65","0.241455343981097","0.196426339961155","0.286484348001038"
"CDU/CSU","1984","AkademikerIn","maennlich","155","","",""
"CDU/CSU","1984","AkademikerIn","weiblich","64","0.300710365806301","0.243866863089897","0.357553868522704"
"FDP","1984","(noch) kein Abschluss","maennlich","","","",""
"FDP","1984","(noch) kein Abschluss","weiblich","1","","",""
"FDP","1984","Hauptschule","maennlich","38","0.0135965515535198","0.00974165393682243","0.0174514491702173"
"FDP","1984","Hauptschule","weiblich","37","0.011338973105943","0.00793838661861348","0.0147395595932724"
"FDP","1984","Realschule","maennlich","17","","",""
"FDP","1984","Realschule","weiblich","20","","",""
"FDP","1984","(Fach-)Abitur","maennlich","14","","",""
"FDP","1984","(Fach-)Abitur","weiblich","8","0.0270971984506958","0.0100135637396585","0.0441808331617331"
"FDP","1984","AkademikerIn","maennlich","34","0.0670435943446779","0.0457514463326589","0.088335742356697"
"FDP","1984","AkademikerIn","weiblich","10","","",""
"Grüne","1984","(noch) kein Abschluss","maennlich","23","","",""
"Grüne","1984","(noch) kein Abschluss","weiblich","10","","",""
"Grüne","1984","Hauptschule","maennlich","54","0.0134594000756776","0.0096237277166688","0.0172950724346864"
"Grüne","1984","Hauptschule","weiblich","52","0.0105603886142868","0.00727733593452548","0.0138434412940481"
"Grüne","1984","Realschule","maennlich","46","0.0475061225625756","0.032520199469891","0.0624920456552602"
"Grüne","1984","Realschule","weiblich","58","0.0529341665613077","0.0396053505122698","0.0662629826103456"
"Grüne","1984","(Fach-)Abitur","maennlich","61","0.122380064395304","0.0939373145542373","0.150822814236371"
"Grüne","1984","(Fach-)Abitur","weiblich","62","0.177619771473312","0.13740687670427","0.217832666242353"
"Grüne","1984","AkademikerIn","maennlich","32","0.0622679852830582","0.0416957285766127","0.0828402419895037"
"Grüne","1984","AkademikerIn","weiblich","29","","",""
"Linke","1984","(noch) kein Abschluss","maennlich","","","",""
"Linke","1984","(noch) kein Abschluss","weiblich","","","",""
"Linke","1984","Hauptschule","maennlich","","","",""
"Linke","1984","Hauptschule","weiblich","","","",""
"Linke","1984","Realschule","maennlich","","","",""
"Linke","1984","Realschule","weiblich","","","",""
"Linke","1984","(Fach-)Abitur","maennlich","","","",""
"Linke","1984","(Fach-)Abitur","weiblich","","","",""
"Linke","1984","AkademikerIn","maennlich","","","",""
"Linke","1984","AkademikerIn","weiblich","","","",""
"Rechte","1984","(noch) kein Abschluss","maennlich","","","",""
"Rechte","1984","(noch) kein Abschluss","weiblich","","","",""
"Rechte","1984","Hauptschule","maennlich","","","",""
"Rechte","1984","Hauptschule","weiblich","","","",""
"Rechte","1984","Realschule","maennlich","","","",""
"Rechte","1984","Realschule","weiblich","","","",""
"Rechte","1984","(Fach-)Abitur","maennlich","","","",""
"Rechte","1984","(Fach-)Abitur","weiblich","","","",""
"Rechte","1984","AkademikerIn","maennlich","","","",""
"Rechte","1984","AkademikerIn","weiblich","","","",""
"AfD","1984","(noch) kein Abschluss","maennlich","","","",""
"AfD","1984","(noch) kein Abschluss","weiblich","","","",""
"AfD","1984","Hauptschule","maennlich","","","",""
"AfD","1984","Hauptschule","weiblich","","","",""
"AfD","1984","Realschule","maennlich","","","",""
"AfD","1984","Realschule","weiblich","","","",""
"AfD","1984","(Fach-)Abitur","maennlich","","","",""
"AfD","1984","(Fach-)Abitur","weiblich","","","",""
"AfD","1984","AkademikerIn","maennlich","","","",""
"AfD","1984","AkademikerIn","weiblich","","","",""
"Andere","1984","(noch) kein Abschluss","maennlich","4","0.00784064858202504","0.000618981066633466","0.0150623160974166"
"Andere","1984","(noch) kein Abschluss","weiblich","2","","",""
"Andere","1984","Hauptschule","maennlich","14","","",""
"Andere","1984","Hauptschule","weiblich","5","0.00201458852648385","0.000574469031856373","0.00345470802111133"
"Andere","1984","Realschule","maennlich","4","0.00442755615972829","-0.000249753074232343","0.00910486539368893"
"Andere","1984","Realschule","weiblich","4","0.00337183955791143","-7.90692087346352e-05","0.00682274832455749"
"Andere","1984","(Fach-)Abitur","maennlich","4","0.0119470880734897","0.00251768638617273","0.0213764897608066"
"Andere","1984","(Fach-)Abitur","weiblich","2","","",""
"Andere","1984","AkademikerIn","maennlich","1","","",""
"Andere","1984","AkademikerIn","weiblich","","","",""
"keine Parteineigung","1985","(noch) kein Abschluss","maennlich","326","0.568944467450424","0.525536980841085","0.612351954059764"
"keine Parteineigung","1985","(noch) kein Abschluss","weiblich","481","0.752718677370386","0.717817422352226","0.787619932388547"
"keine Parteineigung","1985","Hauptschule","maennlich","1387","","",""
"keine Parteineigung","1985","Hauptschule","weiblich","1654","","",""
"keine Parteineigung","1985","Realschule","maennlich","290","","",""
"keine Parteineigung","1985","Realschule","weiblich","445","0.418793120876662","0.388965962816774","0.448620278936549"
"keine Parteineigung","1985","(Fach-)Abitur","maennlich","173","","",""
"keine Parteineigung","1985","(Fach-)Abitur","weiblich","133","","",""
"keine Parteineigung","1985","AkademikerIn","maennlich","144","","",""
"keine Parteineigung","1985","AkademikerIn","weiblich","79","0.315715039623738","0.257394798528697","0.374035280718779"
"SPD","1985","(noch) kein Abschluss","maennlich","110","","",""
"SPD","1985","(noch) kein Abschluss","weiblich","76","0.130207125508793","0.102982974889604","0.157431276127982"
"SPD","1985","Hauptschule","maennlich","951","0.313490995837402","0.297176148289833","0.329805843384971"
"SPD","1985","Hauptschule","weiblich","838","0.267449120923824","0.25234038600021","0.282557855847438"
"SPD","1985","Realschule","maennlich","166","","",""
"SPD","1985","Realschule","weiblich","258","","",""
"SPD","1985","(Fach-)Abitur","maennlich","112","","",""
"SPD","1985","(Fach-)Abitur","weiblich","65","0.173800164070531","0.132410891041411","0.21518943709965"
"SPD","1985","AkademikerIn","maennlich","132","","",""
"SPD","1985","AkademikerIn","weiblich","64","0.242269133904197","0.188509078144173","0.296029189664222"
"CDU/CSU","1985","(noch) kein Abschluss","maennlich","37","0.145911415129438","0.114968645618592","0.176854184640285"
"CDU/CSU","1985","(noch) kein Abschluss","weiblich","17","","",""
"CDU/CSU","1985","Hauptschule","maennlich","655","0.254997486023454","0.239669179240201","0.270325792806707"
"CDU/CSU","1985","Hauptschule","weiblich","722","0.250854398300683","0.236057094357211","0.265651702244155"
"CDU/CSU","1985","Realschule","maennlich","235","","",""
"CDU/CSU","1985","Realschule","weiblich","263","","",""
"CDU/CSU","1985","(Fach-)Abitur","maennlich","102","","",""
"CDU/CSU","1985","(Fach-)Abitur","weiblich","57","0.204820754966423","0.160740950994684","0.248900558938163"
"CDU/CSU","1985","AkademikerIn","maennlich","149","","",""
"CDU/CSU","1985","AkademikerIn","weiblich","61","0.28926620487786","0.232373640454216","0.346158769301504"
"FDP","1985","(noch) kein Abschluss","maennlich","3","","",""
"FDP","1985","(noch) kein Abschluss","weiblich","","","",""
"FDP","1985","Hauptschule","maennlich","36","0.0140911904015032","0.00994604679999771","0.0182363340030087"
"FDP","1985","Hauptschule","weiblich","39","0.0153718315988272","0.0111724285958334","0.019571234601821"
"FDP","1985","Realschule","maennlich","20","","",""
"FDP","1985","Realschule","weiblich","24","","",""
"FDP","1985","(Fach-)Abitur","maennlich","13","","",""
"FDP","1985","(Fach-)Abitur","weiblich","9","0.028283689372537","0.0101762128438068","0.0463911659012672"
"FDP","1985","AkademikerIn","maennlich","39","0.0806092777738946","0.0568422214013966","0.104376334146393"
"FDP","1985","AkademikerIn","weiblich","12","","",""
"Grüne","1985","(noch) kein Abschluss","maennlich","20","","",""
"Grüne","1985","(noch) kein Abschluss","weiblich","12","","",""
