year,rentown,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,West,Yes,0.04172,77,1997,0.03295,0.05049
1984,Owner,West,No,0.95452,1920,1997,0.94538,0.96367
1984,Tenant,West,Yes,0.03818,121,3830,0.03211,0.04425
1984,Tenant,West,No,0.95373,3709,3830,0.94708,0.96039
1985,Owner,West,Yes,0.04972,88,1861,0.03984,0.05960
1985,Owner,West,No,0.94770,1773,1861,0.93758,0.95782
1985,Tenant,West,Yes,0.03320,93,3398,0.02717,0.03922
1985,Tenant,West,No,0.96381,3305,3398,0.95753,0.97009
1986,Owner,West,Yes,0.04971,81,1829,0.03975,0.05967
1986,Owner,West,No,0.94626,1748,1829,0.93592,0.95660
1986,Tenant,West,Yes,0.03396,91,3194,0.02768,0.04024
1986,Tenant,West,No,0.96272,3103,3194,0.95614,0.96929
1987,Owner,West,Yes,0.04830,79,1828,0.03847,0.05813
1987,Owner,West,No,0.94991,1749,1828,0.93991,0.95991
1987,Tenant,West,Yes,0.03492,82,3129,0.02848,0.04135
1987,Tenant,West,No,0.95951,3047,3129,0.95260,0.96642
1988,Owner,West,Yes,0.03888,60,1738,0.02979,0.04798
1988,Owner,West,No,0.95385,1678,1738,0.94399,0.96372
1988,Tenant,West,Yes,0.03619,89,3007,0.02951,0.04287
1988,Tenant,West,No,0.95767,2918,3007,0.95047,0.96486
1989,Owner,West,Yes,0.04150,66,1708,0.03204,0.05096
1989,Owner,West,No,0.95495,1642,1708,0.94511,0.96479
1989,Tenant,West,Yes,0.02581,63,2925,0.02006,0.03155
1989,Tenant,West,No,0.97127,2862,2925,0.96522,0.97733
1990,Owner,West,Yes,0.04194,71,1734,0.03251,0.05138
1990,Owner,West,No,0.95510,1663,1734,0.94535,0.96485
1990,Tenant,West,Yes,0.02873,70,2843,0.02258,0.03487
1990,Tenant,West,No,0.96599,2773,2843,0.95932,0.97265
1991,Owner,West,Yes,0.04752,78,1744,0.03753,0.05751
1991,Owner,West,No,0.94662,1666,1744,0.93606,0.95717
1991,Owner,East,Yes,0.05581,31,587,0.03722,0.07440
1991,Owner,East,No,0.94419,556,587,0.92560,0.96278
1991,Tenant,West,Yes,0.03648,87,2877,0.02963,0.04333
1991,Tenant,West,No,0.95923,2790,2877,0.95200,0.96646
1991,Tenant,East,Yes,0.05503,57,1398,0.04308,0.06699
1991,Tenant,East,No,0.94243,1341,1398,0.93022,0.95464
1992,Owner,West,Yes,0.05434,87,1763,0.04375,0.06492
1992,Owner,West,No,0.93974,1676,1763,0.92862,0.95085
1992,Owner,East,No,0.93634,534,534,0.91561,0.95707
1992,Tenant,West,Yes,0.04217,87,2863,0.03481,0.04954
1992,Tenant,West,No,0.94674,2776,2863,0.93852,0.95497
1992,Tenant,East,Yes,0.05171,53,1377,0.04001,0.06341
1992,Tenant,East,No,0.94521,1324,1377,0.93319,0.95724
1993,Owner,West,Yes,0.06066,90,1759,0.04950,0.07182
1993,Owner,West,No,0.93115,1669,1759,0.91931,0.94299
1993,Owner,East,No,0.94020,525,525,0.91990,0.96050
1993,Tenant,West,Yes,0.03703,85,2890,0.03014,0.04391
1993,Tenant,West,No,0.95239,2805,2890,0.94462,0.96015
1993,Tenant,East,Yes,0.05031,52,1325,0.03854,0.06209
1993,Tenant,East,No,0.93951,1273,1325,0.92667,0.95235
1994,Owner,West,Yes,0.05583,93,1763,0.04511,0.06655
1994,Owner,West,No,0.93508,1670,1763,0.92357,0.94658
1994,Owner,East,No,0.94785,532,532,0.92893,0.96676
1994,Tenant,West,Yes,0.03744,84,2852,0.03047,0.04440
1994,Tenant,West,No,0.95759,2768,2852,0.95020,0.96499
1994,Tenant,East,Yes,0.05739,53,1300,0.04474,0.07003
1994,Tenant,East,No,0.94064,1247,1300,0.92779,0.95349
1995,Owner,West,Yes,0.05525,88,1795,0.04468,0.06582
1995,Owner,West,No,0.93809,1707,1795,0.92693,0.94924
1995,Owner,East,No,0.93601,530,530,0.91515,0.95686
1995,Tenant,West,Yes,0.04213,98,3050,0.03500,0.04926
1995,Tenant,West,No,0.95121,2952,3050,0.94356,0.95885
1995,Tenant,East,Yes,0.05713,55,1264,0.04433,0.06992
1995,Tenant,East,No,0.94215,1209,1264,0.92927,0.95502
1996,Owner,West,Yes,0.04810,82,1805,0.03822,0.05797
1996,Owner,West,No,0.94816,1723,1805,0.93793,0.95839
1996,Owner,East,No,0.95309,561,561,0.93558,0.97060
1996,Tenant,West,Yes,0.03798,94,2966,0.03110,0.04486
1996,Tenant,West,No,0.95445,2872,2966,0.94694,0.96195
1996,Tenant,East,Yes,0.05083,50,1248,0.03864,0.06303
1996,Tenant,East,No,0.94295,1198,1248,0.93008,0.95583
1997,Owner,West,Yes,0.04033,72,1837,0.03133,0.04933
1997,Owner,West,No,0.95674,1765,1837,0.94744,0.96605
1997,Owner,East,No,0.95049,572,572,0.93269,0.96828
1997,Tenant,West,Yes,0.04061,90,2874,0.03339,0.04783
1997,Tenant,West,No,0.95612,2784,2874,0.94863,0.96361
1997,Tenant,East,Yes,0.05497,48,1220,0.04218,0.06777
1997,Tenant,East,No,0.94411,1172,1220,0.93122,0.95701
1998,Owner,West,Yes,0.04767,97,2217,0.03880,0.05654
1998,Owner,West,No,0.95111,2120,2217,0.94213,0.96009
1998,Owner,East,No,0.96079,660,660,0.94598,0.97561
1998,Tenant,West,Yes,0.03409,95,3236,0.02783,0.04034
1998,Tenant,West,No,0.96471,3141,3236,0.95835,0.97107
1998,Tenant,East,Yes,0.05113,50,1277,0.03904,0.06322
1998,Tenant,East,No,0.94887,1227,1277,0.93678,0.96096
1999,Owner,West,Yes,0.05109,94,2176,0.04184,0.06034
1999,Owner,West,No,0.94891,2082,2176,0.93966,0.95816
1999,Owner,East,No,0.96373,660,660,0.94945,0.97800
1999,Tenant,West,Yes,0.04246,99,3036,0.03529,0.04963
1999,Tenant,West,No,0.95742,2937,3036,0.95024,0.96461
1999,Tenant,East,Yes,0.04836,46,1247,0.03645,0.06028
1999,Tenant,East,No,0.95164,1201,1247,0.93972,0.96355
2000,Owner,West,Yes,0.04473,207,4668,0.03880,0.05066
2000,Owner,West,No,0.95527,4461,4668,0.94934,0.96120
2000,Owner,East,Yes,0.04570,52,1157,0.03366,0.05774
2000,Owner,East,No,0.95430,1105,1157,0.94226,0.96634
2000,Tenant,West,Yes,0.03403,156,5208,0.02910,0.03895
2000,Tenant,West,No,0.96597,5052,5208,0.96105,0.97090
2000,Tenant,East,Yes,0.04325,73,1917,0.03414,0.05236
2000,Tenant,East,No,0.95675,1844,1917,0.94764,0.96586
2001,Owner,West,Yes,0.04590,192,4162,0.03954,0.05226
2001,Owner,West,No,0.95364,3970,4162,0.94726,0.96003
2001,Owner,East,Yes,0.04659,46,1103,0.03415,0.05903
2001,Owner,East,No,0.95341,1057,1103,0.94097,0.96585
2001,Tenant,West,Yes,0.03306,144,4672,0.02793,0.03818
2001,Tenant,West,No,0.96631,4528,4672,0.96114,0.97148
2001,Tenant,East,Yes,0.04790,71,1740,0.03786,0.05793
2001,Tenant,East,No,0.95210,1669,1740,0.94207,0.96214
2002,Owner,West,Yes,0.04721,191,4735,0.04117,0.05326
2002,Owner,West,No,0.95279,4544,4735,0.94674,0.95883
2002,Owner,East,Yes,0.04290,43,1109,0.03097,0.05483
2002,Owner,East,No,0.95710,1066,1109,0.94517,0.96903
