year,regtyp,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Yes,0.03724,133,4194,0.03151,0.04297
1985,Urban regions,West,No,0.95953,4061,4194,0.95356,0.96549
1985,Rural regions,West,Yes,0.04846,48,1065,0.03555,0.06136
1985,Rural regions,West,No,0.95007,1017,1065,0.93698,0.96316
1986,Urban regions,West,Yes,0.03640,125,4016,0.03061,0.04219
1986,Urban regions,West,No,0.95968,3891,4016,0.95360,0.96576
1986,Rural regions,West,Yes,0.05331,47,1011,0.03945,0.06716
1986,Rural regions,West,No,0.94418,964,1011,0.93003,0.95834
1987,Urban regions,West,Yes,0.03718,120,3961,0.03129,0.04307
1987,Urban regions,West,No,0.95908,3841,3961,0.95291,0.96525
1987,Rural regions,West,Yes,0.05070,41,998,0.03708,0.06432
1987,Rural regions,West,No,0.94404,957,998,0.92978,0.95831
1988,Urban regions,West,Yes,0.03450,111,3803,0.02869,0.04030
1988,Urban regions,West,No,0.95797,3692,3803,0.95159,0.96435
1988,Rural regions,West,Yes,0.04712,38,943,0.03359,0.06066
1988,Rural regions,West,No,0.94969,905,943,0.93573,0.96365
1989,Urban regions,West,Yes,0.02989,97,3731,0.02442,0.03535
1989,Urban regions,West,No,0.96639,3634,3731,0.96061,0.97217
1989,Rural regions,West,Yes,0.04014,32,905,0.02735,0.05294
1989,Rural regions,West,No,0.95873,873,905,0.94576,0.97169
1990,Urban regions,West,Yes,0.03190,104,3657,0.02620,0.03759
1990,Urban regions,West,No,0.96294,3553,3657,0.95682,0.96907
1990,Rural regions,West,Yes,0.04190,37,921,0.02896,0.05485
1990,Rural regions,West,No,0.95672,884,921,0.94357,0.96987
1991,Urban regions,West,Yes,0.03529,117,3686,0.02933,0.04125
1991,Urban regions,West,No,0.95978,3569,3686,0.95343,0.96612
1991,Urban regions,East,No,0.95538,641,641,0.93939,0.97138
1991,Rural regions,West,Yes,0.06106,48,934,0.04569,0.07642
1991,Rural regions,West,No,0.93403,886,934,0.91810,0.94995
1991,Rural regions,East,Yes,0.05753,60,1277,0.04475,0.07030
1991,Rural regions,East,No,0.93951,1217,1277,0.92643,0.95259
1992,Urban regions,West,Yes,0.04223,124,3685,0.03574,0.04873
1992,Urban regions,West,No,0.94883,3561,3685,0.94171,0.95595
1992,Urban regions,East,No,0.94212,650,650,0.92415,0.96008
1992,Rural regions,West,Yes,0.06509,50,934,0.04926,0.08092
1992,Rural regions,West,No,0.92586,884,934,0.90905,0.94267
1992,Rural regions,East,Yes,0.05652,55,1212,0.04351,0.06952
1992,Rural regions,East,No,0.94170,1157,1212,0.92851,0.95490
1993,Urban regions,West,Yes,0.04020,121,3698,0.03387,0.04653
1993,Urban regions,West,No,0.95306,3577,3698,0.94624,0.95988
1993,Urban regions,East,No,0.95542,640,640,0.93942,0.97142
1993,Rural regions,West,Yes,0.07007,54,952,0.05385,0.08630
1993,Rural regions,West,No,0.91042,898,952,0.89227,0.92857
1993,Rural regions,East,Yes,0.05989,57,1215,0.04654,0.07324
1993,Rural regions,East,No,0.93062,1158,1215,0.91632,0.94491
1994,Urban regions,West,Yes,0.03937,125,3655,0.03306,0.04567
1994,Urban regions,West,No,0.95517,3530,3655,0.94846,0.96188
1994,Urban regions,East,No,0.94771,636,636,0.93040,0.96503
1994,Rural regions,West,Yes,0.06497,52,963,0.04939,0.08054
1994,Rural regions,West,No,0.92409,911,963,0.90735,0.94082
1994,Rural regions,East,Yes,0.05772,53,1196,0.04450,0.07095
1994,Rural regions,East,No,0.93959,1143,1196,0.92609,0.95310
1995,Urban regions,West,Yes,0.04537,138,3821,0.03877,0.05197
1995,Urban regions,West,No,0.94768,3683,3821,0.94062,0.95474
1995,Urban regions,East,No,0.93677,595,595,0.91720,0.95634
