,Unnamed: 0,year,bula_h,rentown,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Schleswig-Holstein,Owner,No,1.0,94,5620,0.93634,1.0575
1,1,1984,Schleswig-Holstein,Tenant,No,1.0,95,5620,0.91528,1.09153
2,2,1984,Hamburg,Tenant,No,1.0,138,5620,0.91314,1.08916
3,3,1984,Lower Saxony,Owner,No,1.0,245,5620,0.9725,1.0253
4,4,1984,Lower Saxony,Tenant,No,1.0,316,5620,0.94266,1.06264
5,5,1984,Bremen,Tenant,No,1.0,54,5620,0.85533,1.1522
6,6,1984,North Rhine-Westphalia,Owner,No,1.0,427,5620,0.96985,1.03074
7,7,1984,North Rhine-Westphalia,Tenant,Yes,0.04075,41,5620,0.03402,0.04796
8,8,1984,North Rhine-Westphalia,Tenant,No,0.95925,1104,5620,0.92361,0.997
9,9,1984,Hesse,Owner,No,1.0,165,5620,0.95568,1.04007
10,10,1984,Hesse,Tenant,No,1.0,402,5620,0.92867,1.09154
11,11,1984,"Rhineland-Palatinate, Saarland",Owner,No,1.0,194,5620,0.97315,1.0326
12,12,1984,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,192,5620,0.91381,1.08154
13,13,1984,Baden-Wuerttemberg,Owner,No,1.0,361,5620,0.96703,1.03335
14,14,1984,Baden-Wuerttemberg,Tenant,No,1.0,655,5620,0.94286,1.06128
15,15,1984,Bavaria,Owner,No,1.0,384,5620,0.97931,1.02545
16,16,1984,Bavaria,Tenant,No,1.0,559,5620,0.95618,1.05548
17,17,1984,Berlin,Tenant,No,1.0,194,5620,0.93101,1.06958
18,18,1985,Schleswig-Holstein,Owner,No,1.0,84,5059,0.92611,1.07437
19,19,1985,Schleswig-Holstein,Tenant,No,1.0,91,5059,0.88455,1.10344
20,20,1985,Hamburg,Tenant,No,1.0,134,5059,0.91548,1.07659
21,21,1985,Lower Saxony,Owner,No,1.0,221,5059,0.96676,1.04139
22,22,1985,Lower Saxony,Tenant,No,1.0,274,5059,0.93062,1.06736
23,23,1985,Bremen,Tenant,No,1.0,45,5059,0.85128,1.14656
24,24,1985,North Rhine-Westphalia,Owner,No,1.0,397,5059,0.96327,1.03816
25,25,1985,North Rhine-Westphalia,Tenant,Yes,0.03666,34,5059,0.02686,0.04701
26,26,1985,North Rhine-Westphalia,Tenant,No,0.96334,978,5059,0.92895,1.00373
27,27,1985,Hesse,Owner,No,1.0,158,5059,0.94684,1.05147
28,28,1985,Hesse,Tenant,No,1.0,360,5059,0.92791,1.07134
29,29,1985,"Rhineland-Palatinate, Saarland",Owner,No,1.0,171,5059,0.95162,1.04717
30,30,1985,"Rhineland-Palatinate, Saarland",Tenant,No,1.0,169,5059,0.88628,1.0804
31,31,1985,Baden-Wuerttemberg,Owner,No,1.0,331,5059,0.96047,1.04187
32,32,1985,Baden-Wuerttemberg,Tenant,No,1.0,582,5059,0.92151,1.07484
33,33,1985,Bavaria,Owner,No,1.0,358,5059,0.97402,1.0314
