"hlf0291","year","quintil","n","percent","lower_confidence","upper_confidence"
"Ja","1995","1","316","0.0577506410574369","0.0523108267395291","0.0631904553753447"
"Ja","1995","2","173","0.0443481283929986","0.038593921243165","0.0501023355428322"
"Ja","1995","3","106","0.038653346545759","0.0317634145312432","0.0455432785602749"
"Ja","1995","4","70","0.0393811250728883","0.0303455102884486","0.048416739857328"
"Ja","1995","5","","","",""
"Nein","1995","1","6748","0.942249358942563","0.936809544624655","0.947689173260471"
"Nein","1995","2","4744","0.955651871607001","0.949897664457168","0.961406078756835"
"Nein","1995","3","2901","0.961346653454241","0.954456721439725","0.968236585468757"
"Nein","1995","4","1710","0.960618874927112","0.951583260142672","0.969654489711551"
"Nein","1995","5","814","0.968942647980016","0.957190517349014","0.980694778611017"
"Ja","1996","1","319","0.0667650711669553","0.0606188149951752","0.0729113273387355"
"Ja","1996","2","148","0.0318614874710694","0.0269519121652551","0.0367710627768836"
"Ja","1996","3","116","0.0395838858929821","0.0327759913219678","0.0463917804639964"
"Ja","1996","4","60","0.0282103335438346","0.0207496645208399","0.0356710025668292"
"Ja","1996","5","","","",""
"Nein","1996","1","6017","0.933234928833045","0.927088672661265","0.939381185004825"
"Nein","1996","2","4768","0.968138512528931","0.963228937223116","0.973048087834745"
"Nein","1996","3","3035","0.960416114107018","0.953608219536004","0.967224008678032"
"Nein","1996","4","1832","0.971789666456165","0.964328997433171","0.97925033547916"
"Nein","1996","5","940","0.965772615776756","0.954313287721513","0.977231943831998"
"Ja","1997","1","226","0.050776840632561","0.0452064317769298","0.0563472494881923"
"Ja","1997","2","199","0.0505705509123179","0.0443852658918696","0.0567558359327663"
"Ja","1997","3","104","0.0310858551495121","0.02514202355159","0.0370296867474342"
"Ja","1997","4","61","0.0326275971047656","0.0247117572642256","0.0405434369453057"
"Ja","1997","5","","","",""
"Nein","1997","1","5741","0.949223159367439","0.943652750511808","0.95479356822307"
"Nein","1997","2","4622","0.949429449087682","0.943244164067234","0.95561473410813"
"Nein","1997","3","3171","0.968914144850488","0.962970313252566","0.97485797644841"
"Nein","1997","4","1874","0.967372402895234","0.959456563054694","0.975288242735774"
"Nein","1997","5","943","0.973514907224671","0.963373295023109","0.983656519426233"
"Ja","1998","1","183","0.0300519323955003","0.0258805091392145","0.0342233556517861"
"Ja","1998","2","208","0.0507793801000605","0.0447960066194075","0.0567627535807135"
"Ja","1998","3","131","0.0429172788578336","0.0362885353419795","0.0495460223736878"
"Ja","1998","4","106","0.0401424635410993","0.0322612794822613","0.0480236475999373"
"Ja","1998","5","","","",""
"Nein","1998","1","6252","0.9699480676045","0.965776644348214","0.974119490860785"
"Nein","1998","2","4964","0.94922061989994","0.943237246419287","0.955203993380593"
"Nein","1998","3","3460","0.957082721142166","0.950453977626312","0.96371146465802"
"Nein","1998","4","2277","0.959857536458901","0.951976352400063","0.967738720517739"
"Nein","1998","5","1145","0.985533962076616","0.978671675815335","0.992396248337897"
"Ja","1999","1","187","0.0436447216088519","0.0381225068343965","0.0491669363833073"
"Ja","1999","2","222","0.0504249433425249","0.0445354947408841","0.0563143919441658"
"Ja","1999","3","121","0.0434137785880016","0.03681436288662","0.0500131942893832"
"Ja","1999","4","60","0.031080708492069","0.0241880324855309","0.0379733844986071"
"Ja","1999","5","35","0.0241560717577281","0.01589227425476","0.0324198692606961"
"Nein","1999","1","5071","0.956355278391148","0.950833063616693","0.961877493165604"
"Nein","1999","2","5081","0.949575056657475","0.943685608055834","0.955464505259116"
"Nein","1999","3","3542","0.956586221411998","0.949986805710617","0.96318563711338"
"Nein","1999","4","2375","0.968919291507931","0.962026615501393","0.975811967514469"
"Nein","1999","5","1291","0.975843928242272","0.967580130739304","0.98410772574524"
