year,quintil_oecd_hh,regtyp,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Yes,0.007953683333523535,37,5265,0.00791927857656663,0.00798808809048044
1985,1st Quintile,Urban regions,No,0.1417188967564732,799,5265,0.14158381489755673,0.14185397861538968
1985,1st Quintile,Rural regions,No,0.05243836377883227,222,5265,0.05235202683480869,0.05252470072285585
1985,2nd Quintile,Urban regions,No,0.14822550877076912,811,5265,0.1480878854092664,0.14836313213227184
1985,2nd Quintile,Rural regions,No,0.04902542318621267,229,5265,0.048941792915872355,0.04910905345655298
1985,3rd Quintile,Urban regions,Yes,0.007493108625960528,32,5265,0.007459707112053769,0.007526510139867287
1985,3rd Quintile,Urban regions,No,0.14939806571017394,817,5265,0.14925999421049738,0.1495361372098505
1985,3rd Quintile,Rural regions,No,0.046943866167341995,215,5265,0.04686194105621893,0.04702579127846506
1985,4th Quintile,Urban regions,No,0.15900515561697917,841,5265,0.15886352059916084,0.1591467906347975
1985,4th Quintile,Rural regions,No,0.03948036041771184,189,5265,0.03940493598529954,0.03955578485012415
1985,5th Quintile,Urban regions,No,0.1601876645305194,775,5265,0.16004560380405305,0.16032972525698577
1985,5th Quintile,Rural regions,No,0.03812990310550234,174,5265,0.03805572778453755,0.038204078426467135
1986,1st Quintile,Urban regions,Yes,0.009463324714486493,38,5034,0.009425958121012719,0.009500691307960267
1986,1st Quintile,Urban regions,No,0.14515218176041153,744,5034,0.14501623071741795,0.1452881328034051
1986,1st Quintile,Rural regions,No,0.04970385092098676,199,5034,0.04961997238153633,0.04978772946043719
1986,2nd Quintile,Urban regions,No,0.1460077354263034,763,5034,0.14587145256066744,0.14614401829193938
1986,2nd Quintile,Rural regions,No,0.04866744021255402,218,5034,0.04858439553781749,0.04875048488729056
1986,3rd Quintile,Urban regions,No,0.15540956031685915,802,5034,0.15526973419824516,0.15554938643547314
1986,3rd Quintile,Rural regions,No,0.044160635435454634,199,5034,0.04408134213975129,0.04423992873115798
1986,4th Quintile,Urban regions,No,0.15918365093932174,807,5034,0.15904245371467557,0.1593248481639679
1986,4th Quintile,Rural regions,No,0.04182691232496835,193,5034,0.04174964849305375,0.04190417615688295
1986,5th Quintile,Urban regions,No,0.16205414458752188,759,5034,0.16191192336550825,0.1621963658095355
1986,5th Quintile,Rural regions,No,0.03837056336113203,166,5034,0.03829642733240099,0.03844469938986307
1987,1st Quintile,Urban regions,Yes,0.010373305050975926,41,4972,0.01033440852860773,0.010412201573344122
1987,1st Quintile,Urban regions,No,0.14172040830950158,689,4972,0.14158651863407543,0.14185429798492774
1987,1st Quintile,Rural regions,No,0.05102860992997491,204,4972,0.05094413070382716,0.051113089156122664
1987,2nd Quintile,Urban regions,No,0.1488081013645312,764,4972,0.14867147216407814,0.14894473056498428
1987,2nd Quintile,Rural regions,No,0.049526329133187504,220,4972,0.04944303687943351,0.0496096213869415
1987,3rd Quintile,Urban regions,No,0.1521411136701511,788,4972,0.15200323357260773,0.15227899376769446
1987,3rd Quintile,Rural regions,No,0.045093526061062775,198,4972,0.045013863545705836,0.045173188576419714
1987,4th Quintile,Urban regions,No,0.16062902196260004,812,4972,0.16048805885014256,0.16076998507505752
1987,4th Quintile,Rural regions,No,0.04036075734826413,196,4972,0.040285204620031344,0.040436310076496916
1987,5th Quintile,Urban regions,No,0.16669097316029544,776,4972,0.16654789426361122,0.16683405205697965
1987,5th Quintile,Rural regions,No,0.03362785400945545,148,4972,0.033558648881361855,0.03369705913754904
1988,1st Quintile,Urban regions,Yes,0.007512952941517011,35,4768,0.007479998790974311,0.007545907092059711
