,Unnamed: 0,year,sampreg,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,West,Yes,0.03985,198,5827,0.03776,0.0429
1,1,1984,West,No,0.96015,5629,5827,0.94833,0.97191
2,2,1985,West,Yes,0.03991,181,5259,0.03777,0.04288
3,3,1985,West,No,0.96009,5078,5259,0.94472,0.97461
4,4,1986,West,Yes,0.04031,172,5027,0.03762,0.04324
5,5,1986,West,No,0.95969,4855,5027,0.94438,0.97422
6,6,1987,West,Yes,0.04033,161,4959,0.03751,0.04294
7,7,1987,West,No,0.95967,4798,4959,0.9435,0.97736
8,8,1988,West,Yes,0.03748,149,4746,0.03483,0.04108
9,9,1988,West,No,0.96252,4597,4746,0.94774,0.97993
10,10,1989,West,Yes,0.03217,129,4636,0.02948,0.0351
11,11,1989,West,No,0.96783,4507,4636,0.95031,0.98463
12,12,1990,West,Yes,0.0342,141,4578,0.03144,0.03764
13,13,1990,West,No,0.9658,4437,4578,0.94923,0.98373
14,14,1991,West,Yes,0.04116,165,6607,0.03796,0.04463
15,15,1991,West,No,0.95884,4457,6607,0.94416,0.97444
16,16,1991,East,Yes,0.05534,88,6607,0.0497,0.06237
17,17,1991,East,No,0.94466,1897,6607,0.92047,0.96894
18,18,1992,West,Yes,0.04762,174,6566,0.0439,0.05141
19,19,1992,West,No,0.95238,4452,6566,0.93549,0.96796
20,20,1992,East,Yes,0.05458,82,6566,0.04895,0.05965
21,21,1992,East,No,0.94542,1858,6566,0.92289,0.96903
22,22,1993,West,Yes,0.04731,175,6524,0.04245,0.05129
23,23,1993,West,No,0.95269,4475,6524,0.93285,0.97244
24,24,1993,East,Yes,0.05243,76,6524,0.04729,0.05946
25,25,1993,East,No,0.94757,1798,6524,0.92475,0.97194
26,26,1994,West,Yes,0.04544,177,6474,0.04228,0.04879
27,27,1994,West,No,0.95456,4441,6474,0.93293,0.9722
28,28,1994,East,Yes,0.05524,77,6474,0.04929,0.06228
29,29,1994,East,No,0.94476,1779,6474,0.92014,0.97073
30,30,1995,West,Yes,0.04802,186,6662,0.04335,0.05212
31,31,1995,West,No,0.95198,4659,6662,0.92838,0.97537
32,32,1995,East,Yes,0.05683,78,6662,0.05012,0.0636
33,33,1995,East,No,0.94317,1739,6662,0.91599,0.96755
34,34,1996,West,Yes,0.04257,176,6601,0.03892,0.04689
35,35,1996,West,No,0.95743,4595,6601,0.93693,0.97775
36,36,1996,East,Yes,0.04901,71,6601,0.04526,0.05465
37,37,1996,East,No,0.95099,1759,6601,0.92385,0.97986
38,38,1997,West,Yes,0.04062,162,6530,0.03682,0.04426
39,39,1997,West,No,0.95938,4549,6530,0.93888,0.98002
40,40,1997,East,Yes,0.05344,75,6530,0.0463,0.05953
41,41,1997,East,No,0.94656,1744,6530,0.9199,0.97738
42,42,1998,West,Yes,0.03998,192,7413,0.03657,0.04311
43,43,1998,West,No,0.96002,5261,7413,0.94294,0.97554
44,44,1998,East,Yes,0.04739,73,7413,0.04089,0.05325
45,45,1998,East,No,0.95261,1887,7413,0.92517,0.97841
46,46,1999,West,Yes,0.04622,193,7142,0.04229,0.05099
47,47,1999,West,No,0.95378,5019,7142,0.93317,0.97095
48,48,1999,East,Yes,0.04457,69,7142,0.03999,0.04926
49,49,1999,East,No,0.95543,1861,7142,0.9272,0.98466
50,50,2000,West,Yes,0.03872,363,12950,0.03616,0.04106
51,51,2000,West,No,0.96128,9513,12950,0.95089,0.97253
52,52,2000,East,Yes,0.04405,125,12950,0.04015,0.04795
53,53,2000,East,No,0.95595,2949,12950,0.93725,0.97551
54,54,2001,West,Yes,0.03875,336,11677,0.03635,0.04102
55,55,2001,West,No,0.96125,8498,11677,0.9497,0.97245
56,56,2001,East,Yes,0.04747,117,11677,0.0432,0.05142
57,57,2001,East,No,0.95253,2726,11677,0.93312,0.9766
58,58,2002,West,Yes,0.03985,329,12212,0.03742,0.0424
59,59,2002,West,No,0.96015,9041,12212,0.94686,0.97287
60,60,2002,East,Yes,0.05201,122,12212,0.04779,0.05677
61,61,2002,East,No,0.94799,2720,12212,0.92395,0.97406
62,62,2003,West,Yes,0.04118,329,11803,0.03848,0.04359
63,63,2003,West,No,0.95882,8669,11803,0.94387,0.97192
64,64,2003,East,Yes,0.05331,126,11803,0.04912,0.05761
65,65,2003,East,No,0.94669,2679,11803,0.9254,0.97291
66,66,2004,West,Yes,0.04261,337,11543,0.03933,0.04541
67,67,2004,West,No,0.95739,8445,11543,0.94218,0.97303
68,68,2004,East,Yes,0.05772,133,11543,0.05258,0.06409
69,69,2004,East,No,0.94228,2628,11543,0.91333,0.96984
70,70,2005,West,Yes,0.03946,308,11199,0.03677,0.04202
71,71,2005,West,No,0.96054,8199,11199,0.9442,0.97625
72,72,2005,East,Yes,0.04951,115,11199,0.04436,0.05543
73,73,2005,East,No,0.95049,2577,11199,0.92191,0.97847
74,74,2006,West,Yes,0.04197,357,12265,0.03943,0.0446
75,75,2006,West,No,0.95803,8980,12265,0.94508,0.97395
76,76,2006,East,Yes,0.05242,140,12265,0.0468,0.05801
77,77,2006,East,No,0.94758,2788,12265,0.92112,0.97227
78,78,2007,West,Yes,0.04106,329,11452,0.03849,0.04395
79,79,2007,West,No,0.95894,8363,11452,0.94412,0.97582
80,80,2007,East,Yes,0.05063,128,11452,0.04424,0.05679
81,81,2007,East,No,0.94937,2632,11452,0.92087,0.97928
82,82,2008,West,Yes,0.04093,299,10820,0.03758,0.04401
83,83,2008,West,No,0.95907,7871,10820,0.94102,0.97386
84,84,2008,East,Yes,0.04619,110,10820,0.0397,0.053
85,85,2008,East,No,0.95381,2540,10820,0.92047,0.98071
86,86,2009,West,Yes,0.04204,298,10177,0.03886,0.04525
87,87,2009,West,No,0.95796,7324,10177,0.93819,0.97835
88,88,2009,East,Yes,0.04951,113,10177,0.04351,0.05517
89,89,2009,East,No,0.95049,2442,10177,0.91858,0.98186
90,90,2010,West,Yes,0.04189,353,13799,0.03775,0.0457
91,91,2010,West,No,0.95811,10286,13799,0.93271,0.97907
92,92,2010,East,Yes,0.03918,114,13799,0.03344,0.04617
93,93,2010,East,No,0.96082,3046,13799,0.92302,0.99921
94,94,2011,West,Yes,0.03635,410,16602,0.03329,0.03944
95,95,2011,West,No,0.96365,12448,16602,0.94585,0.98483
96,96,2011,East,Yes,0.04178,147,16602,0.0363,0.04628
97,97,2011,East,No,0.95822,3597,16602,0.92229,0.99164
98,98,2012,West,Yes,0.03807,405,16303,0.03447,0.04143
99,99,2012,West,No,0.96193,12186,16303,0.9444,0.97876
100,100,2012,East,Yes,0.05087,161,16303,0.04486,0.05687
101,101,2012,East,No,0.94913,3551,16303,0.91799,0.98552
102,102,2013,West,Yes,0.03912,495,17870,0.0363,0.04269
103,103,2013,West,No,0.96088,13718,17870,0.93786,0.98035
104,104,2013,East,Yes,0.04556,154,17870,0.04006,0.05213
105,105,2013,East,No,0.95444,3503,17870,0.92166,0.98457
106,106,2014,West,Yes,0.0405,457,15826,0.03733,0.04387
107,107,2014,West,No,0.9595,11989,15826,0.94049,0.97846
108,108,2014,East,Yes,0.04937,175,15826,0.04431,0.05514
109,109,2014,East,No,0.95063,3205,15826,0.91747,0.98751
110,110,2015,West,Yes,0.03979,425,15764,0.03616,0.04352
111,111,2015,West,No,0.96021,12057,15764,0.93949,0.97988
112,112,2015,East,Yes,0.04352,154,15764,0.03822,0.04894
113,113,2015,East,No,0.95648,3128,15764,0.9127,0.99438
114,114,2016,West,Yes,0.04561,572,16400,0.04068,0.05112
115,115,2016,West,No,0.95439,12366,16400,0.93368,0.97422
116,116,2016,East,Yes,0.04196,183,16400,0.03563,0.04924
117,117,2016,East,No,0.95804,3279,16400,0.91899,0.99396
118,118,2017,West,Yes,0.04491,595,18271,0.03975,0.04931
119,119,2017,West,No,0.95509,13875,18271,0.93851,0.97397
120,120,2017,East,Yes,0.04913,187,18271,0.04237,0.05823
121,121,2017,East,No,0.95087,3614,18271,0.91294,0.98674
122,122,2018,West,Yes,0.04815,667,17875,0.04331,0.05283
123,123,2018,West,No,0.95185,13429,17875,0.93088,0.96845
124,124,2018,East,Yes,0.04353,196,17875,0.03759,0.05029
125,125,2018,East,No,0.95647,3583,17875,0.92224,0.99083
126,126,2019,West,Yes,0.04818,640,18364,0.04265,0.05351
127,127,2019,West,No,0.95182,13817,18364,0.93152,0.97131
128,128,2019,East,Yes,0.04851,191,18364,0.04001,0.05637
129,129,2019,East,No,0.95149,3716,18364,0.91177,0.98857
130,130,2020,West,Yes,0.04858,623,19290,0.04392,0.0535
131,131,2020,West,No,0.95142,14833,19290,0.92654,0.97503
132,132,2020,East,Yes,0.05821,205,19290,0.04964,0.06985
133,133,2020,East,No,0.94179,3629,19290,0.89596,0.97811
134,134,2021,West,Yes,0.05568,524,12552,0.0503,0.06246
135,135,2021,West,No,0.94432,9442,12552,0.92072,0.96963
136,136,2021,East,Yes,0.06413,160,12552,0.05382,0.07443
137,137,2021,East,No,0.93587,2426,12552,0.88878,0.98597
