,Unnamed: 0,year,rentown,hlf0291,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Owner,Yes,0.04188,77,5827,0.04021,0.04384
1,1,1984,Owner,No,0.95812,1920,5827,0.94556,0.96864
2,2,1984,Tenant,Yes,0.03849,121,5827,0.03415,0.04279
3,3,1984,Tenant,No,0.96151,3709,5827,0.9434,0.97927
4,4,1985,Owner,Yes,0.04984,88,5259,0.04771,0.0524
5,5,1985,Owner,No,0.95016,1773,5259,0.93618,0.96605
6,6,1985,Tenant,Yes,0.0333,93,5259,0.02895,0.03748
7,7,1985,Tenant,No,0.9667,3305,5259,0.94735,0.98811
8,8,1986,Owner,Yes,0.04989,81,5023,0.04662,0.05349
9,9,1986,Owner,No,0.95011,1748,5023,0.93359,0.96573
10,10,1986,Tenant,Yes,0.03405,91,5023,0.02961,0.0383
11,11,1986,Tenant,No,0.96595,3103,5023,0.94239,0.98714
12,12,1987,Owner,Yes,0.04838,79,4957,0.04411,0.05218
13,13,1987,Owner,No,0.95162,1749,4957,0.93212,0.96811
14,14,1987,Tenant,Yes,0.0351,82,4957,0.0301,0.03863
15,15,1987,Tenant,No,0.9649,3047,4957,0.94055,0.99008
16,16,1988,Owner,Yes,0.03916,60,4745,0.03555,0.04243
17,17,1988,Owner,No,0.96084,1678,4745,0.94327,0.97856
18,18,1988,Tenant,Yes,0.03639,89,4745,0.03153,0.04111
19,19,1988,Tenant,No,0.96361,2918,4745,0.93608,0.98585
20,20,1989,Owner,Yes,0.04164,66,4633,0.03751,0.04551
21,21,1989,Owner,No,0.95836,1642,4633,0.94084,0.97362
22,22,1989,Tenant,Yes,0.02587,63,4633,0.02207,0.02964
23,23,1989,Tenant,No,0.97413,2862,4633,0.94888,0.99636
24,24,1990,Owner,Yes,0.04206,71,4577,0.03759,0.04574
25,25,1990,Owner,No,0.95794,1663,4577,0.94005,0.97806
26,26,1990,Tenant,Yes,0.02887,70,4577,0.02462,0.03344
27,27,1990,Tenant,No,0.97113,2773,4577,0.94995,1.00026
28,28,1991,Owner,Yes,0.04888,109,6606,0.04453,0.05353
29,29,1991,Owner,No,0.95112,2222,6606,0.93079,0.97262
30,30,1991,Tenant,Yes,0.04079,144,6606,0.03666,0.0457
31,31,1991,Tenant,No,0.95921,4131,6606,0.94214,0.98545
32,32,1992,Owner,Yes,0.05564,116,6566,0.04983,0.06059
33,33,1992,Owner,No,0.94436,2210,6566,0.9218,0.96671
34,34,1992,Tenant,Yes,0.04475,140,6566,0.03919,0.04918
35,35,1992,Tenant,No,0.95525,4100,6566,0.93392,0.97481
36,36,1993,Owner,Yes,0.06057,114,6523,0.05425,0.06614
37,37,1993,Owner,No,0.93943,2194,6523,0.91252,0.96305
38,38,1993,Tenant,Yes,0.04043,137,6523,0.03609,0.04508
39,39,1993,Tenant,No,0.95957,4078,6523,0.93788,0.98339
40,40,1994,Owner,Yes,0.05539,117,6471,0.04948,0.06147
41,41,1994,Owner,No,0.94461,2202,6471,0.9202,0.97334
42,42,1994,Tenant,Yes,0.04211,137,6471,0.03857,0.04658
43,43,1994,Tenant,No,0.95789,4015,6471,0.93339,0.98003
44,44,1995,Owner,Yes,0.05567,111,6662,0.04946,0.06113
45,45,1995,Owner,No,0.94433,2237,6662,0.91308,0.96902
46,46,1995,Tenant,Yes,0.04566,153,6662,0.04069,0.05084
47,47,1995,Tenant,No,0.95434,4161,6662,0.92889,0.97585
48,48,1996,Owner,Yes,0.04767,103,6601,0.04215,0.05333
49,49,1996,Owner,No,0.95233,2284,6601,0.91953,0.97834
50,50,1996,Tenant,Yes,0.0411,144,6601,0.03582,0.0463
51,51,1996,Tenant,No,0.9589,4070,6601,0.93605,0.98325
52,52,1997,Owner,Yes,0.04164,99,6530,0.03689,0.04775
53,53,1997,Owner,No,0.95836,2337,6530,0.93294,0.98666
54,54,1997,Tenant,Yes,0.04388,138,6530,0.03973,0.0485
55,55,1997,Tenant,No,0.95612,3956,6530,0.92606,0.98311
56,56,1998,Owner,Yes,0.04651,120,7413,0.0415,0.05086
57,57,1998,Owner,No,0.95349,2780,7413,0.93377,0.97674
58,58,1998,Tenant,Yes,0.03776,145,7413,0.03365,0.04176
59,59,1998,Tenant,No,0.96224,4368,7413,0.9418,0.98051
60,60,1999,Owner,Yes,0.04902,117,7142,0.04231,0.0553
61,61,1999,Owner,No,0.95098,2742,7142,0.9297,0.97854
62,62,1999,Tenant,Yes,0.04373,145,7142,0.03908,0.04812
63,63,1999,Tenant,No,0.95627,4138,7142,0.93212,0.9756
64,64,2000,Owner,Yes,0.04487,259,12950,0.04203,0.04734
65,65,2000,Owner,No,0.95513,5566,12950,0.94146,0.97059
66,66,2000,Tenant,Yes,0.03602,229,12950,0.03379,0.03832
67,67,2000,Tenant,No,0.96398,6896,12950,0.94981,0.97749
68,68,2001,Owner,Yes,0.04601,238,11677,0.04204,0.04955
69,69,2001,Owner,No,0.95399,5027,11677,0.93903,0.97167
70,70,2001,Tenant,Yes,0.03627,215,11677,0.03339,0.03894
71,71,2001,Tenant,No,0.96373,6197,11677,0.94848,0.97647
72,72,2002,Owner,Yes,0.0466,234,12212,0.04307,0.05063
73,73,2002,Owner,No,0.9534,5610,12212,0.93446,0.97564
74,74,2002,Tenant,Yes,0.03879,217,12212,0.03598,0.04178
75,75,2002,Tenant,No,0.96121,6151,12212,0.94627,0.97613
76,76,2003,Owner,Yes,0.04431,226,11803,0.04033,0.0484
77,77,2003,Owner,No,0.95569,5433,11803,0.9353,0.9791
78,78,2003,Tenant,Yes,0.0428,229,11803,0.04023,0.04641
79,79,2003,Tenant,No,0.9572,5915,11803,0.94165,0.97535
80,80,2004,Owner,Yes,0.0482,241,11543,0.04407,0.05234
81,81,2004,Owner,No,0.9518,5320,11543,0.93362,0.97147
82,82,2004,Tenant,Yes,0.0434,229,11543,0.03997,0.04695
83,83,2004,Tenant,No,0.9566,5753,11543,0.93949,0.97446
84,84,2005,Owner,Yes,0.04212,209,11198,0.03845,0.04542
85,85,2005,Owner,No,0.95788,5176,11198,0.9357,0.97829
86,86,2005,Tenant,Yes,0.04078,214,11198,0.03784,0.04386
87,87,2005,Tenant,No,0.95922,5599,11198,0.93981,0.97811
88,88,2006,Owner,Yes,0.04694,264,12263,0.04345,0.05066
89,89,2006,Owner,No,0.95306,5739,12263,0.93261,0.97377
90,90,2006,Tenant,Yes,0.04182,233,12263,0.03876,0.04424
91,91,2006,Tenant,No,0.95818,6027,12263,0.94144,0.97675
92,92,2007,Owner,Yes,0.04458,241,11452,0.0403,0.0486
93,93,2007,Owner,No,0.95542,5379,11452,0.93619,0.97523
94,94,2007,Tenant,Yes,0.04159,216,11452,0.03853,0.04549
95,95,2007,Tenant,No,0.95841,5616,11452,0.94127,0.98064
96,96,2008,Owner,Yes,0.0447,220,10820,0.04066,0.04998
97,97,2008,Owner,No,0.9553,5158,10820,0.93276,0.98205
98,98,2008,Tenant,Yes,0.03976,189,10820,0.03592,0.04327
99,99,2008,Tenant,No,0.96024,5253,10820,0.94207,0.97846
100,100,2009,Owner,Yes,0.0437,208,10177,0.0388,0.0488
101,101,2009,Owner,No,0.9563,4855,10177,0.93192,0.98386
102,102,2009,Tenant,Yes,0.04324,203,10177,0.03885,0.0469
103,103,2009,Tenant,No,0.95676,4911,10177,0.93494,0.97639
104,104,2010,Owner,Yes,0.04404,225,13799,0.03914,0.04943
105,105,2010,Owner,No,0.95596,6106,13799,0.93031,0.97751
106,106,2010,Tenant,Yes,0.03917,242,13799,0.03482,0.04358
107,107,2010,Tenant,No,0.96083,7226,13799,0.93061,0.98617
108,108,2011,Owner,Yes,0.0389,274,16602,0.03506,0.04294
109,109,2011,Owner,No,0.9611,7447,16602,0.9328,0.9828
110,110,2011,Tenant,Yes,0.03604,283,16602,0.03253,0.03981
111,111,2011,Tenant,No,0.96396,8598,16602,0.94228,0.98496
112,112,2012,Owner,Yes,0.04198,261,16303,0.03827,0.0468
113,113,2012,Owner,No,0.95802,7335,16303,0.93459,0.97943
114,114,2012,Tenant,Yes,0.03909,305,16303,0.03556,0.04314
115,115,2012,Tenant,No,0.96091,8402,16303,0.93888,0.9815
116,116,2013,Owner,Yes,0.04445,288,17870,0.03992,0.04923
117,117,2013,Owner,No,0.95555,7420,17870,0.93434,0.98022
118,118,2013,Tenant,Yes,0.03682,361,17870,0.03278,0.04038
119,119,2013,Tenant,No,0.96318,9801,17870,0.93978,0.98467
120,120,2014,Owner,Yes,0.04494,284,15826,0.04017,0.04958
121,121,2014,Owner,No,0.95506,6767,15826,0.93145,0.97898
122,122,2014,Tenant,Yes,0.03977,348,15826,0.03661,0.04324
123,123,2014,Tenant,No,0.96023,8427,15826,0.93844,0.98574
124,124,2015,Owner,Yes,0.04368,261,15764,0.03827,0.04908
125,125,2015,Owner,No,0.95632,6478,15764,0.93238,0.97984
126,126,2015,Tenant,Yes,0.03778,318,15764,0.03351,0.04202
127,127,2015,Tenant,No,0.96222,8707,15764,0.93989,0.98543
128,128,2016,Owner,Yes,0.04887,265,14300,0.0421,0.05603
129,129,2016,Owner,No,0.95113,6037,14300,0.92589,0.9767
130,130,2016,Tenant,Yes,0.04148,314,14300,0.03718,0.0457
131,131,2016,Tenant,No,0.95852,7684,14300,0.9359,0.98153
132,132,2017,Owner,Yes,0.04969,294,17474,0.04408,0.05573
133,133,2017,Owner,No,0.95031,6769,17474,0.92622,0.97414
134,134,2017,Tenant,Yes,0.04217,437,17474,0.03764,0.04756
135,135,2017,Tenant,No,0.95783,9974,17474,0.93465,0.97797
136,136,2018,Owner,Yes,0.04733,279,17875,0.04284,0.05349
