year,quintil_oecd_hh,sampreg,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Yes,0.06166,64,1200,0.04804,0.07527
1984,1st Quintile,West,No,0.93834,1136,1200,0.92473,0.95196
1984,2nd Quintile,West,Yes,0.02788,34,1191,0.01853,0.03723
1984,2nd Quintile,West,No,0.97212,1157,1191,0.96277,0.98147
1984,3rd Quintile,West,Yes,0.04848,43,1168,0.03616,0.06080
1984,3rd Quintile,West,No,0.95152,1125,1168,0.93920,0.96384
1984,4th Quintile,West,Yes,0.04155,37,1176,0.03014,0.05296
1984,4th Quintile,West,No,0.95845,1139,1176,0.94704,0.96986
1984,5th Quintile,West,No,0.97941,1052,1052,0.97082,0.98799
1985,1st Quintile,West,Yes,0.05244,49,1074,0.03910,0.06578
1985,1st Quintile,West,No,0.94756,1025,1074,0.93422,0.96090
1985,2nd Quintile,West,Yes,0.04120,37,1072,0.02930,0.05311
1985,2nd Quintile,West,No,0.95880,1035,1072,0.94689,0.97070
1985,3rd Quintile,West,Yes,0.04003,38,1082,0.02834,0.05171
1985,3rd Quintile,West,No,0.95997,1044,1082,0.94829,0.97166
1985,4th Quintile,West,No,0.96444,1016,1016,0.95304,0.97583
1985,5th Quintile,West,No,0.96945,952,952,0.95851,0.98039
1986,1st Quintile,West,Yes,0.05570,47,993,0.04143,0.06998
1986,1st Quintile,West,No,0.94430,946,993,0.93002,0.95857
1986,2nd Quintile,West,Yes,0.05657,47,1033,0.04247,0.07066
1986,2nd Quintile,West,No,0.94343,986,1033,0.92934,0.95753
1986,3rd Quintile,West,No,0.96648,999,999,0.95531,0.97765
1986,4th Quintile,West,No,0.97045,991,991,0.95991,0.98100
1986,5th Quintile,West,No,0.97354,928,928,0.96321,0.98387
1987,1st Quintile,West,Yes,0.06578,52,948,0.04999,0.08157
1987,1st Quintile,West,No,0.93422,896,948,0.91843,0.95001
1987,2nd Quintile,West,Yes,0.04165,32,1011,0.02933,0.05397
1987,2nd Quintile,West,No,0.95835,979,1011,0.94603,0.97067
1987,3rd Quintile,West,Yes,0.04127,32,1030,0.02911,0.05342
1987,3rd Quintile,West,No,0.95873,998,1030,0.94658,0.97089
1987,4th Quintile,West,No,0.97486,996,996,0.96513,0.98459
1987,5th Quintile,West,No,0.97205,926,926,0.96143,0.98268
1988,1st Quintile,West,Yes,0.05523,46,938,0.04061,0.06986
1988,1st Quintile,West,No,0.94477,892,938,0.93014,0.95939
1988,2nd Quintile,West,Yes,0.04374,39,962,0.03081,0.05667
1988,2nd Quintile,West,No,0.95626,923,962,0.94333,0.96919
1988,3rd Quintile,West,No,0.96118,956,956,0.94893,0.97343
1988,4th Quintile,West,No,0.97398,952,952,0.96386,0.98410
1988,5th Quintile,West,No,0.97613,872,872,0.96600,0.98627
1989,1st Quintile,West,Yes,0.05201,40,910,0.03758,0.06645
1989,1st Quintile,West,No,0.94799,870,910,0.93355,0.96242
1989,2nd Quintile,West,Yes,0.04078,33,982,0.02840,0.05315
1989,2nd Quintile,West,No,0.95922,949,982,0.94685,0.97160
1989,3rd Quintile,West,No,0.97008,923,923,0.95908,0.98108
1989,4th Quintile,West,No,0.98295,932,932,0.97463,0.99126
1989,5th Quintile,West,No,0.97896,832,832,0.96920,0.98872
1990,1st Quintile,West,No,0.96917,37,37,0.91270,1.02564
1990,2nd Quintile,West,Yes,0.06964,61,1161,0.05499,0.08429
1990,2nd Quintile,West,No,0.93036,1100,1161,0.91571,0.94501
