year,migback,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1984,No migration background,West,8582,0.14319386360821237,0.13215606546869782,0.1557000746734524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Direct migration background,West,3344,0.1417401755771347,0.11936104384475976,0.16151630242092646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,Indirect migration background,West,125,0.012499207878026566,-0.0016772584313835062,0.02244129155829632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,No migration background,West,7896,0.15572808206857852,0.14021543284479368,0.16820688605900844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Direct migration background,West,2883,0.14467813360627937,0.10420245559678079,0.17338606169209517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,Indirect migration background,West,140,0.11858780895472729,0.04037328769384682,0.1869057463007997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,No migration background,West,7500,0.173035742756868,0.14420493234045628,0.19666377579595543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Direct migration background,West,2801,0.2463953605258663,0.08551274829135352,0.3486457331061452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Indirect migration background,West,153,0.3017876589914647,0.032477579565761916,0.5228958706598079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,No migration background,West,7376,0.18281488858056194,0.16359418038279344,0.20278864164069269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Direct migration background,West,2792,0.16160947980664572,0.11715876634732317,0.19752096050395718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Indirect migration background,West,172,0.16451948611865974,0.03707030949852674,0.2690729290678304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,No migration background,West,6991,0.1854847706480772,0.15966143153936052,0.2055657832475871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Direct migration background,West,2643,0.17615858484107522,0.12785374003823768,0.2201944668766455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Indirect migration background,West,219,0.10207464822485918,0.034598396029718675,0.1571128612646238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,No migration background,West,6718,0.1812779028860274,0.1503675833816952,0.20674705247073719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Direct migration background,West,2557,0.16361513431512237,0.10238852661644068,0.2121773030505391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,Indirect migration background,West,255,0.09779181739953781,0.041029304351451856,0.15011186179203836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,No migration background,West,,,,,,,,,,,,
1990,No migration background,East,,,,,,,,,,,,
1990,Direct migration background,West,,,,,,,,,,,,
1990,Direct migration background,East,,,,,,,,,,,,
1990,Indirect migration background,West,,,,,,,,,,,,
1990,Indirect migration background,East,,,,,,,,,,,,
1991,No migration background,West,6495,0.20309528755148942,0.17611808282550964,0.22626202681074525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,No migration background,East,,,,,,,,,,,,
1991,Direct migration background,West,2452,0.16022738932033678,0.11698152834206663,0.19712976119956377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Direct migration background,East,,,,,,,,,,,,
1991,Indirect migration background,West,341,0.07526662298024644,0.03163187758551349,0.1154218280252074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,Indirect migration background,East,,,,,,,,,,,,
1992,No migration background,West,6467,0.18165213620260198,0.1630126880527094,0.20124880622926133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,No migration background,East,3758,0.13761480725859895,0.10583302524358887,0.169347638137004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Direct migration background,West,2380,0.14342618077201427,0.11119663788286546,0.17234070869249243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Direct migration background,East,140,0.1416103759203428,0.023753867723876776,0.23064916447885983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Indirect migration background,West,390,0.1855135362989276,0.08640465611762871,0.2752998517240155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,Indirect migration background,East,,,,,,,,,,,,
1993,No migration background,West,,,,,,,,,,,,
1993,No migration background,East,,,,,,,,,,,,
1993,Direct migration background,West,,,,,,,,,,,,
1993,Direct migration background,East,,,,,,,,,,,,
1993,Indirect migration background,West,,,,,,,,,,,,
1993,Indirect migration background,East,,,,,,,,,,,,
1994,No migration background,West,6337,0.19548383192130808,0.17419240714689654,0.218555056665378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,No migration background,East,3577,0.14712738903936343,0.12126542524502326,0.1705127806669694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Direct migration background,West,2193,0.12804844720308325,0.10338252406335297,0.15570226093567607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Direct migration background,East,141,0.13765169864886598,0.04874475116630475,0.21310838400861645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Indirect migration background,West,469,0.23930734106972334,0.010066675723468033,0.39129624329585744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,Indirect migration background,East,,,,,,,,,,,,
1995,No migration background,West,6365,0.17860517517136112,0.15725674546791757,0.19715823949335623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,No migration background,East,3499,0.1733680532211278,0.14275656398735379,0.19998337570692662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Direct migration background,West,2610,0.1723376150777983,0.12870710825875112,0.2121653265647858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Direct migration background,East,140,0.2064306096895942,0.01739307675415641,0.3619327205378333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Indirect migration background,West,484,0.12295260787373836,0.04139255544850459,0.1910468606443771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,Indirect migration background,East,,,,,,,,,,,,
1996,No migration background,West,6312,0.19917161372589667,0.1698210845058758,0.2285413591303429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,No migration background,East,3492,0.21031745972343874,0.14123486065053392,0.2568033058368161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Direct migration background,West,2436,0.15654295325473105,0.1299476023160012,0.17980767398954245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,Direct migration background,East,134,0.2571564144714009,0.06697656011970637,0.4308769866123323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
