year,age_gr,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,30-45 y.,Indirect migration background,,,,,,,,,,,,
1987,46-65 y.,No migration background,2252,0.1646698256041534,0.14532795990202796,0.18401169130627887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,46-65 y.,Direct migration background,902,0.16103778828008458,0.1426390887795256,0.17943648778064356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,46-65 y.,Indirect migration background,,,,,,,,,,,,
1987,66 and older,No migration background,993,0.278193948629988,0.2528540830343514,0.30353381422562453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,66 and older,Direct migration background,56,0.27443033628207786,0.18659844142792376,0.36226223113623196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,66 and older,Indirect migration background,,,,,,,,,,,,
1988,under 18 y.,No migration background,,,,,,,,,,,,
1988,under 18 y.,Direct migration background,,,,,,,,,,,,
1988,under 18 y.,Indirect migration background,,,,,,,,,,,,
1988,18-29 y.,No migration background,1774,0.16841316532902845,0.14953130431759784,0.18729502634045905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,18-29 y.,Direct migration background,730,0.18391397960372124,0.155257801777784,0.21257015742965849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,18-29 y.,Indirect migration background,139,0.13588761511876027,0.0878390812216975,0.18393614901582306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,30-45 y.,No migration background,1978,0.14233588633162259,0.12774628048099065,0.15692549218225452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,30-45 y.,Direct migration background,927,0.21006070896425566,0.1766342441643546,0.2434871737641567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,30-45 y.,Indirect migration background,,,,,,,,,,,,
1988,46-65 y.,No migration background,2156,0.17176451721194047,0.15062658826956643,0.1929024461543145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,46-65 y.,Direct migration background,894,0.14334340480109045,0.12357982846657359,0.16310698113560732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,46-65 y.,Indirect migration background,,,,,,,,,,,,
1988,66 and older,No migration background,954,0.290567066261441,0.2485957222409482,0.3325384102819338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,66 and older,Direct migration background,60,0.1773151705115265,0.10488189723824527,0.24974844378480776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,66 and older,Indirect migration background,,,,,,,,,,,,
1989,under 18 y.,No migration background,,,,,,,,,,,,
1989,under 18 y.,Direct migration background,,,,,,,,,,,,
1989,under 18 y.,Indirect migration background,,,,,,,,,,,,
1989,18-29 y.,No migration background,1739,0.1498353139165921,0.13753593506775097,0.16213469276543324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,18-29 y.,Direct migration background,703,0.11421238976711424,0.09981257293324997,0.12861220660097852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,18-29 y.,Indirect migration background,180,0.12413358696314247,0.0940986161806457,0.15416855774563926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,30-45 y.,No migration background,1926,0.1107426540965779,0.10221400116062351,0.11927130703253228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,30-45 y.,Direct migration background,867,0.12089425359651917,0.10889552988092048,0.13289297731211785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,30-45 y.,Indirect migration background,,,,,,,,,,,,
1989,46-65 y.,No migration background,2031,0.20199909326580495,0.173911028297272,0.2300871582343379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,46-65 y.,Direct migration background,892,0.2157785315186311,0.17770697624424223,0.25385008679301996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,46-65 y.,Indirect migration background,,,,,,,,,,,,
1989,66 and older,No migration background,911,0.29203170525271055,0.22718127628534068,0.3568821342200804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,66 and older,Direct migration background,68,0.18146910519106535,0.10041633947429063,0.26252187090784007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,66 and older,Indirect migration background,,,,,,,,,,,,
1990,under 18 y.,No migration background,,,,,,,,,,,,
1990,under 18 y.,Direct migration background,,,,,,,,,,,,
1990,under 18 y.,Indirect migration background,,,,,,,,,,,,
1990,18-29 y.,No migration background,,,,,,,,,,,,
1990,18-29 y.,Direct migration background,,,,,,,,,,,,
1990,18-29 y.,Indirect migration background,,,,,,,,,,,,
1990,30-45 y.,No migration background,,,,,,,,,,,,
1990,30-45 y.,Direct migration background,,,,,,,,,,,,
1990,30-45 y.,Indirect migration background,,,,,,,,,,,,
1990,46-65 y.,No migration background,,,,,,,,,,,,
1990,46-65 y.,Direct migration background,,,,,,,,,,,,
1990,46-65 y.,Indirect migration background,,,,,,,,,,,,
1990,66 and older,No migration background,,,,,,,,,,,,
1990,66 and older,Direct migration background,,,,,,,,,,,,
1990,66 and older,Indirect migration background,,,,,,,,,,,,
1991,under 18 y.,No migration background,,,,,,,,,,,,
1991,under 18 y.,Direct migration background,,,,,,,,,,,,
1991,under 18 y.,Indirect migration background,,,,,,,,,,,,
1991,18-29 y.,No migration background,1629,0.22216192391291936,0.1991693856474122,0.2451544621784265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,18-29 y.,Direct migration background,630,0.21502242302505134,0.18459860283468352,0.24544624321541916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,18-29 y.,Indirect migration background,251,0.06737319638270912,0.05170116847814346,0.08304522428727479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,30-45 y.,No migration background,1963,0.14787993881143144,0.12728540670863953,0.16847447091422335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,30-45 y.,Direct migration background,798,0.1169293623942575,0.10443154945583034,0.12942717533268466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,30-45 y.,Indirect migration background,,,,,,,,,,,,
1991,46-65 y.,No migration background,1898,0.1753132047042284,0.1539934872162562,0.1966329221922006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,46-65 y.,Direct migration background,907,0.12135365659458716,0.1080772345985409,0.13463007859063342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,46-65 y.,Indirect migration background,,,,,,,,,,,,
1991,66 and older,No migration background,929,0.30529063500945297,0.27710316309842414,0.3334781069204818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
