year,hhtyp,sampreg,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,West,No,0.99527,2518,2518,0.99258,0.99795
2016,Single-person household,East,No,0.97549,834,834,0.96499,0.98599
2016,Couple without children,West,Yes,0.01855,52,3085,0.01379,0.02331
2016,Couple without children,West,No,0.98145,3033,3085,0.97669,0.98621
2016,Couple without children,East,Yes,0.06470,53,1012,0.04953,0.07986
2016,Couple without children,East,No,0.93530,959,1012,0.92014,0.95047
2016,Single parent,West,Yes,0.05274,63,1188,0.04003,0.06546
2016,Single parent,West,No,0.94726,1125,1188,0.93454,0.95997
2016,Single parent,East,No,0.91867,307,307,0.88804,0.94930
2016,Couple with children,West,Yes,0.07480,355,4169,0.06682,0.08279
2016,Couple with children,West,No,0.92520,3814,4169,0.91721,0.93318
2016,Couple with children,East,Yes,0.14797,108,821,0.12367,0.17228
2016,Couple with children,East,No,0.85203,713,821,0.82772,0.87633
2016,Multi-generational household,West,No,0.92955,79,79,0.87276,0.98634
2016,Other Combinations,West,No,0.98622,165,165,0.96839,1.00406
2021,No answer / don't know,West,No,0.95926,43,43,0.89947,1.01905
2021,Single-person household,West,No,0.99813,2470,2470,0.99642,0.99983
2021,Single-person household,East,No,0.98195,698,698,0.97207,0.99184
2021,Couple without children,West,No,0.98368,2565,2565,0.97877,0.98858
2021,Couple without children,East,No,0.96075,792,792,0.94721,0.97428
2021,Single parent,West,Yes,0.05487,33,657,0.03744,0.07230
2021,Single parent,West,No,0.94513,624,657,0.92770,0.96256
2021,Single parent,East,No,0.91098,223,223,0.87352,0.94844
2021,Couple with children,West,Yes,0.06116,168,2611,0.05197,0.07035
2021,Couple with children,West,No,0.93884,2443,2611,0.92965,0.94803
2021,Couple with children,East,Yes,0.08478,69,551,0.06150,0.10806
2021,Couple with children,East,No,0.91522,482,551,0.89194,0.93850
2021,Multi-generational household,West,No,0.92873,54,54,0.85946,0.99799
2021,Other Combinations,West,No,0.99746,217,217,0.99075,1.00417
2021,Other Combinations,East,No,0.92483,41,41,0.84311,1.00654
