year,hhtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Yes,0.00866,36,3388,0.00554,0.01178
2016,Single-person household,No,0.99134,3352,3388,0.98822,0.99446
2016,Couple without children,Yes,0.02686,105,4097,0.02191,0.03181
2016,Couple without children,No,0.97314,3992,4097,0.96819,0.97809
2016,Single parent,Yes,0.05776,92,1524,0.04605,0.06948
2016,Single parent,No,0.94224,1432,1524,0.93052,0.95395
2016,Couple with children,Yes,0.08563,463,4990,0.07787,0.09339
2016,Couple with children,No,0.91437,4527,4990,0.90661,0.92213
2016,Multi-generational household,No,0.92061,99,99,0.86709,0.97414
2016,Other Combinations,No,0.97987,191,191,0.95990,0.99984
2021,No answer / don't know,No,0.95009,54,54,0.89147,1.00872
2021,Single-person household,No,0.99516,3168,3168,0.99274,0.99757
2021,Couple without children,Yes,0.02043,57,3414,0.01569,0.02518
2021,Couple without children,No,0.97957,3357,3414,0.97482,0.98431
2021,Single parent,Yes,0.06199,49,896,0.04620,0.07779
2021,Single parent,No,0.93801,847,896,0.92221,0.95380
2021,Couple with children,Yes,0.06447,237,3162,0.05591,0.07303
2021,Couple with children,No,0.93553,2925,3162,0.92697,0.94409
2021,Multi-generational household,No,0.93721,69,69,0.87955,0.99487
2021,Other Combinations,No,0.98806,258,258,0.97478,1.00134
