year,hhtyp,quintil_oecd_hh,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,1st Quintile,No,0.98959,979,979,0.98323,0.99595
2016,Single-person household,2nd Quintile,No,0.98550,714,714,0.97672,0.99427
2016,Single-person household,3rd Quintile,No,0.99088,629,629,0.98344,0.99831
2016,Single-person household,4th Quintile,No,0.99647,550,550,0.99151,1.00143
2016,Single-person household,5th Quintile,No,0.99735,476,476,0.99273,1.00197
2016,Couple without children,1st Quintile,No,0.96731,422,422,0.95033,0.98430
2016,Couple without children,2nd Quintile,No,0.96294,681,681,0.94874,0.97713
2016,Couple without children,3rd Quintile,No,0.96715,738,738,0.95428,0.98001
2016,Couple without children,4th Quintile,No,0.98060,912,912,0.97164,0.98955
2016,Couple without children,5th Quintile,No,0.97871,1239,1239,0.97067,0.98675
2016,Single parent,1st Quintile,Yes,0.06529,45,653,0.04633,0.08426
2016,Single parent,1st Quintile,No,0.93471,608,653,0.91574,0.95367
2016,Single parent,2nd Quintile,No,0.94040,384,384,0.91669,0.96411
2016,Single parent,3rd Quintile,No,0.92455,215,215,0.88916,0.95993
2016,Single parent,4th Quintile,No,0.97335,145,145,0.94704,0.99966
2016,Single parent,5th Quintile,No,0.98830,80,80,0.96459,1.01201
2016,Couple with children,1st Quintile,Yes,0.06788,65,926,0.05167,0.08408
2016,Couple with children,1st Quintile,No,0.93212,861,926,0.91592,0.94833
2016,Couple with children,2nd Quintile,Yes,0.10207,119,1112,0.08427,0.11987
2016,Couple with children,2nd Quintile,No,0.89793,993,1112,0.88013,0.91573
2016,Couple with children,3rd Quintile,Yes,0.10278,118,1057,0.08447,0.12110
2016,Couple with children,3rd Quintile,No,0.89722,939,1057,0.87890,0.91553
2016,Couple with children,4th Quintile,Yes,0.08286,93,993,0.06571,0.10002
2016,Couple with children,4th Quintile,No,0.91714,900,993,0.89998,0.93429
2016,Couple with children,5th Quintile,Yes,0.06609,68,901,0.04986,0.08232
2016,Couple with children,5th Quintile,No,0.93391,833,901,0.91768,0.95014
2016,Multi-generational household,1st Quintile,No,0.92252,32,32,0.82840,1.01663
2016,Multi-generational household,2nd Quintile,No,0.98847,34,34,0.95204,1.02490
2016,Other Combinations,2nd Quintile,No,0.96694,46,46,0.91470,1.01918
2016,Other Combinations,3rd Quintile,No,0.99343,38,38,0.96739,1.01947
2021,Single-person household,1st Quintile,No,0.99620,931,931,0.99225,1.00016
2021,Single-person household,2nd Quintile,No,0.98706,618,618,0.97814,0.99598
2021,Single-person household,3rd Quintile,No,0.99627,552,552,0.99118,1.00136
2021,Single-person household,4th Quintile,No,0.99825,511,511,0.99463,1.00188
2021,Single-person household,5th Quintile,No,0.99917,540,540,0.99674,1.00160
2021,Couple without children,1st Quintile,No,0.98865,334,334,0.97727,1.00003
2021,Couple without children,2nd Quintile,No,0.96444,546,546,0.94889,0.97999
2021,Couple without children,3rd Quintile,No,0.97446,553,553,0.96130,0.98762
2021,Couple without children,4th Quintile,No,0.98099,687,687,0.97077,0.99121
2021,Couple without children,5th Quintile,No,0.98723,1235,1235,0.98097,0.99350
2021,Single parent,1st Quintile,No,0.91148,256,256,0.87661,0.94634
2021,Single parent,2nd Quintile,No,0.92530,262,262,0.89341,0.95720
2021,Single parent,3rd Quintile,No,0.95547,133,133,0.92029,0.99066
2021,Single parent,4th Quintile,No,0.98485,119,119,0.96282,1.00689
2021,Single parent,5th Quintile,No,0.99694,76,76,0.98443,1.00944
2021,Couple with children,1st Quintile,No,0.96689,381,381,0.94890,0.98488
2021,Couple with children,2nd Quintile,Yes,0.05930,47,631,0.04086,0.07774
2021,Couple with children,2nd Quintile,No,0.94070,584,631,0.92226,0.95914
2021,Couple with children,3rd Quintile,Yes,0.07017,58,688,0.05107,0.08927
2021,Couple with children,3rd Quintile,No,0.92983,630,688,0.91073,0.94893
2021,Couple with children,4th Quintile,Yes,0.09274,58,669,0.07074,0.11473
2021,Couple with children,4th Quintile,No,0.90726,611,669,0.88527,0.92926
2021,Couple with children,5th Quintile,Yes,0.04655,50,769,0.03165,0.06145
2021,Couple with children,5th Quintile,No,0.95345,719,769,0.93855,0.96835
2021,Other Combinations,1st Quintile,No,0.96430,52,52,0.91338,1.01522
2021,Other Combinations,2nd Quintile,No,0.98277,53,53,0.94741,1.01814
2021,Other Combinations,4th Quintile,No,0.99452,50,50,0.97386,1.01519
