year,regtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Yes,0.02682,392,9377,0.02355,0.03009
2016,Urban regions,No,0.97318,8985,9377,0.96991,0.97645
2016,Rural regions,Yes,0.04995,317,4925,0.04386,0.05603
2016,Rural regions,No,0.95005,4608,4925,0.94397,0.95614
2021,Urban regions,Yes,0.02045,184,7409,0.01722,0.02367
2021,Urban regions,No,0.97955,7225,7409,0.97633,0.98278
2021,Rural regions,Yes,0.03551,194,3646,0.02950,0.04151
2021,Rural regions,No,0.96449,3452,3646,0.95849,0.97050
