year,rentown,sampreg,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Owner,West,Yes,0.03416,305,5146,0.02920,0.03913
2016,Owner,West,No,0.96584,4841,5146,0.96087,0.97080
2016,Owner,East,Yes,0.11719,137,1156,0.09864,0.13574
2016,Owner,East,No,0.88281,1019,1156,0.86426,0.90136
2016,Tenant,West,Yes,0.02202,189,6081,0.01833,0.02571
2016,Tenant,West,No,0.97798,5892,6081,0.97429,0.98167
2016,Tenant,East,Yes,0.03130,78,1918,0.02351,0.03910
2016,Tenant,East,No,0.96870,1840,1918,0.96090,0.97649
2021,Owner,West,Yes,0.02950,171,4127,0.02434,0.03467
2021,Owner,West,No,0.97050,3956,4127,0.96533,0.97566
2021,Owner,East,Yes,0.08069,90,953,0.06339,0.09799
2021,Owner,East,No,0.91931,863,953,0.90201,0.93661
2021,Tenant,West,Yes,0.01442,78,4534,0.01095,0.01789
2021,Tenant,West,No,0.98558,4456,4534,0.98211,0.98905
2021,Tenant,East,Yes,0.01699,39,1437,0.01030,0.02367
2021,Tenant,East,No,0.98301,1398,1437,0.97633,0.98970
