year,regtyp,rentown,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,Owner,Yes,0.03161,212,3771,0.02603,0.03720
2016,Urban regions,Owner,No,0.96839,3559,3771,0.96280,0.97397
2016,Urban regions,Tenant,Yes,0.02316,180,5605,0.01922,0.02709
2016,Urban regions,Tenant,No,0.97684,5425,5605,0.97291,0.98078
2016,Rural regions,Owner,Yes,0.07145,230,2531,0.06141,0.08148
2016,Rural regions,Owner,No,0.92855,2301,2531,0.91852,0.93859
2016,Rural regions,Tenant,Yes,0.02616,87,2394,0.01976,0.03255
2016,Rural regions,Tenant,No,0.97384,2307,2394,0.96745,0.98024
2021,Urban regions,Owner,Yes,0.02936,114,3126,0.02344,0.03528
2021,Urban regions,Owner,No,0.97064,3012,3126,0.96472,0.97656
2021,Urban regions,Tenant,Yes,0.01328,70,4279,0.00985,0.01671
2021,Urban regions,Tenant,No,0.98672,4209,4279,0.98329,0.99015
2021,Rural regions,Owner,Yes,0.05024,147,1954,0.04055,0.05993
2021,Rural regions,Owner,No,0.94976,1807,1954,0.94007,0.95945
2021,Rural regions,Tenant,Yes,0.01918,47,1691,0.01264,0.02572
2021,Rural regions,Tenant,No,0.98082,1644,1691,0.97428,0.98736
