year,sampreg,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,West,Yes,0.02789,494,11228,0.02485,0.03094
2016,West,No,0.97211,10734,11228,0.96906,0.97515
2016,East,Yes,0.06260,215,3074,0.05403,0.07116
2016,East,No,0.93740,2859,3074,0.92884,0.94597
2021,West,Yes,0.02180,249,8665,0.01872,0.02487
2021,West,No,0.97820,8416,8665,0.97513,0.98128
2021,East,Yes,0.04127,129,2391,0.03330,0.04925
2021,East,No,0.95873,2262,2391,0.95075,0.96670
