year,bula_h,hhtyp,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Schleswig-Holstein,Couple without children,No,0.98614,129,129,0.96588,1.00639
2016,Schleswig-Holstein,Single parent,No,0.98487,57,57,0.95290,1.01684
2016,Schleswig-Holstein,Couple with children,No,0.92886,159,159,0.88878,0.96895
2016,Hamburg,Couple with children,No,0.98159,88,88,0.95334,1.00984
2016,Lower Saxony,Single-person household,No,0.99108,284,284,0.98012,1.00203
2016,Lower Saxony,Couple without children,No,0.98852,387,387,0.97789,0.99915
2016,Lower Saxony,Single parent,No,0.98574,149,149,0.96663,1.00484
2016,Lower Saxony,Couple with children,Yes,0.07834,45,478,0.05422,0.10245
2016,Lower Saxony,Couple with children,No,0.92166,433,478,0.89755,0.94578
2016,Bremen,Couple with children,No,0.98033,34,34,0.93295,1.02771
2016,North Rhine-Westphalia,Single-person household,No,0.99554,605,605,0.99022,1.00085
2016,North Rhine-Westphalia,Couple without children,No,0.98143,774,774,0.97191,0.99095
2016,North Rhine-Westphalia,Single parent,No,0.94332,293,293,0.91680,0.96984
2016,North Rhine-Westphalia,Couple with children,Yes,0.06298,81,1139,0.04886,0.07709
2016,North Rhine-Westphalia,Couple with children,No,0.93702,1058,1139,0.92291,0.95114
2016,Hesse,Couple without children,No,0.96789,271,271,0.94686,0.98892
2016,Hesse,Single parent,No,0.96223,102,102,0.92504,0.99941
2016,Hesse,Couple with children,No,0.92152,320,320,0.89200,0.95103
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98593,234,234,0.97080,1.00105
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.91904,74,74,0.85646,0.98161
2016,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.12357,34,296,0.08601,0.16112
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.87643,262,296,0.83888,0.91399
2016,Baden-Wuerttemberg,Single-person household,No,0.98774,342,342,0.97607,0.99942
2016,Baden-Wuerttemberg,Couple without children,No,0.97638,421,421,0.96186,0.99091
2016,Baden-Wuerttemberg,Single parent,No,0.90903,141,141,0.86140,0.95667
2016,Baden-Wuerttemberg,Couple with children,Yes,0.07242,60,670,0.05278,0.09207
2016,Baden-Wuerttemberg,Couple with children,No,0.92758,610,670,0.90793,0.94722
2016,Bavaria,Single-person household,No,0.99812,516,516,0.99439,1.00186
2016,Bavaria,Couple without children,No,0.97864,628,628,0.96733,0.98996
2016,Bavaria,Single parent,No,0.93117,222,222,0.89779,0.96455
2016,Bavaria,Couple with children,Yes,0.08473,85,866,0.06618,0.10329
2016,Bavaria,Couple with children,No,0.91527,781,866,0.89671,0.93382
2016,Berlin,Single-person household,No,0.99423,224,224,0.98429,1.00417
2016,Berlin,Single parent,No,0.96862,66,66,0.92623,1.01100
2016,Berlin,Couple with children,No,0.93649,130,130,0.89441,0.97858
2016,Brandenburg,Single-person household,No,0.96313,129,129,0.93049,0.99578
2016,Brandenburg,Couple without children,No,0.92467,198,198,0.88781,0.96152
2016,Brandenburg,Single parent,No,0.90449,50,50,0.82219,0.98679
2016,Brandenburg,Couple with children,No,0.89129,137,137,0.83898,0.94361
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.95191,103,103,0.91039,0.99343
2016,Mecklenburg-Western Pomerania,Single parent,No,0.97577,38,38,0.92622,1.02532
2016,Mecklenburg-Western Pomerania,Couple with children,No,0.80204,67,67,0.70591,0.89818
2016,Saxony,Single-person household,No,0.95906,221,221,0.93287,0.98524
2016,Saxony,Couple without children,No,0.92778,268,268,0.89673,0.95883
2016,Saxony,Single parent,No,0.87646,82,82,0.80479,0.94812
2016,Saxony,Couple with children,Yes,0.16957,39,247,0.12268,0.21647
2016,Saxony,Couple with children,No,0.83043,208,247,0.78353,0.87732
2016,Saxony-Anhalt,Single-person household,No,0.97580,144,144,0.95061,1.00099
2016,Saxony-Anhalt,Couple without children,No,0.89184,147,147,0.84146,0.94222
2016,Saxony-Anhalt,Single parent,No,0.97818,65,65,0.94238,1.01397
2016,Saxony-Anhalt,Couple with children,No,0.84628,119,119,0.78120,0.91135
2016,Thuringa,Single-person household,No,0.97631,147,147,0.95165,1.00098
2016,Thuringa,Couple without children,No,0.95962,174,174,0.93028,0.98895
2016,Thuringa,Single parent,No,0.89955,45,45,0.81072,0.98837
2016,Thuringa,Couple with children,No,0.82865,121,121,0.76123,0.89607
2021,Schleswig-Holstein,Couple without children,No,0.97621,124,124,0.94927,1.00314
2021,Schleswig-Holstein,Single parent,No,0.94883,31,31,0.86998,1.02768
2021,Schleswig-Holstein,Couple with children,No,0.97153,147,147,0.94456,0.99851
2021,Hamburg,Couple with children,No,0.98481,62,62,0.95411,1.01550
2021,Lower Saxony,Single-person household,No,0.99262,289,289,0.98273,1.00250
2021,Lower Saxony,Couple without children,No,0.97385,324,324,0.95644,0.99125
2021,Lower Saxony,Single parent,No,0.94902,89,89,0.90306,0.99498
2021,Lower Saxony,Couple with children,No,0.95641,295,295,0.93307,0.97975
2021,North Rhine-Westphalia,Single-person household,No,0.99796,628,628,0.99442,1.00149
2021,North Rhine-Westphalia,Couple without children,No,0.99179,674,674,0.98498,0.99861
2021,North Rhine-Westphalia,Single parent,No,0.99193,158,158,0.97793,1.00592
2021,North Rhine-Westphalia,Couple with children,Yes,0.05507,37,714,0.03832,0.07181
