year,pet_rabbit,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Yes,0.03413,709,14302,0.03116,0.03711
2016,No,0.96587,13593,14302,0.96289,0.96884
2021,Yes,0.02518,378,11056,0.02226,0.02810
2021,No,0.97482,10678,11056,0.97190,0.97774
