year,bula_h,quintil_oecd_hh,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,4th Quintile,Yes,0.72874,31,31,0.56964,0.88784
1984,Schleswig-Holstein,5th Quintile,Yes,0.88838,37,37,0.78551,0.99124
1984,Lower Saxony,1st Quintile,Yes,0.42145,68,138,0.33876,0.50414
1984,Lower Saxony,1st Quintile,No,0.56035,70,138,0.47724,0.64347
1984,Lower Saxony,2nd Quintile,Yes,0.63347,73,115,0.54502,0.72193
1984,Lower Saxony,2nd Quintile,No,0.35844,42,115,0.27041,0.44647
1984,Lower Saxony,3rd Quintile,Yes,0.69796,74,112,0.61254,0.78338
1984,Lower Saxony,3rd Quintile,No,0.30204,38,112,0.21662,0.38746
1984,Lower Saxony,4th Quintile,Yes,0.69663,77,121,0.61438,0.77888
1984,Lower Saxony,4th Quintile,No,0.30337,44,121,0.22112,0.38562
1984,Lower Saxony,5th Quintile,Yes,0.72977,69,69,0.62421,0.83532
1984,North Rhine-Westphalia,1st Quintile,Yes,0.45639,155,380,0.40624,0.50653
1984,North Rhine-Westphalia,1st Quintile,No,0.52743,225,380,0.47717,0.57770
1984,North Rhine-Westphalia,2nd Quintile,Yes,0.53511,161,316,0.48003,0.59019
1984,North Rhine-Westphalia,2nd Quintile,No,0.44267,155,316,0.38782,0.49752
1984,North Rhine-Westphalia,3rd Quintile,Yes,0.61825,166,286,0.56185,0.67465
1984,North Rhine-Westphalia,3rd Quintile,No,0.36853,120,286,0.31252,0.42454
1984,North Rhine-Westphalia,4th Quintile,Yes,0.64796,184,302,0.59401,0.70192
1984,North Rhine-Westphalia,4th Quintile,No,0.33830,118,302,0.28485,0.39175
1984,North Rhine-Westphalia,5th Quintile,Yes,0.77598,210,278,0.72688,0.82508
1984,North Rhine-Westphalia,5th Quintile,No,0.21493,68,278,0.16655,0.26330
1984,Hesse,1st Quintile,Yes,0.33340,43,123,0.24975,0.41706
1984,Hesse,1st Quintile,No,0.61038,80,123,0.52385,0.69692
1984,Hesse,2nd Quintile,Yes,0.45832,52,112,0.36562,0.55101
1984,Hesse,2nd Quintile,No,0.52807,60,112,0.43520,0.62094
1984,Hesse,3rd Quintile,Yes,0.65972,60,92,0.56237,0.75707
1984,Hesse,3rd Quintile,No,0.31988,32,92,0.22404,0.41571
1984,Hesse,4th Quintile,Yes,0.72925,76,121,0.64975,0.80875
1984,Hesse,4th Quintile,No,0.27075,45,121,0.19125,0.35025
1984,Hesse,5th Quintile,Yes,0.73832,89,122,0.66000,0.81664
1984,Hesse,5th Quintile,No,0.23021,33,122,0.15520,0.30522
1984,"Rhineland-Palatinate, Saarland",1st Quintile,Yes,0.42689,35,80,0.31781,0.53596
1984,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.53325,45,80,0.42323,0.64326
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,Yes,0.58007,54,97,0.48134,0.67880
1984,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.37229,43,97,0.27559,0.46900
1984,"Rhineland-Palatinate, Saarland",3rd Quintile,Yes,0.69424,55,55,0.57136,0.81713
1984,"Rhineland-Palatinate, Saarland",4th Quintile,Yes,0.70100,50,50,0.57281,0.82919
1984,"Rhineland-Palatinate, Saarland",5th Quintile,Yes,0.73002,40,40,0.59069,0.86935
1984,Baden-Wuerttemberg,1st Quintile,Yes,0.46938,77,182,0.39667,0.54208
1984,Baden-Wuerttemberg,1st Quintile,No,0.50800,105,182,0.43516,0.58083
1984,Baden-Wuerttemberg,2nd Quintile,Yes,0.60666,120,220,0.54197,0.67136
1984,Baden-Wuerttemberg,2nd Quintile,No,0.37834,100,220,0.31411,0.44257
1984,Baden-Wuerttemberg,3rd Quintile,Yes,0.66952,128,221,0.60736,0.73167
1984,Baden-Wuerttemberg,3rd Quintile,No,0.31377,93,221,0.25245,0.37508
1984,Baden-Wuerttemberg,4th Quintile,Yes,0.76703,152,223,0.71142,0.82263
1984,Baden-Wuerttemberg,4th Quintile,No,0.21424,71,223,0.16027,0.26822
1984,Baden-Wuerttemberg,5th Quintile,Yes,0.76762,137,190,0.70741,0.82783
1984,Baden-Wuerttemberg,5th Quintile,No,0.20871,53,190,0.15077,0.26665
1984,Bavaria,1st Quintile,Yes,0.49103,82,169,0.41543,0.56662
1984,Bavaria,1st Quintile,No,0.47543,87,169,0.39992,0.55095
1984,Bavaria,2nd Quintile,Yes,0.67062,129,196,0.60465,0.73659
1984,Bavaria,2nd Quintile,No,0.30150,67,196,0.23709,0.36591
1984,Bavaria,3rd Quintile,Yes,0.67926,137,205,0.61521,0.74331
1984,Bavaria,3rd Quintile,No,0.27946,68,205,0.21789,0.34104
1984,Bavaria,4th Quintile,Yes,0.82408,155,197,0.77077,0.87738
1984,Bavaria,4th Quintile,No,0.15577,42,197,0.10500,0.20654
1984,Bavaria,5th Quintile,Yes,0.84350,156,156,0.78630,0.90070
1984,Berlin,3rd Quintile,Yes,0.73394,45,45,0.60337,0.86451
1984,Berlin,4th Quintile,Yes,0.81668,35,35,0.68662,0.94674
1984,Berlin,5th Quintile,Yes,0.91187,46,46,0.82904,0.99470
1985,Lower Saxony,1st Quintile,Yes,0.39569,51,114,0.30553,0.48585
1985,Lower Saxony,1st Quintile,No,0.59657,63,114,0.50612,0.68703
1985,Lower Saxony,2nd Quintile,Yes,0.62907,58,93,0.53036,0.72777
1985,Lower Saxony,2nd Quintile,No,0.37093,35,93,0.27223,0.46964
1985,Lower Saxony,3rd Quintile,Yes,0.70927,80,113,0.62517,0.79337
1985,Lower Saxony,3rd Quintile,No,0.26634,33,113,0.18447,0.34821
1985,Lower Saxony,4th Quintile,Yes,0.67727,55,88,0.57902,0.77551
1985,Lower Saxony,4th Quintile,No,0.32273,33,88,0.22449,0.42098
1985,Lower Saxony,5th Quintile,Yes,0.72763,80,80,0.62946,0.82580
1985,North Rhine-Westphalia,1st Quintile,Yes,0.46273,129,318,0.40784,0.51762
1985,North Rhine-Westphalia,1st Quintile,No,0.52247,189,318,0.46749,0.57746
1985,North Rhine-Westphalia,2nd Quintile,Yes,0.52944,161,305,0.47333,0.58555
1985,North Rhine-Westphalia,2nd Quintile,No,0.44302,144,305,0.38718,0.49886
1985,North Rhine-Westphalia,3rd Quintile,Yes,0.61926,150,253,0.55931,0.67921
1985,North Rhine-Westphalia,3rd Quintile,No,0.37061,103,253,0.31098,0.43024
1985,North Rhine-Westphalia,4th Quintile,Yes,0.66483,181,276,0.60904,0.72062
1985,North Rhine-Westphalia,4th Quintile,No,0.32470,95,276,0.26936,0.38005
1985,North Rhine-Westphalia,5th Quintile,Yes,0.76250,191,254,0.71006,0.81494
