year,quintil_oecd_hh,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,West,Yes,0.46365,530,1179,0.43517,0.49213
1984,1st Quintile,West,No,0.51234,649,1179,0.48380,0.54088
1984,2nd Quintile,West,Yes,0.60153,669,1176,0.57354,0.62953
1984,2nd Quintile,West,No,0.37752,507,1176,0.34980,0.40523
1984,3rd Quintile,West,Yes,0.66804,730,1153,0.64085,0.69524
1984,3rd Quintile,West,No,0.31508,423,1153,0.28826,0.34191
1984,4th Quintile,West,Yes,0.72905,793,1171,0.70359,0.75452
1984,4th Quintile,West,No,0.25885,378,1171,0.23376,0.28395
1984,5th Quintile,West,Yes,0.79060,817,1057,0.76606,0.81514
1984,5th Quintile,West,No,0.19151,240,1057,0.16778,0.21524
1985,1st Quintile,West,Yes,0.46625,474,1059,0.43619,0.49631
1985,1st Quintile,West,No,0.51814,585,1059,0.48803,0.54825
1985,2nd Quintile,West,Yes,0.58647,609,1042,0.55656,0.61639
1985,2nd Quintile,West,No,0.38120,433,1042,0.35170,0.41071
1985,3rd Quintile,West,Yes,0.68489,692,1063,0.65694,0.71283
1985,3rd Quintile,West,No,0.29825,371,1063,0.27073,0.32576
1985,4th Quintile,West,Yes,0.73732,722,1032,0.71046,0.76419
1985,4th Quintile,West,No,0.24501,310,1032,0.21876,0.27126
1985,5th Quintile,West,Yes,0.78245,749,962,0.75637,0.80854
1985,5th Quintile,West,No,0.19917,213,962,0.17392,0.22442
1986,1st Quintile,West,Yes,0.47781,454,966,0.44629,0.50932
1986,1st Quintile,West,No,0.49525,512,966,0.46371,0.52680
1986,2nd Quintile,West,Yes,0.63068,617,1007,0.60086,0.66050
1986,2nd Quintile,West,No,0.34238,390,1007,0.31306,0.37170
1986,3rd Quintile,West,Yes,0.66800,650,1012,0.63897,0.69703
1986,3rd Quintile,West,No,0.31419,362,1012,0.28558,0.34281
1986,4th Quintile,West,Yes,0.70784,677,999,0.67962,0.73605
1986,4th Quintile,West,No,0.26854,322,999,0.24104,0.29604
1986,5th Quintile,West,Yes,0.81196,755,935,0.78690,0.83702
1986,5th Quintile,West,No,0.16703,180,935,0.14311,0.19096
1987,1st Quintile,West,Yes,0.49132,454,923,0.45905,0.52359
1987,1st Quintile,West,No,0.48064,469,923,0.44839,0.51289
1987,2nd Quintile,West,Yes,0.61021,587,988,0.57978,0.64064
1987,2nd Quintile,West,No,0.36507,401,988,0.33503,0.39510
1987,3rd Quintile,West,Yes,0.65567,643,1005,0.62628,0.68506
1987,3rd Quintile,West,No,0.31540,362,1005,0.28666,0.34414
1987,4th Quintile,West,Yes,0.76154,721,1006,0.73519,0.78789
1987,4th Quintile,West,No,0.22318,285,1006,0.19743,0.24892
1987,5th Quintile,West,Yes,0.79330,739,938,0.76737,0.81923
1987,5th Quintile,West,No,0.19387,199,938,0.16856,0.21919
1988,1st Quintile,West,Yes,0.51093,465,904,0.47832,0.54353
1988,1st Quintile,West,No,0.44189,439,904,0.40949,0.47428
1988,2nd Quintile,West,Yes,0.64270,575,947,0.61216,0.67323
1988,2nd Quintile,West,No,0.33538,372,947,0.30529,0.36546
1988,3rd Quintile,West,Yes,0.68847,641,962,0.65919,0.71775
1988,3rd Quintile,West,No,0.28804,321,962,0.25940,0.31667
1988,4th Quintile,West,Yes,0.71524,667,965,0.68675,0.74373
1988,4th Quintile,West,No,0.26675,298,965,0.23883,0.29467
1988,5th Quintile,West,Yes,0.80144,700,880,0.77507,0.82781
1988,5th Quintile,West,No,0.18985,180,880,0.16392,0.21577
1989,1st Quintile,West,Yes,0.51066,443,881,0.47763,0.54369
1989,1st Quintile,West,No,0.44900,438,881,0.41613,0.48186
1989,2nd Quintile,West,Yes,0.64566,587,953,0.61527,0.67604
1989,2nd Quintile,West,No,0.32315,366,953,0.29344,0.35286
1989,3rd Quintile,West,Yes,0.68946,627,934,0.65977,0.71915
1989,3rd Quintile,West,No,0.28868,307,934,0.25960,0.31775
1989,4th Quintile,West,Yes,0.71837,646,932,0.68947,0.74726
1989,4th Quintile,West,No,0.26356,286,932,0.23526,0.29186
1989,5th Quintile,West,Yes,0.79670,673,837,0.76942,0.82399
1989,5th Quintile,West,No,0.18824,164,837,0.16174,0.21474
1990,1st Quintile,East,Yes,0.37233,893,893,0.34061,0.40406
1990,2nd Quintile,West,Yes,0.53589,579,1123,0.50671,0.56507
1990,2nd Quintile,West,No,0.42553,544,1123,0.39660,0.45446
1990,3rd Quintile,West,Yes,0.68370,744,1142,0.65672,0.71068
1990,3rd Quintile,West,No,0.29072,398,1142,0.26437,0.31707
1990,4th Quintile,West,Yes,0.69972,769,1122,0.67288,0.72655
1990,4th Quintile,West,No,0.27403,353,1122,0.24792,0.30014
1990,5th Quintile,West,Yes,0.78932,833,1047,0.76461,0.81403
1990,5th Quintile,West,No,0.19103,214,1047,0.16720,0.21485
1991,1st Quintile,West,Yes,0.58101,36,36,0.41755,0.74447
