year,rentown,sampreg,hgeqpter,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Owner,West,Yes,0.75324,1545,1968,0.73419,0.77229
1984,Owner,West,No,0.22705,423,1968,0.20854,0.24556
1984,Tenant,West,Yes,0.57950,2001,3789,0.56378,0.59522
1984,Tenant,West,No,0.40319,1788,3789,0.38756,0.41881
1985,Owner,West,Yes,0.75088,1436,1827,0.73104,0.77072
1985,Owner,West,No,0.22840,391,1827,0.20915,0.24766
1985,Tenant,West,Yes,0.58443,1812,3338,0.56771,0.60115
1985,Tenant,West,No,0.39581,1526,3338,0.37922,0.41240
1986,Owner,West,Yes,0.76057,1424,1796,0.74083,0.78032
1986,Owner,West,No,0.21637,372,1796,0.19732,0.23542
1986,Tenant,West,Yes,0.59258,1730,3124,0.57535,0.60981
1986,Tenant,West,No,0.38404,1394,3124,0.36698,0.40109
1987,Owner,West,Yes,0.75957,1412,1794,0.73979,0.77935
1987,Owner,West,No,0.21888,382,1794,0.19974,0.23802
1987,Tenant,West,Yes,0.59897,1732,3067,0.58162,0.61632
1987,Tenant,West,No,0.37849,1335,3067,0.36132,0.39566
1988,Owner,West,Yes,0.76879,1365,1716,0.74884,0.78874
1988,Owner,West,No,0.20978,351,1716,0.19051,0.22905
1988,Tenant,West,Yes,0.60716,1683,2944,0.58951,0.62480
1988,Tenant,West,No,0.36796,1261,2944,0.35054,0.38539
1989,Owner,West,Yes,0.77274,1344,1682,0.75271,0.79278
1989,Owner,West,No,0.20719,338,1682,0.18782,0.22657
1989,Tenant,West,Yes,0.60466,1631,2853,0.58672,0.62261
1989,Tenant,West,No,0.36648,1222,2853,0.34880,0.38416
1990,Owner,West,Yes,0.77882,1364,1709,0.75914,0.79850
1990,Owner,West,No,0.20312,345,1709,0.18404,0.22220
1990,Owner,East,Yes,0.33349,247,247,0.27457,0.39240
1990,Tenant,West,Yes,0.60388,1578,2765,0.58565,0.62212
1990,Tenant,West,No,0.36341,1187,2765,0.34548,0.38134
1990,Tenant,East,Yes,0.38578,644,644,0.34816,0.42341
1991,Owner,West,Yes,0.83639,1473,1751,0.81906,0.85372
1991,Owner,West,No,0.16260,278,1751,0.14531,0.17989
1991,Owner,East,Yes,0.34646,234,572,0.30743,0.38549
1991,Owner,East,No,0.63106,338,572,0.59148,0.67064
1991,Tenant,West,Yes,0.60462,1619,2866,0.58671,0.62252
1991,Tenant,West,No,0.38310,1247,2866,0.36530,0.40090
1991,Tenant,East,Yes,0.40122,603,1367,0.37523,0.42722
1991,Tenant,East,No,0.56924,764,1367,0.54298,0.59550
1992,Owner,West,Yes,0.83803,1486,1762,0.82083,0.85524
1992,Owner,West,No,0.15894,276,1762,0.14186,0.17602
1992,Owner,East,Yes,0.34819,223,543,0.30808,0.38830
1992,Owner,East,No,0.60880,320,543,0.56772,0.64989
1992,Tenant,West,Yes,0.61013,1624,2820,0.59213,0.62814
1992,Tenant,West,No,0.36451,1196,2820,0.34675,0.38228
1992,Tenant,East,Yes,0.42283,612,1307,0.39603,0.44962
1992,Tenant,East,No,0.50726,695,1307,0.48014,0.53437
1993,Owner,West,Yes,0.83348,1479,1751,0.81603,0.85094
1993,Owner,West,No,0.15431,272,1751,0.13739,0.17124
1993,Owner,East,Yes,0.35286,217,534,0.31229,0.39343
1993,Owner,East,No,0.61701,317,534,0.57574,0.65828
1993,Tenant,West,Yes,0.59896,1630,2823,0.58088,0.61705
1993,Tenant,West,No,0.36010,1193,2823,0.34239,0.37781
1993,Tenant,East,Yes,0.42435,592,1252,0.39696,0.45174
1993,Tenant,East,No,0.49192,660,1252,0.46421,0.51962
1994,Owner,West,Yes,0.83485,1481,1753,0.81746,0.85224
1994,Owner,West,No,0.15172,272,1753,0.13492,0.16852
1994,Owner,East,Yes,0.35973,225,539,0.31918,0.40029
1994,Owner,East,No,0.60706,314,539,0.56579,0.64834
1994,Tenant,West,Yes,0.59844,1631,2750,0.58012,0.61677
1994,Tenant,West,No,0.35209,1119,2750,0.33423,0.36994
