"year","age_gr","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","17-29","(Fach-)Abitur","5.04","4.83","893","3.67","4.33","6","6.33","7","4.96","5.12","1","7","5","5.33333349227905"
"2005","17-29","(noch) kein Abschluss","5.04","4.83","677","3.33","4.33","6","6.67","7","4.95","5.13","1","7","5","5"
"2005","17-29","AkademikerIn","4.9","4.83","207","3","4","5.67","6.33","7","4.74","5.06","2","7","5","5.33333349227905"
"2005","17-29","Hauptschule","4.9","4.83","650","3.33","4.33","5.67","6.33","7","4.81","4.99","1","7","5","5"
"2005","17-29","Realschule","5.08","4.83","1079","3.33","4.33","6","6.67","7","5.01","5.15","1","7","5","5.33333349227905"
"2005","30-45","(Fach-)Abitur","4.92","4.83","797","3.67","4","5.67","6.33","7","4.84","5","1.67","7","5","5"
"2005","30-45","(noch) kein Abschluss","4.46","4.5","62","3","3.67","5","6","7","4.11","4.81","1","7","4","5"
"2005","30-45","AkademikerIn","4.87","4.83","1381","3.33","4","5.67","6.33","7","4.81","4.93","1.33","7","5","5"
"2005","30-45","Hauptschule","4.79","4.5","1628","3.33","4","5.67","6.33","7","4.73","4.85","1","7","4.66666650772095","5"
"2005","30-45","Realschule","4.95","4.83","2172","3.67","4.33","5.67","6.33","7","4.9","5","1.33","7","5","5"
"2005","46-65","(Fach-)Abitur","4.7","4.58","438","3","4","5.33","6","7","4.6","4.8","1","7","4.66666650772095","5"
"2005","46-65","(noch) kein Abschluss","4.42","4.17","96","2.67","3.33","5","6","7","4.16","4.68","1.33","7","4","4.66666650772095"
"2005","46-65","AkademikerIn","4.8","4.58","1913","3.33","4","5.67","6.33","7","4.75","4.85","1","7","4.66666650772095","5"
"2005","46-65","Hauptschule","4.72","4.58","2849","3.33","4","5.67","6.33","7","4.68","4.76","1","7","4.66666650772095","4.66666650772095"
"2005","46-65","Realschule","4.8","4.83","1685","3.33","4","5.67","6","7","4.75","4.85","1","7","4.66666650772095","5"
"2005","66","(Fach-)Abitur","4.82","4.58","163","3.67","4.33","5.33","6","7","4.66","4.98","1.67","7","4.66666650772095","5"
"2005","66","(noch) kein Abschluss","4.31","3.83","65","3","3.33","5","6.33","7","3.97","4.65","1.33","7","3.66666674613953","4"
"2005","66","AkademikerIn","4.75","4.5","659","3.33","4","5.67","6.33","7","4.66","4.84","1","7","4.66666650772095","5"
"2005","66","Hauptschule","4.59","4.58","2405","3","4","5.33","6.33","7","4.54","4.64","1","7","4.66666650772095","4.66666650772095"
"2005","66","Realschule","4.61","4.5","438","3.33","4","5.33","6","7","4.51","4.71","1","7","4.66666650772095","5"
"2006","17-29","(Fach-)Abitur","","","","","","","","","","","","","",""
"2006","17-29","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2006","17-29","AkademikerIn","","","","","","","","","","","","","",""
"2006","17-29","Hauptschule","","","","","","","","","","","","","",""
"2006","17-29","Realschule","","","","","","","","","","","","","",""
"2006","30-45","(Fach-)Abitur","","","","","","","","","","","","","",""
"2006","30-45","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2006","30-45","AkademikerIn","","","","","","","","","","","","","",""
"2006","30-45","Hauptschule","","","","","","","","","","","","","",""
"2006","30-45","Realschule","","","","","","","","","","","","","",""
"2006","46-65","(Fach-)Abitur","","","","","","","","","","","","","",""
