year,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Yes,0.06527,448,6292,0.05917,0.07137
1995,No,0.93473,5844,6292,0.92863,0.94083
1996,Yes,0.05505,386,6206,0.04938,0.06073
1996,No,0.94495,5820,6206,0.93927,0.95062
1997,Yes,0.05013,333,6108,0.04465,0.05560
1997,No,0.94987,5775,6108,0.94440,0.95535
1998,Yes,0.05559,413,7101,0.05026,0.06092
1998,No,0.94441,6688,7101,0.93908,0.94974
1999,Yes,0.04788,383,7143,0.04293,0.05283
1999,No,0.95212,6760,7143,0.94717,0.95707
2000,Yes,0.04125,568,12950,0.03783,0.04468
2000,No,0.95875,12382,12950,0.95532,0.96217
2001,Yes,0.03450,434,11680,0.03119,0.03781
2001,No,0.96550,11246,11680,0.96219,0.96881
2002,Yes,0.03729,413,12212,0.03393,0.04065
2002,No,0.96271,11799,12212,0.95935,0.96607
2003,Yes,0.04244,455,11804,0.03880,0.04608
2003,No,0.95756,11349,11804,0.95392,0.96120
2004,Yes,0.04793,472,11543,0.04403,0.05183
2004,No,0.95207,11071,11543,0.94817,0.95597
2005,Yes,0.03369,356,11199,0.03035,0.03703
2005,No,0.96631,10843,11199,0.96297,0.96965
2006,Yes,0.03195,349,12265,0.02884,0.03506
2006,No,0.96805,11916,12265,0.96494,0.97116
2007,Yes,0.03019,296,11453,0.02706,0.03332
2007,No,0.96981,11157,11453,0.96668,0.97294
2008,Yes,0.02672,262,10822,0.02368,0.02976
2008,No,0.97328,10560,10822,0.97024,0.97632
2009,Yes,0.02551,246,10177,0.02244,0.02857
2009,No,0.97449,9931,10177,0.97143,0.97756
2010,Yes,0.02748,613,13397,0.02471,0.03025
2010,No,0.97252,12784,13397,0.96975,0.97529
2011,Yes,0.02571,730,16227,0.02327,0.02814
2011,No,0.97429,15497,16227,0.97186,0.97673
2012,Yes,0.02225,581,15954,0.01996,0.02454
2012,No,0.97775,15373,15954,0.97546,0.98004
2013,Yes,0.02109,608,17515,0.01896,0.02322
2013,No,0.97891,16907,17515,0.97678,0.98104
2014,Yes,0.01789,409,15603,0.01581,0.01997
2014,No,0.98211,15194,15603,0.98003,0.98419
2015,Yes,0.01660,349,14066,0.01449,0.01871
2015,No,0.98340,13717,14066,0.98129,0.98551
2016,Yes,0.01590,498,16130,0.01396,0.01783
2016,No,0.98410,15632,16130,0.98217,0.98604
2017,Yes,0.01563,586,18061,0.01382,0.01744
2017,No,0.98437,17475,18061,0.98256,0.98618
2018,Yes,0.01681,724,17688,0.01492,0.01871
2018,No,0.98319,16964,17688,0.98129,0.98508
2019,Yes,0.01715,461,18291,0.01527,0.01904
2019,No,0.98285,17830,18291,0.98096,0.98473
2020,Yes,0.01444,518,19022,0.01274,0.01613
2020,No,0.98556,18504,19022,0.98387,0.98726
2021,Yes,0.01758,411,12467,0.01527,0.01989
2021,No,0.98242,12056,12467,0.98011,0.98473
2022,Yes,0.01893,465,20156,0.01705,0.02082
2022,No,0.98107,19691,20156,0.97918,0.98295
