year,bula_h,rentown,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Schleswig-Holstein,Owner,No,0.96817,61,61,0.92376,1.01259
1995,Schleswig-Holstein,Tenant,No,0.82993,63,63,0.73642,0.92345
1995,Hamburg,Tenant,No,0.90508,61,61,0.83091,0.97924
1995,Lower Saxony,Owner,No,0.98130,219,219,0.96331,0.99928
1995,Lower Saxony,Tenant,Yes,0.14031,34,283,0.09977,0.18085
1995,Lower Saxony,Tenant,No,0.85969,249,283,0.81915,0.90023
1995,Bremen,Tenant,No,0.89358,34,34,0.78836,0.99879
1995,North Rhine-Westphalia,Owner,No,0.99162,403,403,0.98271,1.00053
1995,North Rhine-Westphalia,Tenant,Yes,0.07587,69,817,0.05770,0.09404
1995,North Rhine-Westphalia,Tenant,No,0.92413,748,817,0.90596,0.94230
1995,Hesse,Tenant,No,0.92911,284,284,0.89921,0.95901
1995,"Rhineland-Palatinate, Saarland",Owner,No,0.99607,156,156,0.98623,1.00592
1995,"Rhineland-Palatinate, Saarland",Tenant,No,0.88883,158,158,0.83965,0.93800
1995,Baden-Wuerttemberg,Owner,No,0.99474,318,318,0.98677,1.00270
1995,Baden-Wuerttemberg,Tenant,Yes,0.09714,44,500,0.07115,0.12312
1995,Baden-Wuerttemberg,Tenant,No,0.90286,456,500,0.87688,0.92885
1995,Bavaria,Tenant,No,0.96642,461,461,0.94996,0.98288
1995,Berlin,Tenant,No,0.90570,248,248,0.86926,0.94215
1995,Brandenburg,Owner,No,0.92249,89,89,0.86662,0.97836
1995,Brandenburg,Tenant,No,0.85458,145,145,0.79700,0.91216
1995,Mecklenburg-Western Pomerania,Owner,No,0.95949,49,49,0.90372,1.01526
1995,Mecklenburg-Western Pomerania,Tenant,No,0.80365,120,120,0.73228,0.87502
1995,Saxony,Owner,No,0.90543,113,113,0.85124,0.95963
1995,Saxony,Tenant,Yes,0.13554,42,380,0.10108,0.17000
1995,Saxony,Tenant,No,0.86446,338,380,0.83000,0.89892
1995,Saxony-Anhalt,Owner,No,0.97197,102,102,0.93977,1.00416
1995,Saxony-Anhalt,Tenant,No,0.90760,192,192,0.86653,0.94867
1995,Thuringa,Owner,No,0.96104,118,118,0.92598,0.99610
1995,Thuringa,Tenant,Yes,0.19150,34,172,0.13253,0.25048
1995,Thuringa,Tenant,No,0.80850,138,172,0.74952,0.86747
1996,Schleswig-Holstein,Owner,No,0.96719,66,66,0.92388,1.01050
1996,Schleswig-Holstein,Tenant,No,0.93776,60,60,0.87612,0.99941
1996,Hamburg,Tenant,No,0.92582,58,58,0.85778,0.99385
1996,Lower Saxony,Owner,No,0.99065,215,215,0.97775,1.00354
1996,Lower Saxony,Tenant,No,0.88166,247,247,0.84130,0.92203
1996,Bremen,Tenant,No,0.92566,34,34,0.83616,1.01516
1996,North Rhine-Westphalia,Owner,No,0.98683,397,397,0.97560,0.99806
1996,North Rhine-Westphalia,Tenant,Yes,0.05814,57,828,0.04219,0.07409
1996,North Rhine-Westphalia,Tenant,No,0.94186,771,828,0.92591,0.95781
1996,Hesse,Tenant,No,0.92746,267,267,0.89629,0.95863
1996,"Rhineland-Palatinate, Saarland",Owner,No,0.99112,159,159,0.97649,1.00575
1996,"Rhineland-Palatinate, Saarland",Tenant,No,0.89279,148,148,0.84277,0.94280
1996,Baden-Wuerttemberg,Owner,No,0.99640,316,316,0.98979,1.00301
1996,Baden-Wuerttemberg,Tenant,Yes,0.07812,39,481,0.05411,0.10213
1996,Baden-Wuerttemberg,Tenant,No,0.92188,442,481,0.89787,0.94589
1996,Bavaria,Owner,No,0.99693,322,322,0.99087,1.00298
1996,Bavaria,Tenant,No,0.94187,444,444,0.92008,0.96366
1996,Berlin,Tenant,No,0.94093,243,243,0.91122,0.97063
1996,Brandenburg,Owner,No,0.94087,99,99,0.89417,0.98757
1996,Brandenburg,Tenant,No,0.87968,162,162,0.82943,0.92994
1996,Mecklenburg-Western Pomerania,Owner,No,0.97599,49,49,0.93269,1.01930
1996,Mecklenburg-Western Pomerania,Tenant,No,0.83257,116,116,0.76433,0.90081
1996,Saxony,Owner,No,0.95204,138,138,0.91625,0.98782
1996,Saxony,Tenant,Yes,0.10740,32,364,0.07555,0.13925
1996,Saxony,Tenant,No,0.89260,332,364,0.86075,0.92445
1996,Saxony-Anhalt,Owner,No,0.96848,98,98,0.93371,1.00325
1996,Saxony-Anhalt,Tenant,No,0.91924,176,176,0.87887,0.95961
