year,quintil_oecd_hh,rentown,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,1st Quintile,Owner,No,0.92423,197,197,0.88719,0.96128
1995,1st Quintile,Tenant,Yes,0.29737,310,1082,0.27012,0.32462
1995,1st Quintile,Tenant,No,0.70263,772,1082,0.67538,0.72988
1995,2nd Quintile,Owner,No,0.98238,362,362,0.96881,0.99595
1995,2nd Quintile,Tenant,Yes,0.06804,65,1002,0.05244,0.08364
1995,2nd Quintile,Tenant,No,0.93196,937,1002,0.91636,0.94756
1995,3rd Quintile,Owner,No,0.98760,488,488,0.97777,0.99743
1995,3rd Quintile,Tenant,No,0.97871,814,814,0.96879,0.98863
1995,4th Quintile,Owner,No,0.99593,509,509,0.99039,1.00147
1995,4th Quintile,Tenant,No,0.99363,692,692,0.98769,0.99956
1995,5th Quintile,Owner,No,0.99952,592,592,0.99776,1.00128
1995,5th Quintile,Tenant,No,0.99634,479,479,0.99092,1.00175
1996,1st Quintile,Owner,No,0.93283,188,188,0.89695,0.96871
1996,1st Quintile,Tenant,Yes,0.26758,279,1094,0.24134,0.29383
1996,1st Quintile,Tenant,No,0.73242,815,1094,0.70617,0.75866
1996,2nd Quintile,Owner,No,0.97479,366,366,0.95871,0.99087
1996,2nd Quintile,Tenant,Yes,0.03658,46,931,0.02451,0.04864
1996,2nd Quintile,Tenant,No,0.96342,885,931,0.95136,0.97549
1996,3rd Quintile,Owner,No,0.99653,488,488,0.99131,1.00175
1996,3rd Quintile,Tenant,No,0.98949,791,791,0.98238,0.99660
1996,4th Quintile,Owner,No,0.99774,541,541,0.99373,1.00175
1996,4th Quintile,Tenant,No,0.98533,667,667,0.97620,0.99446
1996,5th Quintile,Owner,No,0.99830,591,591,0.99498,1.00162
1996,5th Quintile,Tenant,No,0.99479,484,484,0.98837,1.00121
1997,1st Quintile,Owner,No,0.95259,203,203,0.92328,0.98190
1997,1st Quintile,Tenant,Yes,0.23726,246,1027,0.21123,0.26329
1997,1st Quintile,Tenant,No,0.76274,781,1027,0.73671,0.78877
1997,2nd Quintile,Owner,No,0.97761,380,380,0.96272,0.99251
1997,2nd Quintile,Tenant,Yes,0.05033,45,911,0.03613,0.06454
1997,2nd Quintile,Tenant,No,0.94967,866,911,0.93546,0.96387
1997,3rd Quintile,Tenant,No,0.98413,776,776,0.97533,0.99293
1997,4th Quintile,Owner,No,0.99607,538,538,0.99079,1.00136
1997,4th Quintile,Tenant,No,0.99907,685,685,0.99677,1.00136
1997,5th Quintile,Owner,No,0.99647,608,608,0.99176,1.00119
1997,5th Quintile,Tenant,No,0.99643,438,438,0.99085,1.00202
1998,1st Quintile,Owner,No,0.96297,208,208,0.93725,0.98870
1998,1st Quintile,Tenant,Yes,0.25284,301,1215,0.22839,0.27729
1998,1st Quintile,Tenant,No,0.74716,914,1215,0.72271,0.77161
1998,2nd Quintile,Owner,No,0.98312,480,480,0.97158,0.99466
1998,2nd Quintile,Tenant,Yes,0.05346,57,1007,0.03956,0.06736
1998,2nd Quintile,Tenant,No,0.94654,950,1007,0.93264,0.96044
1998,3rd Quintile,Owner,No,0.99564,574,574,0.99025,1.00103
1998,3rd Quintile,Tenant,No,0.98489,858,858,0.97672,0.99306
1998,4th Quintile,Owner,No,0.99231,677,677,0.98572,0.99889
1998,4th Quintile,Tenant,No,0.98786,762,762,0.98008,0.99564
1998,5th Quintile,Tenant,No,0.99397,476,476,0.98701,1.00093
1999,1st Quintile,Owner,No,0.95268,247,247,0.92615,0.97921
1999,1st Quintile,Tenant,Yes,0.21977,276,1239,0.19670,0.24284
1999,1st Quintile,Tenant,No,0.78023,963,1239,0.75716,0.80330
1999,2nd Quintile,Owner,No,0.99560,498,498,0.98978,1.00142
1999,2nd Quintile,Tenant,Yes,0.04418,42,1022,0.03157,0.05678
1999,2nd Quintile,Tenant,No,0.95582,980,1022,0.94322,0.96843
1999,3rd Quintile,Owner,No,0.99350,624,624,0.98719,0.99981
