year,bula_h,quintil_oecd_hh,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Lower Saxony,1st Quintile,Yes,0.38688,34,96,0.28894,0.48481
1995,Lower Saxony,1st Quintile,No,0.61312,62,96,0.51519,0.71106
1995,Lower Saxony,2nd Quintile,No,0.95072,90,90,0.90575,0.99569
1995,Lower Saxony,3rd Quintile,No,0.98260,112,112,0.95827,1.00692
1995,Lower Saxony,5th Quintile,No,0.99712,98,98,0.98645,1.00779
1995,North Rhine-Westphalia,1st Quintile,Yes,0.21201,58,256,0.16185,0.26218
1995,North Rhine-Westphalia,1st Quintile,No,0.78799,198,256,0.73782,0.83815
1995,North Rhine-Westphalia,2nd Quintile,No,0.96025,231,231,0.93500,0.98550
1995,North Rhine-Westphalia,3rd Quintile,No,0.98585,245,245,0.97103,1.00067
1995,North Rhine-Westphalia,4th Quintile,No,0.99489,226,226,0.98557,1.00421
1995,Hesse,1st Quintile,No,0.82636,73,73,0.73886,0.91386
1995,Hesse,2nd Quintile,No,0.94364,83,83,0.89372,0.99356
1995,Hesse,5th Quintile,No,0.99057,100,100,0.97154,1.00961
1995,"Rhineland-Palatinate, Saarland",1st Quintile,No,0.78566,64,64,0.68433,0.88700
1995,"Rhineland-Palatinate, Saarland",2nd Quintile,No,0.97994,56,56,0.94289,1.01699
1995,"Rhineland-Palatinate, Saarland",5th Quintile,No,0.99867,58,58,0.98923,1.00812
1995,Baden-Wuerttemberg,1st Quintile,Yes,0.25610,36,145,0.18481,0.32739
1995,Baden-Wuerttemberg,1st Quintile,No,0.74390,109,145,0.67261,0.81519
1995,Baden-Wuerttemberg,2nd Quintile,No,0.95364,165,165,0.92146,0.98582
1995,Baden-Wuerttemberg,3rd Quintile,No,0.99972,168,168,0.99719,1.00225
1995,Baden-Wuerttemberg,4th Quintile,No,0.98976,164,164,0.97431,1.00522
1995,Bavaria,1st Quintile,No,0.90435,111,111,0.84939,0.95932
