year,sampreg,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,West,Yes,0.05308,260,4585,0.04659,0.05957
1995,West,No,0.94692,4325,4585,0.94043,0.95341
1995,East,Yes,0.11894,188,1707,0.10358,0.13430
1995,East,No,0.88106,1519,1707,0.86570,0.89642
1996,West,Yes,0.04502,228,4487,0.03895,0.05108
1996,West,No,0.95498,4259,4487,0.94892,0.96105
1996,East,Yes,0.09940,158,1719,0.08525,0.11355
1996,East,No,0.90060,1561,1719,0.88645,0.91475
1997,West,Yes,0.04441,228,4430,0.03835,0.05048
1997,West,No,0.95559,4202,4430,0.94952,0.96165
1997,East,Yes,0.07550,105,1678,0.06285,0.08814
1997,East,No,0.92450,1573,1678,0.91186,0.93715
1998,West,Yes,0.04693,258,5243,0.04121,0.05266
1998,West,No,0.95307,4985,5243,0.94734,0.95879
1998,East,Yes,0.09438,155,1858,0.08109,0.10768
1998,East,No,0.90562,1703,1858,0.89232,0.91891
1999,West,Yes,0.03925,228,5213,0.03397,0.04452
1999,West,No,0.96075,4985,5213,0.95548,0.96603
1999,East,Yes,0.08635,155,1930,0.07381,0.09888
1999,East,No,0.91365,1775,1930,0.90112,0.92619
2000,West,Yes,0.03345,344,9876,0.02990,0.03699
2000,West,No,0.96655,9532,9876,0.96301,0.97010
2000,East,Yes,0.07529,224,3074,0.06596,0.08462
2000,East,No,0.92471,2850,3074,0.91538,0.93404
2001,West,Yes,0.02758,255,8837,0.02417,0.03100
2001,West,No,0.97242,8582,8837,0.96900,0.97583
2001,East,Yes,0.06469,179,2843,0.05564,0.07373
2001,East,No,0.93531,2664,2843,0.92627,0.94436
2002,West,Yes,0.03128,253,9370,0.02775,0.03480
2002,West,No,0.96872,9117,9370,0.96520,0.97225
2002,East,Yes,0.06353,160,2842,0.05456,0.07250
2002,East,No,0.93647,2682,2842,0.92750,0.94544
2003,West,Yes,0.03560,270,8999,0.03178,0.03943
2003,West,No,0.96440,8729,8999,0.96057,0.96822
2003,East,Yes,0.07229,185,2805,0.06270,0.08187
2003,East,No,0.92771,2620,2805,0.91813,0.93730
2004,West,Yes,0.03798,268,8782,0.03398,0.04198
2004,West,No,0.96202,8514,8782,0.95802,0.96602
2004,East,Yes,0.09153,204,2761,0.08077,0.10229
2004,East,No,0.90847,2557,2761,0.89771,0.91923
2005,West,Yes,0.02676,203,8507,0.02333,0.03019
2005,West,No,0.97324,8304,8507,0.96981,0.97667
2005,East,Yes,0.06389,153,2692,0.05465,0.07313
2005,East,No,0.93611,2539,2692,0.92687,0.94535
2006,West,Yes,0.02613,204,9337,0.02289,0.02937
2006,West,No,0.97387,9133,9337,0.97063,0.97711
2006,East,Yes,0.05718,145,2928,0.04877,0.06559
2006,East,No,0.94282,2783,2928,0.93441,0.95123
2007,West,Yes,0.02584,176,8693,0.02250,0.02917
2007,West,No,0.97416,8517,8693,0.97083,0.97750
2007,East,Yes,0.04902,120,2760,0.04096,0.05708
2007,East,No,0.95098,2640,2760,0.94292,0.95904
2008,West,Yes,0.02273,160,8171,0.01950,0.02596
2008,West,No,0.97727,8011,8171,0.97404,0.98050
2008,East,Yes,0.04413,102,2651,0.03631,0.05195
2008,East,No,0.95587,2549,2651,0.94805,0.96369
2009,West,Yes,0.02062,140,7622,0.01743,0.02381
2009,West,No,0.97938,7482,7622,0.97619,0.98257
2009,East,Yes,0.04662,106,2555,0.03844,0.05479
2009,East,No,0.95338,2449,2555,0.94521,0.96156
2010,West,Yes,0.02373,429,10356,0.02080,0.02666
2010,West,No,0.97627,9927,10356,0.97334,0.97920
2010,East,Yes,0.04429,184,3041,0.03698,0.05161
2010,East,No,0.95571,2857,3041,0.94839,0.96302
2011,West,Yes,0.02211,491,12586,0.01954,0.02468
2011,West,No,0.97789,12095,12586,0.97532,0.98046
2011,East,Yes,0.04189,239,3641,0.03538,0.04839
2011,East,No,0.95811,3402,3641,0.95161,0.96462
2012,West,Yes,0.01857,380,12348,0.01619,0.02095
2012,West,No,0.98143,11968,12348,0.97905,0.98381
2012,East,Yes,0.03894,201,3606,0.03262,0.04525
2012,East,No,0.96106,3405,3606,0.95475,0.96738
2013,West,Yes,0.01839,431,13957,0.01616,0.02062
2013,West,No,0.98161,13526,13957,0.97938,0.98384
2013,East,Yes,0.03336,177,3558,0.02745,0.03926
2013,East,No,0.96664,3381,3558,0.96074,0.97255
2014,West,Yes,0.01559,285,12277,0.01340,0.01779
2014,West,No,0.98441,11992,12277,0.98221,0.98660
2014,East,Yes,0.02827,124,3326,0.02264,0.03391
2014,East,No,0.97173,3202,3326,0.96609,0.97736
2015,West,Yes,0.01600,267,11235,0.01368,0.01832
2015,West,No,0.98400,10968,11235,0.98168,0.98632
2015,East,Yes,0.01946,82,2831,0.01437,0.02455
2015,East,No,0.98054,2749,2831,0.97545,0.98563
2016,West,Yes,0.01448,378,12729,0.01240,0.01655
2016,West,No,0.98552,12351,12729,0.98345,0.98760
2016,East,Yes,0.02242,120,3401,0.01744,0.02740
2016,East,No,0.97758,3281,3401,0.97260,0.98256
2017,West,Yes,0.01285,464,14321,0.01101,0.01470
2017,West,No,0.98715,13857,14321,0.98530,0.98899
2017,East,Yes,0.02870,122,3740,0.02335,0.03406
2017,East,No,0.97130,3618,3740,0.96594,0.97665
2018,West,Yes,0.01588,579,13955,0.01381,0.01795
2018,West,No,0.98412,13376,13955,0.98205,0.98619
2018,East,Yes,0.02121,145,3733,0.01659,0.02583
2018,East,No,0.97879,3588,3733,0.97417,0.98341
2019,Does not apply,No,0.94834,61,61,0.89233,1.00435
2019,West,Yes,0.01563,364,14359,0.01360,0.01766
2019,West,No,0.98437,13995,14359,0.98234,0.98640
2019,East,Yes,0.02408,95,3869,0.01924,0.02891
2019,East,No,0.97592,3774,3869,0.97109,0.98076
2020,West,Yes,0.01324,425,15245,0.01143,0.01505
2020,West,No,0.98676,14820,15245,0.98495,0.98857
2020,East,Yes,0.02002,93,3777,0.01555,0.02449
2020,East,No,0.97998,3684,3777,0.97551,0.98445
2021,West,Yes,0.01601,340,9897,0.01354,0.01849
2021,West,No,0.98399,9557,9897,0.98151,0.98646
2021,East,Yes,0.02506,71,2570,0.01902,0.03111
2021,East,No,0.97494,2499,2570,0.96889,0.98098
2022,West,Yes,0.01732,365,15838,0.01529,0.01935
2022,West,No,0.98268,15473,15838,0.98065,0.98471
