"plh0033","year","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Grosse Sorgen","1984","Westdeutschland","2512","0.184482239309789","0.177544101622305","0.191420376997274"
"Grosse Sorgen","1984","Ostdeutschland","","","",""
"Einige Sorgen","1984","Westdeutschland","5202","0.422752864087097","0.413916510330677","0.431589217843517"
"Einige Sorgen","1984","Ostdeutschland","","","",""
"Keine Sorgen","1984","Westdeutschland","4292","0.392764896603114","0.384029277503731","0.401500515702496"
"Keine Sorgen","1984","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Westdeutschland","2231","0.187025984342493","0.179691282250634","0.194360686434353"
"Grosse Sorgen","1985","Ostdeutschland","","","",""
"Einige Sorgen","1985","Westdeutschland","4867","0.435490196003074","0.426163708605743","0.444816683400404"
"Einige Sorgen","1985","Ostdeutschland","","","",""
"Keine Sorgen","1985","Westdeutschland","3759","0.377483819654433","0.368365440126582","0.386602199182284"
"Keine Sorgen","1985","Ostdeutschland","","","",""
"Grosse Sorgen","1986","Westdeutschland","1869","0.155902153933352","0.148933894337671","0.162870413529033"
"Grosse Sorgen","1986","Ostdeutschland","","","",""
"Einige Sorgen","1986","Westdeutschland","4390","0.403808722099716","0.394383696803548","0.413233747395884"
"Einige Sorgen","1986","Ostdeutschland","","","",""
"Keine Sorgen","1986","Westdeutschland","4152","0.440289123966932","0.430753420888533","0.449824827045331"
"Keine Sorgen","1986","Ostdeutschland","","","",""
"Grosse Sorgen","1987","Westdeutschland","1782","0.15254340540466","0.145594740101417","0.159492070707904"
"Grosse Sorgen","1987","Ostdeutschland","","","",""
"Einige Sorgen","1987","Westdeutschland","4737","0.443084491612532","0.433484212188926","0.452684771036138"
"Einige Sorgen","1987","Ostdeutschland","","","",""
"Keine Sorgen","1987","Westdeutschland","3766","0.404372102982808","0.39488739309566","0.413856812869956"
"Keine Sorgen","1987","Ostdeutschland","","","",""
"Grosse Sorgen","1988","Westdeutschland","1768","0.153932997578401","0.146801067560918","0.161064927595883"
"Grosse Sorgen","1988","Ostdeutschland","","","",""
"Einige Sorgen","1988","Westdeutschland","4566","0.444310069192493","0.434490370265989","0.454129768118997"
"Einige Sorgen","1988","Ostdeutschland","","","",""
"Keine Sorgen","1988","Westdeutschland","3502","0.401756933229106","0.392068370439662","0.411445496018551"
"Keine Sorgen","1988","Ostdeutschland","","","",""
"Grosse Sorgen","1989","Westdeutschland","1465","0.125900189510877","0.119233216375494","0.13256716264626"
"Grosse Sorgen","1989","Ostdeutschland","","","",""
"Einige Sorgen","1989","Westdeutschland","4236","0.426914405437857","0.416973747017326","0.436855063858387"
"Einige Sorgen","1989","Ostdeutschland","","","",""
"Keine Sorgen","1989","Westdeutschland","3810","0.447185405051266","0.437193033808928","0.457177776293604"
"Keine Sorgen","1989","Ostdeutschland","","","",""
"Grosse Sorgen","1990","Westdeutschland","1438","0.125011809127187","0.118303017772069","0.131720600482305"
"Grosse Sorgen","1990","Ostdeutschland","1312","0.283975019878148","0.270663383240237","0.297286656516059"
"Einige Sorgen","1990","Westdeutschland","4026","0.414254107021517","0.40426203151928","0.424246182523753"
"Einige Sorgen","1990","Ostdeutschland","2564","0.577782675980545","0.56320200263257","0.592363349328519"
"Keine Sorgen","1990","Westdeutschland","3872","0.460734083851296","0.450623078828042","0.470845088874551"
"Keine Sorgen","1990","Ostdeutschland","532","0.138242304141307","0.128053097611628","0.148431510670986"
"Grosse Sorgen","1991","Westdeutschland","1196","0.106619729021354","0.100362977100497","0.112876480942211"
"Grosse Sorgen","1991","Ostdeutschland","1604","0.37963019365038","0.364811661647214","0.394448725653546"
"Einige Sorgen","1991","Westdeutschland","4196","0.424766468144533","0.414745511584338","0.434787424704727"
"Einige Sorgen","1991","Ostdeutschland","2117","0.507566093247655","0.49230028655874","0.522831899936569"
"Keine Sorgen","1991","Westdeutschland","3955","0.468613802834113","0.458497434288832","0.478730171379395"
"Keine Sorgen","1991","Ostdeutschland","399","0.112803713101965","0.103143848515794","0.122463577688136"
"Grosse Sorgen","1992","Westdeutschland","1477","0.1334090640721","0.126477338600382","0.140340789543817"
"Grosse Sorgen","1992","Ostdeutschland","1251","0.307436404108107","0.293031934995256","0.321840873220957"
"Einige Sorgen","1992","Westdeutschland","4417","0.472595236970683","0.462417333948956","0.48277313999241"
"Einige Sorgen","1992","Ostdeutschland","2213","0.553803236668102","0.538285415819785","0.569321057516419"
"Keine Sorgen","1992","Westdeutschland","3349","0.393995698957218","0.38403418820158","0.403957209712855"
"Keine Sorgen","1992","Ostdeutschland","478","0.138760359223791","0.127968792647733","0.14955192579985"
"Grosse Sorgen","1993","Westdeutschland","1599","0.143448485769385","0.136281854452354","0.150615117086416"
"Grosse Sorgen","1993","Ostdeutschland","1070","0.280422434044195","0.266158780287455","0.294686087800935"
"Einige Sorgen","1993","Westdeutschland","4582","0.491163447171687","0.48094246794571","0.501384426397665"
"Einige Sorgen","1993","Ostdeutschland","2127","0.545268011934817","0.529456683269041","0.561079340600593"
"Keine Sorgen","1993","Westdeutschland","3009","0.365388067058928","0.355542933041937","0.375233201075919"
"Keine Sorgen","1993","Ostdeutschland","613","0.174309554020988","0.162263222007327","0.186355886034649"
"Grosse Sorgen","1994","Westdeutschland","1805","0.173262568133278","0.165457651649212","0.181067484617343"
"Grosse Sorgen","1994","Ostdeutschland","993","0.254220771247929","0.240308704922185","0.268132837573673"
"Einige Sorgen","1994","Westdeutschland","4535","0.492481892416977","0.482172027136937","0.502791757697018"
"Einige Sorgen","1994","Ostdeutschland","2243","0.579968137334732","0.564198410615229","0.595737864054235"
"Keine Sorgen","1994","Westdeutschland","2693","0.334255539449745","0.324527503355183","0.343983575544307"
"Keine Sorgen","1994","Ostdeutschland","527","0.165811091417339","0.153928258888632","0.177693923946046"
"Grosse Sorgen","1995","Westdeutschland","1790","0.157979366244116","0.150645635133438","0.165313097354795"
"Grosse Sorgen","1995","Ostdeutschland","899","0.238805435967465","0.224988995063796","0.252621876871134"
"Einige Sorgen","1995","Westdeutschland","4692","0.475209560008076","0.465168051190755","0.485251068825396"
"Einige Sorgen","1995","Ostdeutschland","2090","0.554942164406525","0.538837253446415","0.571047075366635"
"Keine Sorgen","1995","Westdeutschland","3019","0.366811073747808","0.357120459488679","0.376501688006937"
"Keine Sorgen","1995","Ostdeutschland","669","0.20625239962601","0.193140459478266","0.219364339773754"
"Grosse Sorgen","1996","Westdeutschland","1719","0.153886811039045","0.146561010882418","0.161212611195672"
"Grosse Sorgen","1996","Ostdeutschland","867","0.229212936093588","0.215623351228683","0.242802520958494"
"Einige Sorgen","1996","Westdeutschland","4897","0.517488901491954","0.507344082362688","0.52763372062122"
"Einige Sorgen","1996","Ostdeutschland","2136","0.557295199594914","0.541236174158403","0.573354225031425"
"Keine Sorgen","1996","Westdeutschland","2704","0.328624287469001","0.319088143990662","0.338160430947339"
"Keine Sorgen","1996","Ostdeutschland","672","0.213491864311498","0.200243517335","0.226740211287996"
"Grosse Sorgen","1997","Westdeutschland","1903","0.182812667254137","0.174896126725534","0.190729207782741"
"Grosse Sorgen","1997","Ostdeutschland","949","0.259000526889898","0.244731541213968","0.273269512565827"
"Einige Sorgen","1997","Westdeutschland","4983","0.534932302475819","0.524716347182802","0.545148257768837"
"Einige Sorgen","1997","Ostdeutschland","2205","0.587138296714594","0.571101916932604","0.603174676496584"
"Keine Sorgen","1997","Westdeutschland","2271","0.282255030270043","0.273036166274943","0.291473894265144"
"Keine Sorgen","1997","Ostdeutschland","467","0.153861176395508","0.142108976655099","0.165613376135918"
"Grosse Sorgen","1998","Westdeutschland","2373","0.212761603341752","0.204861759261426","0.220661447422077"
"Grosse Sorgen","1998","Ostdeutschland","1204","0.306352925827707","0.291795477830406","0.320910373825009"
"Einige Sorgen","1998","Westdeutschland","5257","0.50079169598008","0.491140342580395","0.510443049379765"
"Einige Sorgen","1998","Ostdeutschland","2065","0.52151054299703","0.505735422522601","0.53728566347146"
"Keine Sorgen","1998","Westdeutschland","2680","0.286446700678169","0.277719923648102","0.295173477708235"
"Keine Sorgen","1998","Ostdeutschland","583","0.172136531175262","0.160215307551965","0.184057754798559"
"Grosse Sorgen","1999","Westdeutschland","1731","0.157609729999236","0.150413214674683","0.164806245323788"
"Grosse Sorgen","1999","Ostdeutschland","862","0.214442513823328","0.201346198622364","0.227538829024293"
"Einige Sorgen","1999","Westdeutschland","4937","0.48478190024087","0.47491131677739","0.49465248370435"
"Einige Sorgen","1999","Ostdeutschland","2212","0.566362033796763","0.550548992534567","0.582175075058959"
"Keine Sorgen","1999","Westdeutschland","3180","0.357608369759894","0.348142122472106","0.367074617047682"
"Keine Sorgen","1999","Ostdeutschland","699","0.219195452379908","0.205994914572335","0.232395990187481"
"Grosse Sorgen","2000","Westdeutschland","2825","0.149458083823672","0.144260320460488","0.154655847186856"
"Grosse Sorgen","2000","Ostdeutschland","1417","0.234893662202859","0.223990091922066","0.245797232483653"
"Einige Sorgen","2000","Westdeutschland","8365","0.45576102070745","0.44850042341618","0.46302161799872"
"Einige Sorgen","2000","Ostdeutschland","3095","0.513944017959293","0.501088983889844","0.526799052028742"
"Keine Sorgen","2000","Westdeutschland","6885","0.394780895468878","0.387654936518129","0.401906854419627"
"Keine Sorgen","2000","Ostdeutschland","1295","0.251162319837848","0.240007995576901","0.262316644098795"
"Grosse Sorgen","2001","Westdeutschland","2407","0.143699555070252","0.138321692363584","0.149077417776921"
"Grosse Sorgen","2001","Ostdeutschland","1315","0.243603598029923","0.232153531668882","0.255053664390963"
"Einige Sorgen","2001","Westdeutschland","7632","0.456255456119162","0.448619377242669","0.463891534995656"
"Einige Sorgen","2001","Ostdeutschland","2855","0.500849699489589","0.487512618006523","0.514186780972656"
"Keine Sorgen","2001","Westdeutschland","6305","0.400044988810585","0.392534249747069","0.407555727874102"
"Keine Sorgen","2001","Ostdeutschland","1229","0.255546702480488","0.243912267499444","0.267181137461532"
"Grosse Sorgen","2002","Westdeutschland","2744","0.170324065744488","0.164754181890208","0.175893949598768"
"Grosse Sorgen","2002","Ostdeutschland","1427","0.28014471498241","0.268167246775269","0.292122183189551"
"Einige Sorgen","2002","Westdeutschland","8510","0.499035794689315","0.491627417570313","0.506444171808316"
