"plh0033","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","16-34 Jahre alt","maennlich","527","0.212997213353123","0.196061050767847","0.229933375938398"
"Grosse Sorgen","1984","16-34 Jahre alt","weiblich","541","0.213582128680387","0.196883701917492","0.230280555443282"
"Grosse Sorgen","1984","35-65 Jahre alt","maennlich","698","0.198944271883963","0.185086735759544","0.212801808008383"
"Grosse Sorgen","1984","35-65 Jahre alt","weiblich","633","0.188072118075753","0.174276133206099","0.201868102945408"
"Grosse Sorgen","1984","66 und älter","maennlich","52","0.103620544938253","0.0768264692648117","0.130414620611694"
"Grosse Sorgen","1984","66 und älter","weiblich","82","0.106251631963015","0.0843573252278548","0.128145938698176"
"Einige Sorgen","1984","16-34 Jahre alt","maennlich","1068","0.479032532466136","0.458367898134261","0.499697166798011"
"Einige Sorgen","1984","16-34 Jahre alt","weiblich","1085","0.472954025287758","0.452611721900415","0.4932963286751"
"Einige Sorgen","1984","35-65 Jahre alt","maennlich","1371","0.433001307151903","0.415801460804871","0.450201153498935"
"Einige Sorgen","1984","35-65 Jahre alt","weiblich","1325","0.42640469634657","0.408944643377478","0.443864749315661"
"Einige Sorgen","1984","66 und älter","maennlich","146","0.29289826286107","0.252888198802023","0.332908326920117"
"Einige Sorgen","1984","66 und älter","weiblich","236","0.307096526635641","0.274322516473102","0.33987053679818"
"Keine Sorgen","1984","16-34 Jahre alt","maennlich","650","0.307970254180741","0.288873626309363","0.32706688205212"
"Keine Sorgen","1984","16-34 Jahre alt","weiblich","688","0.313463846031855","0.294562538469817","0.332365153593894"
"Keine Sorgen","1984","35-65 Jahre alt","maennlich","1119","0.368054420964134","0.351313289994516","0.384795551933752"
"Keine Sorgen","1984","35-65 Jahre alt","weiblich","1124","0.385523185577677","0.3683397588607","0.402706612294654"
"Keine Sorgen","1984","66 und älter","maennlich","299","0.603481192200677","0.56047473551951","0.646487648881844"
"Keine Sorgen","1984","66 und älter","weiblich","443","0.586651841401344","0.551665060497213","0.621638622305474"
"Grosse Sorgen","1985","16-34 Jahre alt","maennlich","484","0.212638352149299","0.195041387155788","0.23023531714281"
"Grosse Sorgen","1985","16-34 Jahre alt","weiblich","428","0.189524503734152","0.172587617368071","0.206461390100233"
"Grosse Sorgen","1985","35-65 Jahre alt","maennlich","627","0.20635554479109","0.191557602045279","0.221153487536902"
"Grosse Sorgen","1985","35-65 Jahre alt","weiblich","562","0.186691947847738","0.172320316304675","0.2010635793908"
"Grosse Sorgen","1985","66 und älter","maennlich","57","0.1313633594104","0.0997284036634965","0.162998315157303"
"Grosse Sorgen","1985","66 und älter","weiblich","87","0.135162573488016","0.108878850786321","0.161446296189711"
"Einige Sorgen","1985","16-34 Jahre alt","maennlich","987","0.480753516278692","0.459266413580291","0.502240618977094"
"Einige Sorgen","1985","16-34 Jahre alt","weiblich","1025","0.50682915542808","0.485223848664679","0.528434462191481"
"Einige Sorgen","1985","35-65 Jahre alt","maennlich","1276","0.428568546144569","0.410472966635154","0.446664125653985"
"Einige Sorgen","1985","35-65 Jahre alt","weiblich","1274","0.447455388865792","0.429116446312967","0.465794331418617"
"Einige Sorgen","1985","66 und älter","maennlich","120","0.269813795987206","0.228245719989938","0.311381871984473"
"Einige Sorgen","1985","66 und älter","weiblich","212","0.338226788805817","0.301856227357156","0.374597350254478"
"Keine Sorgen","1985","16-34 Jahre alt","maennlich","606","0.306608131572009","0.286778664192047","0.326437598951971"
"Keine Sorgen","1985","16-34 Jahre alt","weiblich","604","0.303646340837768","0.283774875104591","0.323517806570945"
"Keine Sorgen","1985","35-65 Jahre alt","maennlich","970","0.365075909064341","0.347471041247493","0.382680776881188"
"Keine Sorgen","1985","35-65 Jahre alt","weiblich","988","0.36585266328647","0.34808771524124","0.383617611331699"
"Keine Sorgen","1985","66 und älter","maennlich","261","0.598822844602395","0.552921192920677","0.644724496284112"
"Keine Sorgen","1985","66 und älter","weiblich","351","0.526610637706167","0.488227058120934","0.5649942172914"
"Grosse Sorgen","1986","16-34 Jahre alt","maennlich","424","0.184860692715883","0.168101723578604","0.201619661853162"
"Grosse Sorgen","1986","16-34 Jahre alt","weiblich","381","0.183167057065268","0.166168149764571","0.200165964365964"
"Grosse Sorgen","1986","35-65 Jahre alt","maennlich","529","0.171089274970475","0.156931707591528","0.185246842349423"
"Grosse Sorgen","1986","35-65 Jahre alt","weiblich","452","0.149856122889018","0.136367878916131","0.163344366861904"
"Grosse Sorgen","1986","66 und älter","maennlich","32","0.0777682885689343","0.0520642502403678","0.103472326897501"
"Grosse Sorgen","1986","66 und älter","weiblich","57","0.0913377809047747","0.0682284490601208","0.114447112749429"
"Einige Sorgen","1986","16-34 Jahre alt","maennlich","940","0.457243263571737","0.435735989756535","0.47875053738694"
