year,bula_h,pgisced97,plh0033,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Somewhat concerned,0.39419,33,70,0.27888,0.50950
1984,Schleswig-Holstein,Lower Secondary Level,Not concerned at all,0.42411,37,70,0.30750,0.54072
1984,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.37529,91,189,0.30608,0.44451
1984,Schleswig-Holstein,Upper Secondary Level,Not concerned at all,0.48686,98,189,0.41541,0.55831
1984,Hamburg,Upper Secondary Level,Somewhat concerned,0.36411,58,126,0.27975,0.44846
1984,Hamburg,Upper Secondary Level,Not concerned at all,0.47754,68,126,0.38998,0.56511
1984,Lower Saxony,Lower Secondary Level,Very concerned,0.21220,87,362,0.17003,0.25438
1984,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.44372,163,362,0.39247,0.49497
1984,Lower Saxony,Lower Secondary Level,Not concerned at all,0.34408,112,362,0.29507,0.39308
1984,Lower Saxony,Upper Secondary Level,Very concerned,0.18066,109,579,0.14929,0.21202
1984,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.46668,274,579,0.42601,0.50736
1984,Lower Saxony,Upper Secondary Level,Not concerned at all,0.35266,196,579,0.31370,0.39161
1984,Lower Saxony,First Stage of Tertiary Education,Somewhat concerned,0.43284,34,34,0.26379,0.60189
1984,Lower Saxony,Second Stage of Tertiary Education,Not concerned at all,0.60831,45,45,0.46408,0.75254
1984,Bremen,Upper Secondary Level,Very concerned,0.48768,39,39,0.32875,0.64661
1984,North Rhine-Westphalia,Primary Level,Very concerned,0.38222,109,297,0.32686,0.43758
1984,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.33069,111,297,0.27710,0.38429
1984,North Rhine-Westphalia,Primary Level,Not concerned at all,0.28709,77,297,0.23555,0.33862
1984,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.22795,219,855,0.19981,0.25609
1984,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.40965,377,855,0.37667,0.44263
1984,North Rhine-Westphalia,Lower Secondary Level,Not concerned at all,0.36240,259,855,0.33016,0.39464
1984,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.20943,331,1504,0.18885,0.23000
1984,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.43565,682,1504,0.41058,0.46072
1984,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.35492,491,1504,0.33073,0.37911
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Somewhat concerned,0.46019,41,41,0.30573,0.61465
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Very concerned,0.21687,31,155,0.15178,0.28195
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Somewhat concerned,0.45516,72,155,0.37651,0.53382
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Not concerned at all,0.32797,52,155,0.25382,0.40212
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Somewhat concerned,0.31841,70,199,0.25352,0.38330
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Not concerned at all,0.57249,129,199,0.50358,0.64140
1984,Hesse,Primary Level,Somewhat concerned,0.44886,53,53,0.31368,0.58405
1984,Hesse,Lower Secondary Level,Very concerned,0.23010,88,352,0.18607,0.27414
1984,Hesse,Lower Secondary Level,Somewhat concerned,0.39623,142,352,0.34506,0.44740
1984,Hesse,Lower Secondary Level,Not concerned at all,0.37366,122,352,0.32305,0.42427
1984,Hesse,Upper Secondary Level,Very concerned,0.17200,110,578,0.14121,0.20280
1984,Hesse,Upper Secondary Level,Somewhat concerned,0.41912,251,578,0.37886,0.45938
1984,Hesse,Upper Secondary Level,Not concerned at all,0.40887,217,578,0.36876,0.44899
1984,Hesse,Second Stage of Tertiary Education,Not concerned at all,0.66188,57,57,0.53798,0.78578
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very concerned,0.25637,73,295,0.20646,0.30629
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Somewhat concerned,0.44466,140,295,0.38786,0.50147
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not concerned at all,0.29896,82,295,0.24663,0.35129
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very concerned,0.19271,74,388,0.15341,0.23201
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Somewhat concerned,0.48575,191,388,0.43595,0.53554
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not concerned at all,0.32154,123,388,0.27501,0.36808
1984,Baden-Wuerttemberg,Primary Level,Very concerned,0.24783,75,280,0.19717,0.29850
1984,Baden-Wuerttemberg,Primary Level,Somewhat concerned,0.38495,103,280,0.32785,0.44205
1984,Baden-Wuerttemberg,Primary Level,Not concerned at all,0.36722,102,280,0.31065,0.42378
1984,Baden-Wuerttemberg,Lower Secondary Level,Very concerned,0.16142,138,686,0.13387,0.18897
1984,Baden-Wuerttemberg,Lower Secondary Level,Somewhat concerned,0.42503,301,686,0.38801,0.46205
1984,Baden-Wuerttemberg,Lower Secondary Level,Not concerned at all,0.41355,247,686,0.37667,0.45043
1984,Baden-Wuerttemberg,Upper Secondary Level,Very concerned,0.14319,151,932,0.12069,0.16569
1984,Baden-Wuerttemberg,Upper Secondary Level,Somewhat concerned,0.46154,430,932,0.42952,0.49356
1984,Baden-Wuerttemberg,Upper Secondary Level,Not concerned at all,0.39526,351,932,0.36386,0.42667
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,Somewhat concerned,0.41657,50,103,0.32089,0.51224
