"plh0033","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","16-34 Jahre alt","kein Migrationshintergrund","599","0.200846863578545","0.186688845691351","0.215004881465738"
"Grosse Sorgen","1984","16-34 Jahre alt","direkter Migrationshintergrund","446","0.313008912762209","0.28856949223379","0.337448333290629"
"Grosse Sorgen","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","kein Migrationshintergrund","781","0.185952578092994","0.17430466927534","0.197600486910648"
"Grosse Sorgen","1984","35-65 Jahre alt","direkter Migrationshintergrund","544","0.250861572735796","0.231689217948231","0.270033927523362"
"Grosse Sorgen","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","66 und älter","kein Migrationshintergrund","129","0.105691185756955","0.0884324341244145","0.122949937389496"
"Grosse Sorgen","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","16-34 Jahre alt","kein Migrationshintergrund","1488","0.479223411799434","0.461569145841466","0.496877677757401"
"Einige Sorgen","1984","16-34 Jahre alt","direkter Migrationshintergrund","616","0.448278018189577","0.422067786114007","0.474488250265146"
"Einige Sorgen","1984","16-34 Jahre alt","indirekter Migrationshintergrund","49","0.48855774844242","0.390585213428073","0.586530283456767"
"Einige Sorgen","1984","35-65 Jahre alt","kein Migrationshintergrund","1852","0.42704574762808","0.412236971012306","0.441854524243854"
"Einige Sorgen","1984","35-65 Jahre alt","direkter Migrationshintergrund","835","0.449143860890345","0.427145557862405","0.471142163918285"
"Einige Sorgen","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","66 und älter","kein Migrationshintergrund","368","0.298941828357791","0.273242805578385","0.324640851137197"
"Einige Sorgen","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","16-34 Jahre alt","kein Migrationshintergrund","989","0.319929724622022","0.303445857002901","0.336413592241142"
"Keine Sorgen","1984","16-34 Jahre alt","direkter Migrationshintergrund","321","0.238713069048214","0.216245851720092","0.261180286376336"
"Keine Sorgen","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","35-65 Jahre alt","kein Migrationshintergrund","1653","0.387001674278926","0.372419977137768","0.401583371420084"
"Keine Sorgen","1984","35-65 Jahre alt","direkter Migrationshintergrund","585","0.299994566373859","0.279727786559122","0.320261346188596"
"Keine Sorgen","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","66 und älter","kein Migrationshintergrund","722","0.595366985885254","0.567813961945099","0.622920009825409"
"Keine Sorgen","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","16-34 Jahre alt","kein Migrationshintergrund","550","0.191143179799235","0.176785254448678","0.205501105149793"
"Grosse Sorgen","1985","16-34 Jahre alt","direkter Migrationshintergrund","340","0.295713764991735","0.26917569740179","0.322251832581681"
"Grosse Sorgen","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","35-65 Jahre alt","kein Migrationshintergrund","739","0.190479043762696","0.178248714558999","0.202709372966393"
"Grosse Sorgen","1985","35-65 Jahre alt","direkter Migrationshintergrund","445","0.242730357672385","0.222462984028102","0.262997731316667"
"Grosse Sorgen","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","66 und älter","kein Migrationshintergrund","135","0.132139145903227","0.111626789793287","0.152651502013167"
"Grosse Sorgen","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1985","16-34 Jahre alt","kein Migrationshintergrund","1432","0.496562793482318","0.478305508100323","0.514820078864314"
"Einige Sorgen","1985","16-34 Jahre alt","direkter Migrationshintergrund","517","0.456067559943466","0.427104396386719","0.485030723500213"
"Einige Sorgen","1985","16-34 Jahre alt","indirekter Migrationshintergrund","63","0.603532439982261","0.514896613545555","0.692168266418967"
"Einige Sorgen","1985","35-65 Jahre alt","kein Migrationshintergrund","1754","0.437789825391074","0.422337897223533","0.453241753558615"
"Einige Sorgen","1985","35-65 Jahre alt","direkter Migrationshintergrund","789","0.442538460511472","0.419058729462222","0.466018191560722"
"Einige Sorgen","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1985","66 und älter","kein Migrationshintergrund","322","0.316129843802438","0.287965844530816","0.34429384307406"
"Einige Sorgen","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1985","16-34 Jahre alt","kein Migrationshintergrund","899","0.312294026718446","0.295371714681305","0.329216338755588"
"Keine Sorgen","1985","16-34 Jahre alt","direkter Migrationshintergrund","279","0.248218675064799","0.223098542989889","0.273338807139708"
"Keine Sorgen","1985","16-34 Jahre alt","indirekter Migrationshintergrund","32","0.23028895990588","0.15400107447203","0.306576845339729"
"Keine Sorgen","1985","35-65 Jahre alt","kein Migrationshintergrund","1467","0.37173113084623","0.356679355248687","0.386782906443772"
"Keine Sorgen","1985","35-65 Jahre alt","direkter Migrationshintergrund","485","0.314731181816143","0.29277734032598","0.336685023306306"
"Keine Sorgen","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1985","66 und älter","kein Migrationshintergrund","590","0.551731010294335","0.521607346245423","0.581854674343247"
