year,sex,plh0033,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Very concerned,0.19091,1262,5876,0.18086,0.20096
1984,male,Somewhat concerned,0.43079,2566,5876,0.41813,0.44345
1984,male,Not concerned at all,0.37830,2048,5876,0.36590,0.39070
1984,female,Very concerned,0.17880,1250,6130,0.16920,0.18839
1984,female,Somewhat concerned,0.41564,2636,6130,0.40331,0.42798
1984,female,Not concerned at all,0.40556,2244,6130,0.39327,0.41785
1985,male,Very concerned,0.19820,1157,5346,0.18752,0.20889
1985,male,Somewhat concerned,0.42683,2367,5346,0.41357,0.44009
1985,male,Not concerned at all,0.37497,1822,5346,0.36199,0.38795
1985,female,Very concerned,0.17694,1074,5511,0.16686,0.18701
1985,female,Somewhat concerned,0.44328,2500,5511,0.43016,0.45639
1985,female,Not concerned at all,0.37979,1937,5511,0.36697,0.39260
1986,male,Very concerned,0.16349,981,5160,0.15340,0.17358
1986,male,Somewhat concerned,0.40351,2163,5160,0.39012,0.41690
1986,male,Not concerned at all,0.43300,2016,5160,0.41948,0.44652
1986,female,Very concerned,0.14894,888,5251,0.13931,0.15857
1986,female,Somewhat concerned,0.40417,2227,5251,0.39089,0.41744
1986,female,Not concerned at all,0.44689,2136,5251,0.43345,0.46034
1987,male,Very concerned,0.15685,893,5103,0.14687,0.16683
1987,male,Somewhat concerned,0.44979,2371,5103,0.43614,0.46344
1987,male,Not concerned at all,0.39336,1839,5103,0.37996,0.40677
1987,female,Very concerned,0.14868,889,5182,0.13899,0.15837
1987,female,Somewhat concerned,0.43707,2366,5182,0.42356,0.45057
1987,female,Not concerned at all,0.41425,1927,5182,0.40084,0.42767
1988,male,Very concerned,0.15649,906,4877,0.14629,0.16669
1988,male,Somewhat concerned,0.44095,2244,4877,0.42701,0.45488
1988,male,Not concerned at all,0.40257,1727,4877,0.38880,0.41633
1988,female,Very concerned,0.15161,862,4959,0.14163,0.16159
1988,female,Somewhat concerned,0.44740,2322,4959,0.43356,0.46124
