year,bula_h,regtyp,plh0033,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,No answer / don't know,Very concerned,0.15192,60,384,0.11598,0.18787
1984,Schleswig-Holstein,No answer / don't know,Somewhat concerned,0.37508,155,384,0.32660,0.42357
1984,Schleswig-Holstein,No answer / don't know,Not concerned at all,0.47299,169,384,0.42299,0.52299
1984,Hamburg,No answer / don't know,Very concerned,0.19190,73,306,0.14770,0.23609
1984,Hamburg,No answer / don't know,Somewhat concerned,0.39908,120,306,0.34412,0.45404
1984,Hamburg,No answer / don't know,Not concerned at all,0.40902,113,306,0.35385,0.46420
1984,Lower Saxony,No answer / don't know,Very concerned,0.18139,241,1212,0.15968,0.20309
1984,Lower Saxony,No answer / don't know,Somewhat concerned,0.44739,550,1212,0.41939,0.47540
1984,Lower Saxony,No answer / don't know,Not concerned at all,0.37122,421,1212,0.34401,0.39843
1984,Bremen,No answer / don't know,Very concerned,0.37420,56,132,0.29133,0.45707
1984,Bremen,No answer / don't know,Somewhat concerned,0.29007,37,132,0.21236,0.36778
1984,Bremen,No answer / don't know,Not concerned at all,0.33573,39,132,0.25486,0.41660
1984,North Rhine-Westphalia,No answer / don't know,Very concerned,0.21178,763,3207,0.19764,0.22593
1984,North Rhine-Westphalia,No answer / don't know,Somewhat concerned,0.41802,1385,3207,0.40095,0.43510
1984,North Rhine-Westphalia,No answer / don't know,Not concerned at all,0.37019,1059,3207,0.35348,0.38691
1984,Hesse,No answer / don't know,Very concerned,0.18440,256,1235,0.16276,0.20604
1984,Hesse,No answer / don't know,Somewhat concerned,0.38866,514,1235,0.36146,0.41585
1984,Hesse,No answer / don't know,Not concerned at all,0.42695,465,1235,0.39935,0.45454
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Very concerned,0.22009,190,843,0.19210,0.24807
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Somewhat concerned,0.46396,397,843,0.43027,0.49764
1984,"Rhineland-Palatinate, Saarland",No answer / don't know,Not concerned at all,0.31595,256,843,0.28455,0.34736
1984,Baden-Wuerttemberg,No answer / don't know,Very concerned,0.14532,403,2231,0.13069,0.15995
1984,Baden-Wuerttemberg,No answer / don't know,Somewhat concerned,0.43889,973,2231,0.41829,0.45948
1984,Baden-Wuerttemberg,No answer / don't know,Not concerned at all,0.41579,855,2231,0.39534,0.43625
1984,Bavaria,No answer / don't know,Very concerned,0.15576,373,2052,0.14007,0.17146
1984,Bavaria,No answer / don't know,Somewhat concerned,0.43452,907,2052,0.41307,0.45597
1984,Bavaria,No answer / don't know,Not concerned at all,0.40972,772,2052,0.38843,0.43100
1984,Berlin,No answer / don't know,Very concerned,0.18708,97,404,0.14901,0.22516
1984,Berlin,No answer / don't know,Somewhat concerned,0.36483,164,404,0.31783,0.41183
1984,Berlin,No answer / don't know,Not concerned at all,0.44808,143,404,0.39953,0.49664
1985,Schleswig-Holstein,Urban regions,Very concerned,0.16023,31,165,0.10409,0.21638
1985,Schleswig-Holstein,Urban regions,Somewhat concerned,0.49395,84,165,0.41743,0.57047
1985,Schleswig-Holstein,Urban regions,Not concerned at all,0.34582,50,165,0.27302,0.41861
1985,Schleswig-Holstein,Rural regions,Very concerned,0.17519,34,181,0.11965,0.23072
1985,Schleswig-Holstein,Rural regions,Somewhat concerned,0.44562,84,181,0.37301,0.51823
1985,Schleswig-Holstein,Rural regions,Not concerned at all,0.37919,63,181,0.30831,0.45007
1985,Hamburg,Urban regions,Very concerned,0.15732,61,266,0.11348,0.20116
1985,Hamburg,Urban regions,Somewhat concerned,0.43902,113,266,0.37927,0.49877
1985,Hamburg,Urban regions,Not concerned at all,0.40366,92,266,0.34459,0.46274
1985,Lower Saxony,Urban regions,Very concerned,0.17189,93,505,0.13895,0.20483
1985,Lower Saxony,Urban regions,Somewhat concerned,0.48461,241,505,0.44098,0.52824
1985,Lower Saxony,Urban regions,Not concerned at all,0.34350,171,505,0.30204,0.38496
