"plh0033","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1984","(Fach-)Abitur","379","0.4332229055445","0.400066587433733","0.466379223655268"
"Einige Sorgen","1984","(noch) kein Abschluss","519","0.436147437729571","0.40876562093734","0.463529254521801"
"Einige Sorgen","1984","AkademikerIn","252","0.31461756930946","0.28200858050991","0.347226558109009"
"Einige Sorgen","1984","Hauptschule","3184","0.430194629451804","0.418721830465717","0.441667428437891"
"Einige Sorgen","1984","Realschule","833","0.431859646939749","0.409397110938655","0.454322182940844"
"Grosse Sorgen","1984","(Fach-)Abitur","190","0.18926651617449","0.163055708956175","0.215477323392806"
"Grosse Sorgen","1984","(noch) kein Abschluss","369","0.254847771745591","0.23078610314207","0.278909440349112"
"Grosse Sorgen","1984","AkademikerIn","86","0.101612210789151","0.0803951982708434","0.122829223307459"
"Grosse Sorgen","1984","Hauptschule","1586","0.203335039689841","0.19400856333426","0.212661516045423"
"Grosse Sorgen","1984","Realschule","247","0.133639763268414","0.118209378362024","0.149070148174805"
"Keine Sorgen","1984","(Fach-)Abitur","289","0.377510578281009","0.345074002744004","0.409947153818014"
"Keine Sorgen","1984","(noch) kein Abschluss","372","0.309004790524838","0.283490532518365","0.334519048531311"
"Keine Sorgen","1984","AkademikerIn","441","0.583770219901389","0.549155015124463","0.618385424678315"
"Keine Sorgen","1984","Hauptschule","2384","0.366470330858355","0.355304873625272","0.377635788091438"
"Keine Sorgen","1984","Realschule","788","0.434500589791836","0.412021903916854","0.456979275666818"
"Einige Sorgen","1985","(Fach-)Abitur","337","0.428672081080379","0.394052756874957","0.463291405285801"
"Einige Sorgen","1985","(noch) kein Abschluss","468","0.427826544762397","0.398027809803979","0.457625279720814"
"Einige Sorgen","1985","AkademikerIn","261","0.318261718924258","0.284858460554302","0.351664977294215"
"Einige Sorgen","1985","Hauptschule","2887","0.440342451402042","0.428121805062695","0.452563097741389"
"Einige Sorgen","1985","Realschule","852","0.469538307586906","0.446431411209804","0.492645203964009"
"Grosse Sorgen","1985","(Fach-)Abitur","187","0.204921011665681","0.176684460763479","0.233157562567884"
"Grosse Sorgen","1985","(noch) kein Abschluss","276","0.245123328738388","0.219215534699502","0.271031122777274"
"Grosse Sorgen","1985","AkademikerIn","81","0.10587802897911","0.0838137826464739","0.127942275311745"
