year,bula_h,pgisced97,plh0042,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Upper Secondary Level,Somewhat concerned,0.33638,48,117,0.25040,0.42236
1984,Schleswig-Holstein,Upper Secondary Level,Not concerned at all,0.48235,69,117,0.39142,0.57329
1984,Hamburg,Upper Secondary Level,Not concerned at all,0.59082,48,48,0.45025,0.73139
1984,Lower Saxony,Lower Secondary Level,Very concerned,0.24450,37,137,0.17226,0.31673
1984,Lower Saxony,Lower Secondary Level,Somewhat concerned,0.29380,39,137,0.21725,0.37036
1984,Lower Saxony,Lower Secondary Level,Not concerned at all,0.46170,61,137,0.37791,0.54549
1984,Lower Saxony,Upper Secondary Level,Very concerned,0.22040,78,347,0.17673,0.26408
1984,Lower Saxony,Upper Secondary Level,Somewhat concerned,0.33210,112,347,0.28248,0.38173
1984,Lower Saxony,Upper Secondary Level,Not concerned at all,0.44749,157,347,0.39510,0.49989
1984,Lower Saxony,Second Stage of Tertiary Education,Not concerned at all,0.77422,46,46,0.65206,0.89638
1984,North Rhine-Westphalia,Primary Level,Very concerned,0.33017,48,148,0.25414,0.40619
1984,North Rhine-Westphalia,Primary Level,Somewhat concerned,0.38290,56,148,0.30432,0.46148
1984,North Rhine-Westphalia,Primary Level,Not concerned at all,0.28693,44,148,0.21381,0.36005
1984,North Rhine-Westphalia,Lower Secondary Level,Very concerned,0.28314,116,385,0.23808,0.32820
1984,North Rhine-Westphalia,Lower Secondary Level,Somewhat concerned,0.30294,129,385,0.25698,0.34890
1984,North Rhine-Westphalia,Lower Secondary Level,Not concerned at all,0.41392,140,385,0.36466,0.46319
1984,North Rhine-Westphalia,Upper Secondary Level,Very concerned,0.20107,181,851,0.17413,0.22802
1984,North Rhine-Westphalia,Upper Secondary Level,Somewhat concerned,0.30143,255,851,0.27058,0.33228
1984,North Rhine-Westphalia,Upper Secondary Level,Not concerned at all,0.49750,415,851,0.46388,0.53111
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Not concerned at all,0.62986,59,59,0.50560,0.75413
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Somewhat concerned,0.22624,39,163,0.16181,0.29067
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Not concerned at all,0.70128,124,163,0.63080,0.77176
1984,Hesse,Lower Secondary Level,Very concerned,0.17472,46,167,0.11695,0.23248
1984,Hesse,Lower Secondary Level,Somewhat concerned,0.27379,40,167,0.20595,0.34162
1984,Hesse,Lower Secondary Level,Not concerned at all,0.55150,81,167,0.47584,0.62715
1984,Hesse,Upper Secondary Level,Very concerned,0.14814,58,359,0.11134,0.18494
1984,Hesse,Upper Secondary Level,Somewhat concerned,0.28892,108,359,0.24197,0.33588
1984,Hesse,Upper Secondary Level,Not concerned at all,0.56294,193,359,0.51156,0.61432
1984,Hesse,Second Stage of Tertiary Education,Not concerned at all,0.77051,43,43,0.64333,0.89768
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Somewhat concerned,0.32011,37,76,0.21453,0.42569
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not concerned at all,0.46155,39,76,0.34872,0.57437
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very concerned,0.13368,34,233,0.08989,0.17747
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Somewhat concerned,0.36653,84,233,0.30452,0.42853
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not concerned at all,0.49980,115,233,0.43546,0.56414
1984,Baden-Wuerttemberg,Primary Level,Very concerned,0.21327,39,167,0.15096,0.27558
1984,Baden-Wuerttemberg,Primary Level,Somewhat concerned,0.40218,62,167,0.32759,0.47677
1984,Baden-Wuerttemberg,Primary Level,Not concerned at all,0.38455,66,167,0.31054,0.45856
1984,Baden-Wuerttemberg,Lower Secondary Level,Very concerned,0.18516,80,362,0.14509,0.22523
1984,Baden-Wuerttemberg,Lower Secondary Level,Somewhat concerned,0.35949,132,362,0.30999,0.40899
1984,Baden-Wuerttemberg,Lower Secondary Level,Not concerned at all,0.45534,150,362,0.40397,0.50672
1984,Baden-Wuerttemberg,Upper Secondary Level,Very concerned,0.12333,95,635,0.09773,0.14892
1984,Baden-Wuerttemberg,Upper Secondary Level,Somewhat concerned,0.31020,198,635,0.27419,0.34620
1984,Baden-Wuerttemberg,Upper Secondary Level,Not concerned at all,0.56648,342,635,0.52790,0.60505
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,Not concerned at all,0.61653,44,44,0.47120,0.76186
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not concerned at all,0.71068,65,65,0.59959,0.82178
1984,Bavaria,Lower Secondary Level,Very concerned,0.23688,68,273,0.18635,0.28740
1984,Bavaria,Lower Secondary Level,Somewhat concerned,0.31689,93,273,0.26160,0.37218
1984,Bavaria,Lower Secondary Level,Not concerned at all,0.44623,112,273,0.38716,0.50531
1984,Bavaria,Upper Secondary Level,Very concerned,0.13783,92,610,0.11045,0.16521
