,Unnamed: 0,year,sampreg,plh0042,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,West,Very concerned,0.16986,1345,6747,0.16278,0.17491
1,1,1984,West,Somewhat concerned,0.30764,2130,6747,0.30074,0.31516
2,2,1984,West,Not concerned at all,0.5225,3272,6747,0.51184,0.53265
3,3,1985,West,Very concerned,0.1196,875,6094,0.11412,0.12442
4,4,1985,West,Somewhat concerned,0.29118,1873,6094,0.28301,0.2998
5,5,1985,West,Not concerned at all,0.58922,3346,6094,0.57955,0.59875
6,6,1986,West,Very concerned,0.12239,850,5841,0.11687,0.12832
7,7,1986,West,Somewhat concerned,0.28661,1765,5841,0.27829,0.2956
8,8,1986,West,Not concerned at all,0.591,3226,5841,0.58068,0.60142
9,9,1987,West,Very concerned,0.10028,713,5928,0.0954,0.10618
10,10,1987,West,Somewhat concerned,0.31825,1974,5928,0.30915,0.32756
11,11,1987,West,Not concerned at all,0.58147,3241,5928,0.57048,0.59202
12,12,1988,West,Very concerned,0.11943,815,5622,0.11284,0.12558
13,13,1988,West,Somewhat concerned,0.33387,1926,5622,0.32498,0.34487
14,14,1988,West,Not concerned at all,0.5467,2881,5622,0.53654,0.55861
15,15,1989,West,Very concerned,0.0741,505,5542,0.06885,0.0789
16,16,1989,West,Somewhat concerned,0.28071,1673,5542,0.27076,0.29041
17,17,1989,West,Not concerned at all,0.64519,3364,5542,0.63358,0.65671
18,18,1990,West,Very concerned,0.08077,538,8778,0.07607,0.08703
19,19,1990,West,Somewhat concerned,0.2804,1646,8778,0.27091,0.29036
20,20,1990,West,Not concerned at all,0.63883,3229,8778,0.62646,0.6519
21,21,1990,East,Very concerned,0.381,1296,8778,0.37318,0.38921
22,22,1990,East,Somewhat concerned,0.43387,1462,8778,0.4241,0.44457
23,23,1990,East,Not concerned at all,0.18514,607,8778,0.17835,0.19179
24,24,1991,West,Very concerned,0.05732,397,8343,0.0536,0.06222
25,25,1991,West,Somewhat concerned,0.23988,1462,8343,0.23198,0.24839
26,26,1991,West,Not concerned at all,0.7028,3756,8343,0.68682,0.71751
27,27,1991,East,Very concerned,0.47086,1241,8343,0.45856,0.48475
28,28,1991,East,Somewhat concerned,0.35254,996,8343,0.34168,0.36323
29,29,1991,East,Not concerned at all,0.1766,491,8343,0.16783,0.18566
30,30,1992,West,Very concerned,0.08625,585,7812,0.08027,0.0922
31,31,1992,West,Somewhat concerned,0.29676,1713,7812,0.28457,0.30773
32,32,1992,West,Not concerned at all,0.61699,3189,7812,0.60405,0.62969
33,33,1992,East,Very concerned,0.36479,833,7812,0.34888,0.37665
34,34,1992,East,Somewhat concerned,0.40421,958,7812,0.38919,0.41521
35,35,1992,East,Not concerned at all,0.23101,534,7812,0.22164,0.24171
36,36,1993,West,Very concerned,0.07924,511,7587,0.07395,0.08472
37,37,1993,West,Somewhat concerned,0.29405,1667,7587,0.28512,0.30445
38,38,1993,West,Not concerned at all,0.62671,3243,7587,0.61027,0.64104
39,39,1993,East,Very concerned,0.23631,503,7587,0.226,0.24466
40,40,1993,East,Somewhat concerned,0.44899,988,7587,0.43635,0.46354
41,41,1993,East,Not concerned at all,0.3147,675,7587,0.30262,0.32789
42,42,1994,West,Very concerned,0.10367,615,7367,0.09735,0.1094
43,43,1994,West,Somewhat concerned,0.33585,1850,7367,0.32431,0.34513
44,44,1994,West,Not concerned at all,0.56048,2762,7367,0.54613,0.57516
45,45,1994,East,Very concerned,0.22061,470,7367,0.21089,0.23125
46,46,1994,East,Somewhat concerned,0.49708,1086,7367,0.47746,0.5126
47,47,1994,East,Not concerned at all,0.28231,584,7367,0.27091,0.29652
48,48,1995,West,Very concerned,0.10479,681,8016,0.09732,0.11067
49,49,1995,West,Somewhat concerned,0.32519,1988,8016,0.31436,0.33563
50,50,1995,West,Not concerned at all,0.57001,3122,8016,0.55766,0.58348
51,51,1995,East,Very concerned,0.24726,556,8016,0.23403,0.25841
52,52,1995,East,Somewhat concerned,0.44865,1013,8016,0.4334,0.46673
53,53,1995,East,Not concerned at all,0.30409,656,8016,0.288,0.31965
54,54,1996,West,Very concerned,0.09582,601,7765,0.09001,0.10306
55,55,1996,West,Somewhat concerned,0.33306,1917,7765,0.32113,0.34641
56,56,1996,West,Not concerned at all,0.57112,3089,7765,0.55733,0.58329
