"plh0042","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","16-34 Jahre alt","maennlich","355","0.196399677488685","0.176939676347904","0.215859678629465"
"Grosse Sorgen","1984","16-34 Jahre alt","weiblich","217","0.15494030493106","0.134390007697689","0.175490602164431"
"Grosse Sorgen","1984","35-65 Jahre alt","maennlich","549","0.178269868143674","0.163661671581877","0.192878064705471"
"Grosse Sorgen","1984","35-65 Jahre alt","weiblich","233","0.141334250781845","0.122654088601361","0.160014412962328"
"Grosse Sorgen","1984","66 und älter","maennlich","","","",""
"Grosse Sorgen","1984","66 und älter","weiblich","","","",""
"Einige Sorgen","1984","16-34 Jahre alt","maennlich","549","0.337979802473792","0.314809408478201","0.361150196469384"
"Einige Sorgen","1984","16-34 Jahre alt","weiblich","378","0.312714347011331","0.28638532347752","0.339043370545142"
"Einige Sorgen","1984","35-65 Jahre alt","maennlich","829","0.304329348294596","0.286767638945624","0.321891057643569"
"Einige Sorgen","1984","35-65 Jahre alt","weiblich","391","0.285770154524809","0.261544679937842","0.309995629111776"
"Einige Sorgen","1984","66 und älter","maennlich","","","",""
"Einige Sorgen","1984","66 und älter","weiblich","","","",""
"Keine Sorgen","1984","16-34 Jahre alt","maennlich","697","0.465620520037523","0.441186587675379","0.490054452399668"
"Keine Sorgen","1984","16-34 Jahre alt","weiblich","596","0.532345348057609","0.504008498053004","0.560682198062215"
"Keine Sorgen","1984","35-65 Jahre alt","maennlich","1259","0.51740078356173","0.498328623916072","0.536472943207387"
"Keine Sorgen","1984","35-65 Jahre alt","weiblich","712","0.572895594693346","0.546370946721049","0.599420242665643"
"Keine Sorgen","1984","66 und älter","maennlich","","","",""
"Keine Sorgen","1984","66 und älter","weiblich","","","",""
"Grosse Sorgen","1985","16-34 Jahre alt","maennlich","227","0.127415630473233","0.11018172460899","0.144649536337476"
"Grosse Sorgen","1985","16-34 Jahre alt","weiblich","152","0.129397399924805","0.109389200893411","0.149405598956199"
"Grosse Sorgen","1985","35-65 Jahre alt","maennlich","376","0.137235827571073","0.123276083091538","0.151195572050608"
"Grosse Sorgen","1985","35-65 Jahre alt","weiblich","130","0.0773367312776401","0.0625164884254967","0.0921569741297835"
"Grosse Sorgen","1985","66 und älter","maennlich","","","",""
"Grosse Sorgen","1985","66 und älter","weiblich","","","",""
"Einige Sorgen","1985","16-34 Jahre alt","maennlich","488","0.323191211043161","0.299018163075099","0.347364259011223"
"Einige Sorgen","1985","16-34 Jahre alt","weiblich","330","0.29478897799552","0.267608918034328","0.321969037956712"
"Einige Sorgen","1985","35-65 Jahre alt","maennlich","695","0.279079210881968","0.260881985125041","0.297276436638894"
"Einige Sorgen","1985","35-65 Jahre alt","weiblich","372","0.284415177644806","0.259385933021973","0.309444422267638"
"Einige Sorgen","1985","66 und älter","maennlich","","","",""
"Einige Sorgen","1985","66 und älter","weiblich","","","",""
"Keine Sorgen","1985","16-34 Jahre alt","maennlich","723","0.549393158483606","0.523676818300791","0.575109498666421"
"Keine Sorgen","1985","16-34 Jahre alt","weiblich","599","0.575813622079675","0.546352141371933","0.605275102787418"
"Keine Sorgen","1985","35-65 Jahre alt","maennlich","1263","0.583684961546959","0.563686436480415","0.603683486613502"
"Keine Sorgen","1985","35-65 Jahre alt","weiblich","746","0.638248091077554","0.611589267758624","0.664906914396484"
"Keine Sorgen","1985","66 und älter","maennlich","","","",""
"Keine Sorgen","1985","66 und älter","weiblich","","","",""
"Grosse Sorgen","1986","16-34 Jahre alt","maennlich","224","0.138508700764983","0.120542018215643","0.156475383314324"
"Grosse Sorgen","1986","16-34 Jahre alt","weiblich","153","0.126053148178831","0.106175146860631","0.145931149497032"
"Grosse Sorgen","1986","35-65 Jahre alt","maennlich","332","0.123571778121771","0.109779324750476","0.137364231493066"
"Grosse Sorgen","1986","35-65 Jahre alt","weiblich","143","0.100782814230271","0.0835772083685845","0.117988420091957"
"Grosse Sorgen","1986","66 und älter","maennlich","","","",""
"Grosse Sorgen","1986","66 und älter","weiblich","","","",""
"Einige Sorgen","1986","16-34 Jahre alt","maennlich","454","0.307567386959022","0.283564536599632","0.331570237318413"
"Einige Sorgen","1986","16-34 Jahre alt","weiblich","322","0.294263667131039","0.266971192501622","0.321556141760456"
"Einige Sorgen","1986","35-65 Jahre alt","maennlich","683","0.298180926732876","0.279008538574693","0.317353314891058"
"Einige Sorgen","1986","35-65 Jahre alt","weiblich","314","0.242272508929079","0.217784525617083","0.266760492241074"
"Einige Sorgen","1986","66 und älter","maennlich","","","",""
"Einige Sorgen","1986","66 und älter","weiblich","","","",""
"Keine Sorgen","1986","16-34 Jahre alt","maennlich","742","0.553923912275994","0.528069572785416","0.579778251766572"
"Keine Sorgen","1986","16-34 Jahre alt","weiblich","596","0.579683184690129","0.550120961647782","0.609245407732477"
"Keine Sorgen","1986","35-65 Jahre alt","maennlich","1172","0.578247295145353","0.557550197778214","0.598944392512492"
"Keine Sorgen","1986","35-65 Jahre alt","weiblich","719","0.656944676840651","0.62981210819629","0.684077245485012"
"Keine Sorgen","1986","66 und älter","maennlich","","","",""
"Keine Sorgen","1986","66 und älter","weiblich","","","",""
"Grosse Sorgen","1987","16-34 Jahre alt","maennlich","177","0.0987150723615824","0.0834410976597731","0.113989047063392"
"Grosse Sorgen","1987","16-34 Jahre alt","weiblich","140","0.102744798650108","0.084586135794778","0.120903461505437"
"Grosse Sorgen","1987","35-65 Jahre alt","maennlich","272","0.108311419519276","0.0952176953145524","0.121405143724"
"Grosse Sorgen","1987","35-65 Jahre alt","weiblich","129","0.0899693695485284","0.073952479299496","0.105986259797561"
"Grosse Sorgen","1987","66 und älter","maennlich","","","",""
"Grosse Sorgen","1987","66 und älter","weiblich","","","",""
"Einige Sorgen","1987","16-34 Jahre alt","maennlich","527","0.339775628155143","0.31552230984153","0.364028946468757"
"Einige Sorgen","1987","16-34 Jahre alt","weiblich","372","0.335683827821868","0.307441624694637","0.363926030949099"
"Einige Sorgen","1987","35-65 Jahre alt","maennlich","712","0.315503661614832","0.295923907689249","0.335083415540415"
"Einige Sorgen","1987","35-65 Jahre alt","weiblich","367","0.290736773342053","0.265317884568082","0.316155662116025"
"Einige Sorgen","1987","66 und älter","maennlich","","","",""
"Einige Sorgen","1987","66 und älter","weiblich","","","",""
"Keine Sorgen","1987","16-34 Jahre alt","maennlich","761","0.561509299483274","0.53610027750092","0.586918321465629"
"Keine Sorgen","1987","16-34 Jahre alt","weiblich","562","0.561571373528024","0.53189588464204","0.591246862414009"
"Keine Sorgen","1987","35-65 Jahre alt","maennlich","1180","0.576184918865892","0.555364540886724","0.597005296845059"
"Keine Sorgen","1987","35-65 Jahre alt","weiblich","730","0.619293857109418","0.592114061643863","0.646473652574974"
"Keine Sorgen","1987","66 und älter","maennlich","","","",""
"Keine Sorgen","1987","66 und älter","weiblich","","","",""
"Grosse Sorgen","1988","16-34 Jahre alt","maennlich","225","0.1317744732208","0.114087975254192","0.149460971187407"
"Grosse Sorgen","1988","16-34 Jahre alt","weiblich","138","0.106053709074847","0.0871671055148281","0.124940312634865"
"Grosse Sorgen","1988","35-65 Jahre alt","maennlich","313","0.128108500957083","0.113541246322162","0.142675755592004"
"Grosse Sorgen","1988","35-65 Jahre alt","weiblich","144","0.106101803815928","0.0884627592459607","0.123740848385895"
"Grosse Sorgen","1988","66 und älter","maennlich","","","",""
"Grosse Sorgen","1988","66 und älter","weiblich","","","",""
"Einige Sorgen","1988","16-34 Jahre alt","maennlich","502","0.352625488421199","0.327642489027223","0.377608487815175"
"Einige Sorgen","1988","16-34 Jahre alt","weiblich","342","0.319632584737765","0.291028207542929","0.348236961932601"
"Einige Sorgen","1988","35-65 Jahre alt","maennlich","705","0.344658610228643","0.323943565254259","0.365373655203027"
"Einige Sorgen","1988","35-65 Jahre alt","weiblich","382","0.315767957388767","0.289145056427891","0.342390858349643"
"Einige Sorgen","1988","66 und älter","maennlich","","","",""
"Einige Sorgen","1988","66 und älter","weiblich","","","",""
"Keine Sorgen","1988","16-34 Jahre alt","maennlich","678","0.515600038358001","0.48946829108059","0.541731785635413"
"Keine Sorgen","1988","16-34 Jahre alt","weiblich","541","0.574313706187389","0.543984946915411","0.604642465459366"
"Keine Sorgen","1988","35-65 Jahre alt","maennlich","1004","0.527232888814274","0.505471711357642","0.548994066270906"
"Keine Sorgen","1988","35-65 Jahre alt","weiblich","645","0.578130238795305","0.549844229171365","0.606416248419246"
"Keine Sorgen","1988","66 und älter","maennlich","","","",""
"Keine Sorgen","1988","66 und älter","weiblich","","","",""
"Grosse Sorgen","1989","16-34 Jahre alt","maennlich","127","0.0580661419248051","0.0458286915083683","0.0703035923412419"
"Grosse Sorgen","1989","16-34 Jahre alt","weiblich","95","0.0735196907004119","0.0576807596136756","0.0893586217871482"
"Grosse Sorgen","1989","35-65 Jahre alt","maennlich","184","0.0840242433287925","0.0716887652617662","0.0963597213958188"
"Grosse Sorgen","1989","35-65 Jahre alt","weiblich","99","0.0776683332700041","0.0621992447942982","0.0931374217457099"
"Grosse Sorgen","1989","66 und älter","maennlich","","","",""
"Grosse Sorgen","1989","66 und älter","weiblich","","","",""
"Einige Sorgen","1989","16-34 Jahre alt","maennlich","453","0.310336567962477","0.286128823209674","0.33454431271528"
"Einige Sorgen","1989","16-34 Jahre alt","weiblich","323","0.292750439352947","0.2651356930481","0.320365185657793"
"Einige Sorgen","1989","35-65 Jahre alt","maennlich","586","0.281415592576001","0.261420442698291","0.301410742453711"
"Einige Sorgen","1989","35-65 Jahre alt","weiblich","319","0.242773490703441","0.217992839948742","0.267554141458141"
"Einige Sorgen","1989","66 und älter","maennlich","","","",""
"Einige Sorgen","1989","66 und älter","weiblich","","","",""
"Keine Sorgen","1989","16-34 Jahre alt","maennlich","823","0.631597290112718","0.606356625127478","0.656837955097958"
"Keine Sorgen","1989","16-34 Jahre alt","weiblich","625","0.633729869946641","0.604491121635405","0.662968618257878"
"Keine Sorgen","1989","35-65 Jahre alt","maennlich","1173","0.634560164095207","0.613148223158422","0.655972105031991"
"Keine Sorgen","1989","35-65 Jahre alt","weiblich","732","0.679558176026555","0.652587794542675","0.706528557510435"
"Keine Sorgen","1989","66 und älter","maennlich","","","",""
"Keine Sorgen","1989","66 und älter","weiblich","","","",""
"Grosse Sorgen","1990","16-34 Jahre alt","maennlich","405","0.150933399587628","0.135511904705901","0.166354894469354"
"Grosse Sorgen","1990","16-34 Jahre alt","weiblich","370","0.145160555315786","0.128370857702736","0.161950252928835"
"Grosse Sorgen","1990","35-65 Jahre alt","maennlich","579","0.155067529387576","0.141934138171827","0.168200920603325"
"Grosse Sorgen","1990","35-65 Jahre alt","weiblich","483","0.168793902139532","0.152723764243743","0.184864040035321"
"Grosse Sorgen","1990","66 und älter","maennlich","","","",""
"Grosse Sorgen","1990","66 und älter","weiblich","","","",""
"Einige Sorgen","1990","16-34 Jahre alt","maennlich","719","0.307788633429585","0.287904412942164","0.327672853917006"
"Einige Sorgen","1990","16-34 Jahre alt","weiblich","581","0.321652786492235","0.299389156845858","0.343916416138612"
"Einige Sorgen","1990","35-65 Jahre alt","maennlich","1083","0.330851796017359","0.313779837223784","0.347923754810934"
"Einige Sorgen","1990","35-65 Jahre alt","weiblich","728","0.309604241096824","0.289768913640909","0.329439568552738"
"Einige Sorgen","1990","66 und älter","maennlich","","","",""
"Einige Sorgen","1990","66 und älter","weiblich","","","",""
"Keine Sorgen","1990","16-34 Jahre alt","maennlich","946","0.541277966982787","0.519812126727425","0.56274380723815"
"Keine Sorgen","1990","16-34 Jahre alt","weiblich","740","0.53318665819198","0.509407988508719","0.556965327875241"
