"plh0042","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","16-34 Jahre alt","kein Migrationshintergrund","311","0.165048395476089","0.148395819185238","0.18170097176694"
"Grosse Sorgen","1984","16-34 Jahre alt","direkter Migrationshintergrund","251","0.299442779810578","0.26833963374215","0.330545925879006"
"Grosse Sorgen","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","kein Migrationshintergrund","386","0.153182733976051","0.139295952648938","0.167069515303165"
"Grosse Sorgen","1984","35-65 Jahre alt","direkter Migrationshintergrund","394","0.253663818365147","0.23066564979781","0.276661986932485"
"Grosse Sorgen","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","66 und älter","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","16-34 Jahre alt","kein Migrationshintergrund","617","0.324790025086634","0.303782935236923","0.345797114936345"
"Einige Sorgen","1984","16-34 Jahre alt","direkter Migrationshintergrund","290","0.339622405131115","0.307462117666444","0.371782692595786"
"Einige Sorgen","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","35-65 Jahre alt","kein Migrationshintergrund","765","0.291727577301041","0.274201256963458","0.309253897638624"
"Einige Sorgen","1984","35-65 Jahre alt","direkter Migrationshintergrund","450","0.335368127474139","0.310413665143366","0.360322589804913"
"Einige Sorgen","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1984","66 und älter","kein Migrationshintergrund","","","",""
"Einige Sorgen","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","16-34 Jahre alt","kein Migrationshintergrund","981","0.510161579437277","0.487736942306727","0.532586216567827"
"Keine Sorgen","1984","16-34 Jahre alt","direkter Migrationshintergrund","292","0.360934815058307","0.328320177451733","0.393549452664882"
"Keine Sorgen","1984","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","35-65 Jahre alt","kein Migrationshintergrund","1433","0.555089688722907","0.535928623379628","0.574250754066187"
"Keine Sorgen","1984","35-65 Jahre alt","direkter Migrationshintergrund","531","0.410968054160713","0.384962255338576","0.43697385298285"
"Keine Sorgen","1984","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1984","66 und älter","kein Migrationshintergrund","","","",""
"Keine Sorgen","1984","66 und älter","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1984","66 und älter","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","16-34 Jahre alt","kein Migrationshintergrund","210","0.119159869796609","0.104045526147678","0.13427421344554"
"Grosse Sorgen","1985","16-34 Jahre alt","direkter Migrationshintergrund","162","0.211352335105564","0.181107995421833","0.241596674789295"
"Grosse Sorgen","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","35-65 Jahre alt","kein Migrationshintergrund","249","0.104292443158189","0.0920415474487842","0.116543338867593"
"Grosse Sorgen","1985","35-65 Jahre alt","direkter Migrationshintergrund","255","0.200258325851815","0.17744390192863","0.223072749775001"
"Grosse Sorgen","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","66 und älter","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1985","16-34 Jahre alt","kein Migrationshintergrund","520","0.299189410922794","0.277827053697594","0.320551768147995"
"Einige Sorgen","1985","16-34 Jahre alt","direkter Migrationshintergrund","283","0.423544198469258","0.386939954030834","0.460148442907683"
"Einige Sorgen","1985","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1985","35-65 Jahre alt","kein Migrationshintergrund","655","0.274323108348406","0.256439253086535","0.292206963610277"
"Einige Sorgen","1985","35-65 Jahre alt","direkter Migrationshintergrund","410","0.329970727056422","0.303165224857627","0.356776229255218"
"Einige Sorgen","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1985","66 und älter","kein Migrationshintergrund","","","",""
"Einige Sorgen","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1985","16-34 Jahre alt","kein Migrationshintergrund","1035","0.581650719280596","0.558637552535668","0.604663886025524"
"Keine Sorgen","1985","16-34 Jahre alt","direkter Migrationshintergrund","255","0.365103466425178","0.329437127917408","0.400769804932947"
"Keine Sorgen","1985","16-34 Jahre alt","indirekter Migrationshintergrund","32","0.709633174136973","0.588561746200635","0.830704602073311"
"Keine Sorgen","1985","35-65 Jahre alt","kein Migrationshintergrund","1487","0.621384448493405","0.601942592715698","0.640826304271113"
"Keine Sorgen","1985","35-65 Jahre alt","direkter Migrationshintergrund","517","0.469770947091762","0.441318856020292","0.498223038163233"
"Keine Sorgen","1985","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1985","66 und älter","kein Migrationshintergrund","","","",""
"Keine Sorgen","1985","66 und älter","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1985","66 und älter","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1986","16-34 Jahre alt","kein Migrationshintergrund","223","0.12367113277727","0.108286650008662","0.139055615545878"
"Grosse Sorgen","1986","16-34 Jahre alt","direkter Migrationshintergrund","141","0.21685950747557","0.185490527260489","0.248228487690651"
"Grosse Sorgen","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1986","35-65 Jahre alt","kein Migrationshintergrund","227","0.105402955157152","0.0925451445183066","0.118260765795998"
"Grosse Sorgen","1986","35-65 Jahre alt","direkter Migrationshintergrund","246","0.181571870972978","0.159369039146438","0.203774702799517"
"Grosse Sorgen","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1986","66 und älter","kein Migrationshintergrund","","","",""
"Grosse Sorgen","1986","66 und älter","direkter Migrationshintergrund","","","",""
"Grosse Sorgen","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1986","16-34 Jahre alt","kein Migrationshintergrund","503","0.291734762227584","0.270492184041839","0.312977340413329"
"Einige Sorgen","1986","16-34 Jahre alt","direkter Migrationshintergrund","256","0.388986555491699","0.351877149252795","0.426095961730603"
"Einige Sorgen","1986","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1986","35-65 Jahre alt","kein Migrationshintergrund","591","0.272584483616767","0.253939210557673","0.291229756675862"
"Einige Sorgen","1986","35-65 Jahre alt","direkter Migrationshintergrund","402","0.31343226715518","0.286714057234208","0.340150477076153"
"Einige Sorgen","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Einige Sorgen","1986","66 und älter","kein Migrationshintergrund","","","",""
"Einige Sorgen","1986","66 und älter","direkter Migrationshintergrund","","","",""
"Einige Sorgen","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1986","16-34 Jahre alt","kein Migrationshintergrund","1033","0.584594104995146","0.561564912245034","0.607623297745259"
"Keine Sorgen","1986","16-34 Jahre alt","direkter Migrationshintergrund","266","0.394153937032731","0.356957151878696","0.431350722186766"
"Keine Sorgen","1986","16-34 Jahre alt","indirekter Migrationshintergrund","39","0.486397164360713","0.368464864165146","0.60432946455628"
"Keine Sorgen","1986","35-65 Jahre alt","kein Migrationshintergrund","1373","0.62201256122608","0.601709329861263","0.642315792590898"
"Keine Sorgen","1986","35-65 Jahre alt","direkter Migrationshintergrund","510","0.504995861871842","0.476199200741956","0.533792523001728"
"Keine Sorgen","1986","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Keine Sorgen","1986","66 und älter","kein Migrationshintergrund","","","",""
"Keine Sorgen","1986","66 und älter","direkter Migrationshintergrund","","","",""
"Keine Sorgen","1986","66 und älter","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1987","16-34 Jahre alt","kein Migrationshintergrund","185","0.0945076626920474","0.0810197447300808","0.107995580654014"
"Grosse Sorgen","1987","16-34 Jahre alt","direkter Migrationshintergrund","119","0.156532343225074","0.128769022863109","0.18429566358704"
"Grosse Sorgen","1987","16-34 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1987","35-65 Jahre alt","kein Migrationshintergrund","205","0.0916652691051322","0.0796863281100794","0.103644210100185"
"Grosse Sorgen","1987","35-65 Jahre alt","direkter Migrationshintergrund","194","0.164303659288785","0.142849887803457","0.185757430774113"
"Grosse Sorgen","1987","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Grosse Sorgen","1987","66 und älter","kein Migrationshintergrund","","","",""
