"plh0042","year","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Einige Sorgen","1984","maennlich","1364","0.315026542465016","0.301002935016098","0.329050149913934"
"Einige Sorgen","1984","weiblich","766","0.295791823863173","0.278014767289086","0.31356888043726"
"Grosse Sorgen","1984","maennlich","896","0.184279563626837","0.172574910152857","0.195984217100818"
"Grosse Sorgen","1984","weiblich","449","0.146695287783907","0.132914425457571","0.160476150110243"
"Keine Sorgen","1984","maennlich","1955","0.500693893908147","0.48559938848914","0.515788399327154"
"Keine Sorgen","1984","weiblich","1317","0.55751288835292","0.538166762488552","0.576859014217289"
"Einige Sorgen","1985","maennlich","1173","0.294117372077263","0.279549494320136","0.308685249834389"
"Einige Sorgen","1985","weiblich","700","0.286700284722746","0.268361871300825","0.305038698144668"
"Grosse Sorgen","1985","maennlich","594","0.131796155808633","0.1209810212567","0.142611290360565"
"Grosse Sorgen","1985","weiblich","281","0.101048008415469","0.0888259656105025","0.113270051220435"
"Keine Sorgen","1985","maennlich","1991","0.574086472114105","0.558276937822424","0.589896006405785"
"Keine Sorgen","1985","weiblich","1355","0.612251706861785","0.592493313770025","0.632010099953545"
"Einige Sorgen","1986","maennlich","1130","0.299905467810873","0.284926938333104","0.314883997288643"
"Einige Sorgen","1986","weiblich","635","0.266263381899032","0.247983683168901","0.284543080629163"
"Grosse Sorgen","1986","maennlich","553","0.128597535224478","0.11765483862449","0.139540231824466"
"Grosse Sorgen","1986","weiblich","297","0.11287915698706","0.0997921153150264","0.125966198659093"
"Keine Sorgen","1986","maennlich","1912","0.571496996964649","0.555320571726019","0.587673422203279"
"Keine Sorgen","1986","weiblich","1314","0.620857461113908","0.600792402887836","0.64092251933998"
"Einige Sorgen","1987","maennlich","1235","0.323509667861801","0.308282868675315","0.338736467048287"
"Einige Sorgen","1987","weiblich","739","0.310323785499525","0.291425361531945","0.329222209467105"
"Grosse Sorgen","1987","maennlich","446","0.103813154458393","0.093885202488191","0.113741106428596"
"Grosse Sorgen","1987","weiblich","267","0.0950482184642979","0.0830675750680274","0.107028861860568"
"Keine Sorgen","1987","maennlich","1945","0.572677177679805","0.556575646655195","0.588778708704416"
"Keine Sorgen","1987","weiblich","1296","0.594627996036177","0.574571965432929","0.614684026639426"
"Einige Sorgen","1988","maennlich","1205","0.346331732405255","0.330404052164401","0.362259412646109"
"Einige Sorgen","1988","weiblich","721","0.315203189375015","0.295762755851172","0.334643622898859"
"Grosse Sorgen","1988","maennlich","534","0.128556776514187","0.117352218746724","0.13976133428165"
"Grosse Sorgen","1988","weiblich","281","0.105761828904516","0.0928935383718628","0.118630119437169"
"Keine Sorgen","1988","maennlich","1689","0.525111491080558","0.508394840069805","0.541828142091312"
"Keine Sorgen","1988","weiblich","1192","0.579034981720469","0.55837617729098","0.599693786149958"
"Einige Sorgen","1989","maennlich","1035","0.291362530818813","0.275970912942146","0.30675414869548"
"Einige Sorgen","1989","weiblich","638","0.265007629582941","0.246540458031655","0.283474801134228"
"Grosse Sorgen","1989","maennlich","311","0.0731166526880646","0.0642985316307471","0.0819347737453821"
"Grosse Sorgen","1989","weiblich","194","0.0755439641975175","0.0644860606882532","0.0866018677067818"
"Keine Sorgen","1989","maennlich","2002","0.635520816493122","0.619218225934316","0.651823407051929"
"Keine Sorgen","1989","weiblich","1362","0.659448406219541","0.639618911432816","0.679277901006266"
"Einige Sorgen","1990","maennlich","1797","0.320607842581078","0.307659873860671","0.333555811301485"
"Einige Sorgen","1990","weiblich","1311","0.314241875156985","0.299456990247029","0.329026760066941"
"Grosse Sorgen","1990","maennlich","983","0.151853438431965","0.141897044440671","0.16180983242326"
"Grosse Sorgen","1990","weiblich","851","0.157313972520533","0.145717738157369","0.168910206883696"
"Keine Sorgen","1990","maennlich","2211","0.527538718986957","0.513688246533575","0.541389191440338"
"Keine Sorgen","1990","weiblich","1625","0.528444152322482","0.512545271492954","0.54434303315201"
"Einige Sorgen","1991","maennlich","1467","0.275878957942974","0.263243938857655","0.288513977028294"
"Einige Sorgen","1991","weiblich","991","0.248793728535137","0.234544502370061","0.263042954700213"
"Grosse Sorgen","1991","maennlich","867","0.139108094025312","0.129325330798405","0.148890857252219"
"Grosse Sorgen","1991","weiblich","771","0.160198500450771","0.148108967897796","0.172288033003745"
"Keine Sorgen","1991","maennlich","2473","0.585012948031714","0.571084233347543","0.598941662715884"
"Keine Sorgen","1991","weiblich","1774","0.591007771014092","0.574802881039148","0.607212660989037"
"Einige Sorgen","1992","maennlich","1622","0.335932359302404","0.322132523683581","0.349732194921227"
"Einige Sorgen","1992","weiblich","1049","0.292229984057254","0.276741411511969","0.307718556602539"
"Grosse Sorgen","1992","maennlich","765","0.134696443018027","0.124721644266432","0.144671241769622"
"Grosse Sorgen","1992","weiblich","653","0.149684784170056","0.137534631640423","0.161834936699689"
"Keine Sorgen","1992","maennlich","2113","0.529371197679569","0.514787715360752","0.543954679998386"
"Keine Sorgen","1992","weiblich","1610","0.55808523177269","0.541172161639099","0.574998301906282"
"Einige Sorgen","1993","maennlich","1580","0.340748203121924","0.326689389497326","0.354807016746521"
"Einige Sorgen","1993","weiblich","1075","0.298951009015956","0.283141189041041","0.314760828990871"
"Grosse Sorgen","1993","maennlich","601","0.115198436132583","0.10572838208074","0.124668490184426"
"Grosse Sorgen","1993","weiblich","413","0.100257826228722","0.0898856255807097","0.110630026876735"
"Keine Sorgen","1993","maennlich","2185","0.544053360745493","0.529279840778237","0.558826880712749"
"Keine Sorgen","1993","weiblich","1733","0.600791164755322","0.583878401506291","0.617703928004352"
"Einige Sorgen","1994","maennlich","1714","0.381365364244416","0.366668723069959","0.396062005418873"
"Einige Sorgen","1994","weiblich","1222","0.345972275883074","0.329415769593821","0.362528782172328"
"Grosse Sorgen","1994","maennlich","635","0.132579662366332","0.122318806058534","0.142840518674129"
"Grosse Sorgen","1994","weiblich","450","0.116744821877662","0.105568165998375","0.127921477756949"
"Keine Sorgen","1994","maennlich","1847","0.486054973389252","0.470932202215797","0.501177744562707"
"Keine Sorgen","1994","weiblich","1499","0.537282902239264","0.519928516200623","0.554637288277904"
"Einige Sorgen","1995","maennlich","1740","0.364597611329977","0.35053320433416","0.378662018325793"
"Einige Sorgen","1995","weiblich","1261","0.326791287004229","0.31128984837225","0.342292725636208"
"Grosse Sorgen","1995","maennlich","702","0.135436640132909","0.125437639560375","0.145435640705443"
"Grosse Sorgen","1995","weiblich","535","0.127077825450451","0.11607043030611","0.138085220594792"
"Keine Sorgen","1995","maennlich","2057","0.499965748537114","0.485355416101313","0.514576080972915"
"Keine Sorgen","1995","weiblich","1721","0.54613088754532","0.529676732289389","0.562585042801251"
"Einige Sorgen","1996","maennlich","1718","0.368335959331927","0.353988720816382","0.382683197847473"
"Einige Sorgen","1996","weiblich","1223","0.341216746252897","0.325333799294345","0.35709969321145"
"Grosse Sorgen","1996","maennlich","610","0.122357848385662","0.112610694246729","0.132105002524596"
"Grosse Sorgen","1996","weiblich","420","0.10780716059994","0.0974175848932254","0.118196736306654"
"Keine Sorgen","1996","maennlich","2014","0.50930619228241","0.494436638076371","0.524175746488449"
"Keine Sorgen","1996","weiblich","1780","0.550976093147163","0.534313378722586","0.567638807571739"
"Einige Sorgen","1997","maennlich","1923","0.439234516048392","0.424274933687568","0.454194098409216"
"Einige Sorgen","1997","weiblich","1354","0.394440859044842","0.377793791919007","0.411087926170678"
"Grosse Sorgen","1997","maennlich","753","0.152672258974856","0.141830833716841","0.16351368423287"
"Grosse Sorgen","1997","weiblich","545","0.134121773905388","0.122514063771585","0.14572948403919"
"Keine Sorgen","1997","maennlich","1552","0.408093224976753","0.393278726638299","0.422907723315206"
"Keine Sorgen","1997","weiblich","1412","0.47143736704977","0.454434242717789","0.488440491381751"
"Einige Sorgen","1998","maennlich","1878","0.38808511309211","0.373996537637062","0.402173688547159"
"Einige Sorgen","1998","weiblich","1419","0.36352310425127","0.347873190886231","0.379173017616308"
"Grosse Sorgen","1998","maennlich","801","0.158598270133501","0.148037173793974","0.169159366473028"
"Grosse Sorgen","1998","weiblich","573","0.142319918615019","0.130952807314461","0.153687029915577"
"Keine Sorgen","1998","maennlich","1917","0.453316616774389","0.438924428318649","0.467708805230129"
"Keine Sorgen","1998","weiblich","1637","0.494156977133711","0.47789044577313","0.510423508494292"
"Einige Sorgen","1999","maennlich","1906","0.397537160506415","0.383192186885939","0.411882134126891"
"Einige Sorgen","1999","weiblich","1513","0.398872705434474","0.382846034063232","0.414899376805715"
"Grosse Sorgen","1999","maennlich","697","0.14170964442337","0.131487015968763","0.151932272877977"
"Grosse Sorgen","1999","weiblich","544","0.129390867666701","0.118405708087909","0.140376027245493"
"Keine Sorgen","1999","maennlich","1868","0.460753195070215","0.446142404215582","0.475363985924848"
"Keine Sorgen","1999","weiblich","1529","0.471736426898825","0.455397708514817","0.488075145282834"
"Einige Sorgen","2000","maennlich","3033","0.395967809856342","0.384872938826397","0.407062680886287"
"Einige Sorgen","2000","weiblich","2300","0.362584438611633","0.35053404354494","0.374634833678326"
"Grosse Sorgen","2000","maennlich","1090","0.137646566098899","0.129830510952557","0.145462621245242"
"Grosse Sorgen","2000","weiblich","869","0.134398574926467","0.125849055822358","0.142948094030577"
"Keine Sorgen","2000","maennlich","3341","0.466385624044759","0.45506817327856","0.477703074810958"
"Keine Sorgen","2000","weiblich","2945","0.5030169864619","0.490484204851779","0.51554976807202"
"Einige Sorgen","2001","maennlich","2588","0.365997316095531","0.354575717866281","0.377418914324781"
"Einige Sorgen","2001","weiblich","2032","0.32814080635159","0.315963218716831","0.340318393986349"
"Grosse Sorgen","2001","maennlich","845","0.121547542235042","0.113799810005874","0.129295274464211"
"Grosse Sorgen","2001","weiblich","613","0.100626457969878","0.0928242385895046","0.108428677350252"
"Keine Sorgen","2001","maennlich","3400","0.512455141669426","0.500603524936173","0.52430675840268"
"Keine Sorgen","2001","weiblich","3066","0.571232735678532","0.558397336937532","0.584068134419531"
"Einige Sorgen","2002","maennlich","2854","0.411143836363056","0.399774524054429","0.422513148671684"
"Einige Sorgen","2002","weiblich","2231","0.369056978168134","0.356968303701512","0.381145652634756"
"Grosse Sorgen","2002","maennlich","1055","0.16127838670604","0.152780132958797","0.169776640453283"
"Grosse Sorgen","2002","weiblich","741","0.133708431348771","0.125182372185764","0.142234490511778"
"Keine Sorgen","2002","maennlich","3286","0.427577776930904","0.416146401257848","0.43900915260396"
"Keine Sorgen","2002","weiblich","3149","0.497234590483095","0.484708940748762","0.509760240217427"
"Einige Sorgen","2003","maennlich","2758","0.414858042506098","0.403109509330307","0.42660657568189"
"Einige Sorgen","2003","weiblich","2272","0.389704212520861","0.377243310095584","0.402165114946139"
