"plh0042","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","1984","16-34 Jahre alt","Schleswig-Holstein","","","",""
"Grosse Sorgen","1984","16-34 Jahre alt","Hamburg","","","",""
"Grosse Sorgen","1984","16-34 Jahre alt","Niedersachsen","66","0.247144768905882","0.193887453824146","0.300402083987618"
"Grosse Sorgen","1984","16-34 Jahre alt","Bremen","","","",""
"Grosse Sorgen","1984","16-34 Jahre alt","Nordrhein-Westfalen","140","0.17755014861629","0.149422060963867","0.205678236268713"
"Grosse Sorgen","1984","16-34 Jahre alt","Hessen","70","0.172536908384716","0.131008063383849","0.214065753385584"
"Grosse Sorgen","1984","16-34 Jahre alt","Rheinland-Pfalz,Saarland","43","0.19877499419247","0.143187945293513","0.254362043091427"
"Grosse Sorgen","1984","16-34 Jahre alt","Baden-Wuerttemberg","102","0.144452751629501","0.115388118718423","0.173517384540578"
"Grosse Sorgen","1984","16-34 Jahre alt","Bayern","85","0.160066244727046","0.127400105720706","0.192732383733387"
"Grosse Sorgen","1984","16-34 Jahre alt","Saarland","","","",""
"Grosse Sorgen","1984","16-34 Jahre alt","Berlin","31","0.206237645997941","0.126131788540547","0.286343503455335"
"Grosse Sorgen","1984","16-34 Jahre alt","Brandenburg","","","",""
"Grosse Sorgen","1984","16-34 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1984","16-34 Jahre alt","Sachsen","","","",""
"Grosse Sorgen","1984","16-34 Jahre alt","Sachsen-Anhalt","","","",""
"Grosse Sorgen","1984","16-34 Jahre alt","Thueringen","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","Schleswig-Holstein","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","Hamburg","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","Niedersachsen","74","0.17053072046329","0.132913738810434","0.208147702116147"
"Grosse Sorgen","1984","35-65 Jahre alt","Bremen","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","Nordrhein-Westfalen","239","0.208852249082653","0.183808103949766","0.23389639421554"
"Grosse Sorgen","1984","35-65 Jahre alt","Hessen","73","0.132128361504177","0.0992298189054607","0.165026904102894"
"Grosse Sorgen","1984","35-65 Jahre alt","Rheinland-Pfalz,Saarland","36","0.123730747693597","0.0813604316282519","0.166101063758943"
"Grosse Sorgen","1984","35-65 Jahre alt","Baden-Wuerttemberg","127","0.116895237580219","0.0949443191549237","0.138846156005514"
"Grosse Sorgen","1984","35-65 Jahre alt","Bayern","127","0.148517136366754","0.122173525023981","0.174860747709527"
"Grosse Sorgen","1984","35-65 Jahre alt","Saarland","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","Berlin","47","0.22906776663778","0.162911294971742","0.295224238303819"
"Grosse Sorgen","1984","35-65 Jahre alt","Brandenburg","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","Mecklenburg-Vorpommern","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","Sachsen","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","Sachsen-Anhalt","","","",""
"Grosse Sorgen","1984","35-65 Jahre alt","Thueringen","","","",""
"Grosse Sorgen","1984","66 und älter","Schleswig-Holstein","","","",""
"Grosse Sorgen","1984","66 und älter","Hamburg","","","",""
"Grosse Sorgen","1984","66 und älter","Niedersachsen","","","",""
"Grosse Sorgen","1984","66 und älter","Bremen","","","",""
