,Unnamed: 0,year,bula_h,regtyp,plh0042,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Schleswig-Holstein,Urban regions,Not concerned at all,1.0,58,5816,0.91412,1.0742
1,1,1985,Schleswig-Holstein,Rural regions,Not concerned at all,1.0,57,5816,0.91399,1.07985
2,2,1985,Hamburg,Urban regions,Somewhat concerned,0.34932,47,5816,0.29362,0.40068
3,3,1985,Hamburg,Urban regions,Not concerned at all,0.65068,78,5816,0.59263,0.71278
4,4,1985,Lower Saxony,Urban regions,Very concerned,0.15305,47,5816,0.13249,0.17489
5,5,1985,Lower Saxony,Urban regions,Somewhat concerned,0.29474,78,5816,0.26056,0.32727
6,6,1985,Lower Saxony,Urban regions,Not concerned at all,0.55221,137,5816,0.51936,0.58748
7,7,1985,Lower Saxony,Rural regions,Very concerned,0.13981,44,5816,0.12075,0.15555
8,8,1985,Lower Saxony,Rural regions,Somewhat concerned,0.33769,101,5816,0.31636,0.35732
9,9,1985,Lower Saxony,Rural regions,Not concerned at all,0.5225,153,5816,0.49343,0.54584
10,10,1985,North Rhine-Westphalia,Urban regions,Very concerned,0.13925,241,5816,0.12506,0.1492
11,11,1985,North Rhine-Westphalia,Urban regions,Somewhat concerned,0.27795,457,5816,0.2614,0.29074
12,12,1985,North Rhine-Westphalia,Urban regions,Not concerned at all,0.5828,822,5816,0.56371,0.60328
13,13,1985,North Rhine-Westphalia,Rural regions,Not concerned at all,1.0,32,5816,0.9257,1.06649
14,14,1985,Hesse,Urban regions,Very concerned,0.08454,65,5816,0.06801,0.10144
15,15,1985,Hesse,Urban regions,Somewhat concerned,0.24477,175,5816,0.21112,0.27446
16,16,1985,Hesse,Urban regions,Not concerned at all,0.67069,336,5816,0.62398,0.71146
17,17,1985,"Rhineland-Palatinate, Saarland",Urban regions,Very concerned,0.16835,59,5816,0.14237,0.19577
18,18,1985,"Rhineland-Palatinate, Saarland",Urban regions,Somewhat concerned,0.31605,107,5816,0.28518,0.34466
19,19,1985,"Rhineland-Palatinate, Saarland",Urban regions,Not concerned at all,0.5156,156,5816,0.47837,0.54372
20,20,1985,"Rhineland-Palatinate, Saarland",Rural regions,Not concerned at all,1.0,36,5816,0.93759,1.06432
21,21,1985,Baden-Wuerttemberg,Urban regions,Very concerned,0.09224,140,5816,0.0779,0.1089
22,22,1985,Baden-Wuerttemberg,Urban regions,Somewhat concerned,0.2775,321,5816,0.25236,0.30106
23,23,1985,Baden-Wuerttemberg,Urban regions,Not concerned at all,0.63026,621,5816,0.60176,0.66198
24,24,1985,Baden-Wuerttemberg,Rural regions,Somewhat concerned,0.37357,59,5816,0.30897,0.43912
25,25,1985,Baden-Wuerttemberg,Rural regions,Not concerned at all,0.62643,91,5816,0.56447,0.6748
26,26,1985,Bavaria,Urban regions,Very concerned,0.0716,49,5816,0.05981,0.08398
27,27,1985,Bavaria,Urban regions,Somewhat concerned,0.2797,170,5816,0.25493,0.30353
28,28,1985,Bavaria,Urban regions,Not concerned at all,0.6487,362,5816,0.61767,0.6839
29,29,1985,Bavaria,Rural regions,Very concerned,0.11256,70,5816,0.09594,0.12903
30,30,1985,Bavaria,Rural regions,Somewhat concerned,0.355,180,5816,0.33282,0.37718
31,31,1985,Bavaria,Rural regions,Not concerned at all,0.53244,251,5816,0.50886,0.556
32,32,1985,Berlin,Urban regions,Very concerned,0.14979,35,5816,0.12267,0.17849
33,33,1985,Berlin,Urban regions,Somewhat concerned,0.31864,71,5816,0.27991,0.35931
34,34,1985,Berlin,Urban regions,Not concerned at all,0.53157,110,5816,0.48793,0.57702
35,35,1986,Schleswig-Holstein,Urban regions,Not concerned at all,1.0,55,5585,0.90889,1.09976
36,36,1986,Schleswig-Holstein,Rural regions,Not concerned at all,1.0,43,5585,0.90694,1.09365
37,37,1986,Hamburg,Urban regions,Somewhat concerned,0.38306,47,5585,0.31364,0.45391
38,38,1986,Hamburg,Urban regions,Not concerned at all,0.61694,74,5585,0.5416,0.69797
39,39,1986,Lower Saxony,Urban regions,Very concerned,0.12306,44,5585,0.09579,0.15442
40,40,1986,Lower Saxony,Urban regions,Somewhat concerned,0.29324,81,5585,0.26016,0.3331
41,41,1986,Lower Saxony,Urban regions,Not concerned at all,0.5837,149,5585,0.54027,0.626
42,42,1986,Lower Saxony,Rural regions,Very concerned,0.16411,51,5585,0.13649,0.18657
43,43,1986,Lower Saxony,Rural regions,Somewhat concerned,0.28362,83,5585,0.2569,0.3137
44,44,1986,Lower Saxony,Rural regions,Not concerned at all,0.55226,159,5585,0.52083,0.59066
45,45,1986,North Rhine-Westphalia,Urban regions,Very concerned,0.14256,240,5585,0.12984,0.15723
46,46,1986,North Rhine-Westphalia,Urban regions,Somewhat concerned,0.27476,419,5585,0.25935,0.29221
47,47,1986,North Rhine-Westphalia,Urban regions,Not concerned at all,0.58269,773,5585,0.5638,0.60634
48,48,1986,Hesse,Urban regions,Very concerned,0.10204,61,5585,0.08495,0.11924
49,49,1986,Hesse,Urban regions,Somewhat concerned,0.2338,130,5585,0.20361,0.26223
50,50,1986,Hesse,Urban regions,Not concerned at all,0.66416,335,5585,0.61682,0.71121
51,51,1986,Hesse,Rural regions,Not concerned at all,1.0,37,5585,0.84036,1.1359
52,52,1986,"Rhineland-Palatinate, Saarland",Urban regions,Very concerned,0.18734,67,5585,0.16135,0.21728
53,53,1986,"Rhineland-Palatinate, Saarland",Urban regions,Somewhat concerned,0.3249,112,5585,0.2907,0.35594
54,54,1986,"Rhineland-Palatinate, Saarland",Urban regions,Not concerned at all,0.48776,151,5585,0.45575,0.52042
55,55,1986,"Rhineland-Palatinate, Saarland",Rural regions,Not concerned at all,1.0,35,5585,0.90143,1.09871
56,56,1986,Baden-Wuerttemberg,Urban regions,Very concerned,0.08017,127,5585,0.06753,0.09673
57,57,1986,Baden-Wuerttemberg,Urban regions,Somewhat concerned,0.27114,335,5585,0.25168,0.29491
58,58,1986,Baden-Wuerttemberg,Urban regions,Not concerned at all,0.64869,599,5585,0.60935,0.68233
59,59,1986,Baden-Wuerttemberg,Rural regions,Somewhat concerned,0.41076,66,5585,0.34683,0.47409
60,60,1986,Baden-Wuerttemberg,Rural regions,Not concerned at all,0.58924,104,5585,0.51238,0.65333
61,61,1986,Bavaria,Urban regions,Very concerned,0.08679,62,5585,0.0713,0.10108
